scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions
S034,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,1.9999999999999996,21,21,0.1,0.1,9,9,0.5,0.5,0.5,0.5,12,12,0.0,0.0,0.5,0.5,
S035,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.0,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,
S036,sobol_symmetric,,scrambled_sobol,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.5,0.5,
S037,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.3,0.3,
S038,sobol_symmetric,,scrambled_sobol,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.3,0.3,0.3,0.3,4,4,0.3,0.3,0.7,0.7,
S039,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.520000000000001,21,21,0.1,0.1,12,12,0.0,0.0,0.3,0.3,6,6,0.7,0.7,0.7,0.7,
S040,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.7,0.7,4,4,0.0,0.0,0.7,0.7,
S041,sobol_symmetric,,scrambled_sobol,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.1,0.1,
S042,sobol_symmetric,,scrambled_sobol,0.8,0.7,64,51.2,35.839999999999996,15.360000000000003,28,28,0.5,0.5,12,12,0.3,0.3,0.5,0.5,4,4,0.5,0.5,0.5,0.5,
S043,sobol_symmetric,,scrambled_sobol,1.25,0.3,16,20.0,6.0,14.0,7,7,0.3,0.3,4,4,0.0,0.0,0.5,0.5,4,4,0.5,0.5,0.7,0.7,
S044,sobol_symmetric,,scrambled_sobol,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.7,0.7,0.7,0.7,12,12,0.3,0.3,0.3,0.3,
S045,sobol_symmetric,,scrambled_sobol,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.1,0.1,6,6,0.5,0.5,0.7,0.7,
S046,sobol_symmetric,,scrambled_sobol,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.3,0.3,4,4,0.5,0.5,0.5,0.5,4,4,0.0,0.0,0.5,0.5,
S047,sobol_symmetric,,scrambled_sobol,0.8,0.5,64,51.2,25.6,25.6,28,28,0.5,0.5,9,9,0.0,0.0,0.7,0.7,9,9,0.0,0.0,0.1,0.1,
S048,sobol_symmetric,,scrambled_sobol,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.1,0.1,0.7,0.7,4,4,0.3,0.3,0.3,0.3,
S049,sobol_symmetric,,scrambled_sobol,3.1,0.5,64,198.4,99.2,99.2,21,21,0.3,0.3,12,12,0.3,0.3,0.7,0.7,9,9,0.3,0.3,0.7,0.7,
S050,sobol_symmetric,,scrambled_sobol,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,
S051,sobol_symmetric,,scrambled_sobol,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.1,0.1,0.7,0.7,6,6,0.0,0.0,0.7,0.7,
S052,sobol_symmetric,,scrambled_sobol,4.0,0.9,16,64.0,57.6,6.399999999999999,14,14,0.5,0.5,9,9,0.0,0.0,0.7,0.7,12,12,0.7,0.7,0.7,0.7,
S053,sobol_symmetric,,scrambled_sobol,4.0,0.1,32,128.0,12.8,115.2,14,14,0.5,0.5,12,12,0.3,0.3,0.5,0.5,6,6,0.0,0.0,0.5,0.5,
S054,sobol_symmetric,,scrambled_sobol,1.25,0.7,32,40.0,28.0,12.000000000000002,28,28,0.1,0.1,4,4,0.1,0.1,0.3,0.3,12,12,0.5,0.5,0.5,0.5,
S055,sobol_symmetric,,scrambled_sobol,0.8,0.3,16,12.8,3.84,8.959999999999999,7,7,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.3,0.3,0.3,0.3,
S056,sobol_symmetric,,scrambled_sobol,2.0,0.7,64,128.0,89.6,38.400000000000006,21,21,0.3,0.3,9,9,0.0,0.0,0.1,0.1,4,4,0.0,0.0,0.0,0.0,
S057,sobol_symmetric,,scrambled_sobol,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.0,0.0,9,9,0.3,0.3,0.5,0.5,6,6,0.0,0.0,0.5,0.5,
S058,sobol_symmetric,,scrambled_sobol,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,14,14,0.3,0.3,6,6,0.1,0.1,0.5,0.5,12,12,0.5,0.5,0.5,0.5,
S059,sobol_symmetric,,scrambled_sobol,1.25,0.3,32,40.0,12.0,28.0,21,21,0.5,0.5,4,4,0.7,0.7,0.7,0.7,9,9,0.3,0.3,0.5,0.5,
S060,sobol_symmetric,,scrambled_sobol,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.0,0.0,0.0,0.0,
S061,sobol_symmetric,,scrambled_sobol,4.0,0.3,64,256.0,76.8,179.2,7,7,0.1,0.1,4,4,0.5,0.5,0.5,0.5,4,4,0.3,0.3,0.5,0.5,
S062,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.600000000000001,21,21,0.5,0.5,6,6,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,
S063,sobol_symmetric,,scrambled_sobol,1.25,0.1,32,40.0,4.0,36.0,14,14,0.3,0.3,4,4,0.3,0.3,0.3,0.3,6,6,0.0,0.0,0.7,0.7,
S064,sobol_symmetric,,scrambled_sobol,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.1,0.1,12,12,0.7,0.7,0.7,0.7,
S065,sobol_symmetric,,scrambled_sobol,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.1,0.1,9,9,0.1,0.1,0.1,0.1,12,12,0.3,0.3,0.5,0.5,
S066,sobol_symmetric,,scrambled_sobol,1.25,0.9,16,20.0,18.0,1.9999999999999996,28,28,0.5,0.5,6,6,0.3,0.3,0.3,0.3,6,6,0.0,0.0,0.0,0.0,
S067,sobol_symmetric,,scrambled_sobol,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.0,0.0,0.3,0.3,4,4,0.0,0.0,0.5,0.5,
S068,sobol_symmetric,,scrambled_sobol,4.0,0.7,16,64.0,44.8,19.200000000000003,21,21,0.0,0.0,12,12,0.5,0.5,0.7,0.7,9,9,0.5,0.5,0.5,0.5,
S069,sobol_symmetric,,scrambled_sobol,4.0,0.3,32,128.0,38.4,89.6,21,21,0.0,0.0,9,9,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,
S070,sobol_symmetric,,scrambled_sobol,1.25,0.7,32,40.0,28.0,12.000000000000002,7,7,0.3,0.3,4,4,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,
S071,sobol_symmetric,,scrambled_sobol,0.8,0.1,16,12.8,1.2800000000000002,11.520000000000001,28,28,0.5,0.5,4,4,0.0,0.0,0.7,0.7,12,12,0.3,0.3,0.7,0.7,
S072,sobol_symmetric,,scrambled_sobol,3.1,0.9,64,198.4,178.56,19.839999999999996,14,14,0.1,0.1,12,12,0.1,0.1,0.5,0.5,6,6,0.0,0.0,0.3,0.3,
S073,sobol_symmetric,,scrambled_sobol,2.0,0.5,16,32.0,16.0,16.0,7,7,0.5,0.5,4,4,0.0,0.0,0.1,0.1,4,4,0.3,0.3,0.3,0.3,
S074,sobol_symmetric,,scrambled_sobol,0.8,0.5,64,51.2,25.6,25.6,21,21,0.1,0.1,4,4,0.5,0.5,0.5,0.5,9,9,0.5,0.5,0.7,0.7,
S075,sobol_symmetric,,scrambled_sobol,1.25,0.1,32,40.0,4.0,36.0,14,14,0.0,0.0,6,6,0.0,0.0,0.7,0.7,12,12,0.5,0.5,0.5,0.5,
S076,sobol_symmetric,,scrambled_sobol,4.0,0.9,32,128.0,115.2,12.799999999999997,28,28,0.3,0.3,9,9,0.1,0.1,0.7,0.7,6,6,0.0,0.0,0.1,0.1,
S077,sobol_symmetric,,scrambled_sobol,4.0,0.3,64,256.0,76.8,179.2,28,28,0.3,0.3,12,12,0.1,0.1,0.3,0.3,12,12,0.3,0.3,0.3,0.3,
S078,sobol_symmetric,,scrambled_sobol,2.0,0.7,16,32.0,22.4,9.600000000000001,14,14,0.0,0.0,4,4,0.3,0.3,0.5,0.5,6,6,0.0,0.0,0.1,0.1,
