weight_set,w1,w2,Q,rho_1,rho_2,tau_1,tau_2,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,delta_weighted_utilization,delta_weighted_offered_wait,served_rate_1,served_rate_2,overall_served_rate,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,min_served_rate,served_rate_flag
"w1=1.5, w2=1",1.5,1.0,16,0.5252054794520549,0.3884760273972603,4.7640364791065135,6.2414345946406025,1.1762842465753425,5.352202351502965,1.140625,5.419327076599282,0.035659246575342564,-0.06712472509631642,0.668160395296686,0.4981708641338566,0.583494873393837,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.4981708641338566,True
"w1=1.5, w2=1",1.5,1.0,20,0.6374143835616438,0.3039554794520548,3.014408218082071,7.622842818110007,1.2600770547945206,4.85711270231649,1.140625,5.419327076599282,0.11945205479452067,-0.5622143742827912,0.813939264832598,0.3884136494822938,0.6012302171138446,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.3884136494822938,True
"w1=1.5, w2=1",1.5,1.0,24,0.7500684931506849,0.20892123287671233,1.3413450917895893,9.371245424098928,1.3340239726027396,4.53513015886817,1.140625,5.419327076599282,0.19339897260273978,-0.8841969177311112,0.9556596751241028,0.26743859568932266,0.6122736608107371,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.26743859568932266,True
"w1=1.5, w2=1",1.5,1.0,28,0.7740068493150685,0.10580479452054795,0.06988147678539305,10.581308854161334,1.2668150684931507,2.9380837430017683,1.140625,5.419327076599282,0.1261900684931508,-2.481243333597513,1.0,0.13608925592634805,0.5670781912812594,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.13608925592634805,True
"w1=1.5, w2=1",1.5,1.0,32,0.781095890410959,0.0,0.008749072997816461,,1.1716438356164383,0.008749072997816461,1.140625,5.419327076599282,0.031018835616438478,-5.410578003601465,1.0,0.0,0.5003965996037021,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.0,True
"w1=2, w2=1",2.0,1.0,0,0.45885273972602736,0.45234589041095885,5.420387187309788,5.417746496996356,1.3700513698630137,5.419503432342053,1.3700513698630137,5.419503432342053,0.0,0.0,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5822518148626945,False
"w1=2, w2=1",2.0,1.0,4,0.45960616438356167,0.45159246575342465,5.404223823863045,5.434055205853594,1.370804794520548,5.414099829874755,1.3700513698630137,5.419503432342053,0.0007534246575342963,-0.005403602467298363,0.5865749661567066,0.5821905707467911,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5817682949677919,False
"w1=2, w2=1",2.0,1.0,8,0.4617123287671233,0.449486301369863,5.371112650554835,5.467539326510287,1.3729109589041095,5.403041594323868,1.3700513698630137,5.419503432342053,0.002859589041095889,-0.016461838018184415,0.5892694559686573,0.5794794343768854,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5794794343768854,False
"w1=2, w2=1",2.0,1.0,12,0.46749999999999997,0.4435273972602739,5.297898984060231,5.541814214498086,1.378527397260274,5.378667027330516,1.3700513698630137,5.419503432342053,0.008476027397260343,-0.04083640501153703,0.59664858104329,0.5717944904677434,0.5842749594771636,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5717944904677434,False
"w1=2, w2=1",2.0,1.0,16,0.5252054794520549,0.3884760273972603,4.7640364791065135,6.2414345946406025,1.43888698630137,5.2539182635068835,1.3700513698630137,5.419503432342053,0.06883561643835616,-0.16558516883516958,0.668160395296686,0.4981708641338566,0.583494873393837,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.4981708641338566,True
