horizon_days,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
14,6,0.936164383561641,0.7719415635106501,6922,8506.0,10.775870178739417,10.77638190954774,0.028780264961169484,8967,8504,8756,252,211,1106,476,0,0.8517037883114411,0.6591276252019386,0.19257616310950254
14,7,0.9315068493150659,0.7882326007326007,6886,8480.0,11.062633199147525,11.06804835924007,0.027518710420264825,8736,8446,8685,239,51,1062,498,0,0.872390243902439,0.6687898089171974,0.2036004349852416
14,8,0.9387671232876678,0.7921007441327991,6919,8536.0,11.118804837562248,11.120249509067806,0.025759500981864386,8735,8434,8657,223,78,1067,448,0,0.8738090608594206,0.6751113585746102,0.19869770228481032
14,9,0.9375342465753399,0.7933989577301679,6851,8537.0,10.558300513187731,10.54803442661084,0.025471039776692253,8635,8379,8598,219,37,1067,461,0,0.872529245663574,0.6867011150394343,0.18582813062413972
14,10,0.9393150684931475,0.7960730279021702,6933,8541.0,10.32896929302547,10.316645518514246,0.03079940016149498,8709,8402,8669,267,40,1020,449,0,0.8817183209101609,0.6751592356687898,0.20655908524137112
14,11,0.9319178082191757,0.7833257506824386,6887,8472.0,10.870256893707282,10.867881287956916,0.02761544631603071,8792,8486,8727,241,65,1104,495,0,0.868529009572182,0.6645793629185952,0.20394964665358684
14,12,0.9339726027397236,0.7853313562221969,6885,8476.0,10.724973281083006,10.720216814669588,0.028831737977165265,8767,8421,8671,250,96,1048,488,0,0.8740711771607352,0.661100465370928,0.2129707117898072
14,13,0.9398630136986269,0.7832112676056338,6951,8539.0,11.010129564193168,11.001602747567258,0.028048082427017746,8875,8490,8735,245,140,1082,457,0,0.8715737013609354,0.6571897211591033,0.21438398020183203
14,14,0.935068493150682,0.8001155401502021,6925,8508.0,9.957578646329837,9.953598704003703,0.028928488775746355,8655,8392,8642,250,13,983,484,0,0.8834699180491705,0.6859255202628697,0.19754439778630084
14,15,0.9387671232876683,0.7901978621787582,6949,8527.0,10.861918261280415,10.857388513126217,0.029462340937750773,8794,8466,8723,257,71,1065,452,0,0.8853354134165367,0.6571194762684124,0.22821593714812427
