class1_cancel_prob,class_id,mean,std,n,se,ci95,metric
0.3,1,3596.56,111.64720047424997,100,11.164720047424996,21.882851292952992,balked
0.3,2,3602.58,106.8115663543547,100,10.68115663543547,20.93506700545352,balked
0.0,1,15206.01,104.48029102237982,100,10.448029102237982,20.478137040386443,offered
0.0,2,15172.12,149.84505667555734,100,14.984505667555734,29.369631108409237,offered
0.05,1,17771.25,114.40830433587459,100,11.44083043358746,22.42402764983142,offered
0.05,2,17754.72,148.09627499254205,100,14.809627499254205,29.02686989853824,offered
0.1,1,18275.19,140.98367947669647,100,14.098367947669647,27.63280117743251,offered
0.1,2,18246.37,130.20338829397824,100,13.020338829397824,25.519864105619735,offered
0.15,1,18247.68,129.79275477436855,100,12.979275477436854,25.439379935776234,offered
0.15,2,18249.72,122.8191641019721,100,12.28191641019721,24.072556163986533,offered
0.2,1,18225.65,134.96474474184842,100,13.496474474184842,26.45308996940229,offered
0.2,2,18230.33,142.62829100125694,100,14.262829100125694,27.95514503624636,offered
0.25,1,18265.85,152.559137399371,100,15.2559137399371,29.901590930276715,offered
0.25,2,18275.27,134.3816256529561,100,13.43816256529561,26.338798627979394,offered
0.3,1,18247.85,121.92864074672286,100,12.192864074672286,23.89801358635768,offered
0.3,2,18238.98,145.25338223430506,100,14.525338223430506,28.46966291792379,offered
0.0,1,3055.88,116.63950159930101,100,11.663950159930101,22.861342313463,no_offer
0.0,2,3059.51,114.50706784237637,100,11.450706784237637,22.443385297105767,no_offer
0.05,1,480.84,92.06648015253309,100,9.20664801525331,18.045030109896487,no_offer
0.05,2,476.87,92.45918072863346,100,9.245918072863345,18.121999422812156,no_offer
0.1,1,0.05,0.41132945334843124,100,0.04113294533484312,0.08062057285629252,no_offer
0.1,2,0.03,0.22270150335361366,100,0.022270150335361366,0.043649494657308274,no_offer
0.15,1,0.0,0.0,100,0.0,0.0,no_offer
0.15,2,0.0,0.0,100,0.0,0.0,no_offer
0.2,1,0.0,0.0,100,0.0,0.0,no_offer
0.2,2,0.0,0.0,100,0.0,0.0,no_offer
0.25,1,0.0,0.0,100,0.0,0.0,no_offer
0.25,2,0.0,0.0,100,0.0,0.0,no_offer
0.3,1,0.0,0.0,100,0.0,0.0,no_offer
0.3,2,0.0,0.0,100,0.0,0.0,no_offer
0.0,1,0.0,0.0,100,0.0,0.0,canceled
0.0,2,5356.74,74.01960155351699,100,7.401960155351699,14.50784190448933,canceled
0.05,1,3758.72,60.950067326219624,100,6.095006732621963,11.946213195939047,canceled
0.05,2,6085.84,78.46555185737778,100,7.8465551857377775,15.379248164046043,canceled
0.1,1,5925.69,90.13936403977429,100,9.013936403977429,17.66731535179576,canceled
0.1,2,5923.64,91.29002733546027,100,9.129002733546027,17.892845357750215,canceled
0.15,1,7465.59,73.7260962802674,100,7.37260962802674,14.45031487093241,canceled
0.15,2,5812.96,72.24368414602002,100,7.224368414602002,14.159762092619923,canceled
0.2,1,8911.37,92.59345865588232,100,9.259345865588232,18.148317896552935,canceled
0.2,2,5950.9,72.16766393040389,100,7.216766393040389,14.144862130359163,canceled
0.25,1,10208.95,101.523682364304,100,10.1523682364304,19.898641743403584,canceled
0.25,2,6126.39,76.06189598085244,100,7.606189598085244,14.908131612247079,canceled
0.3,1,11303.33,106.43327259438956,100,10.643327259438957,20.860921428500355,canceled
0.3,2,6304.63,72.84252490368134,100,7.284252490368134,14.277134881121542,canceled
0.0,1,2203.26,44.20809834856011,100,4.42080983485601,8.66478727631778,no_show
0.0,2,678.09,28.372733745658348,100,2.837273374565835,5.561055814149037,no_show
0.05,1,1438.5,32.85182528022489,100,3.2851825280224887,6.438957754924077,no_show
0.05,2,814.16,26.189951037631495,100,2.6189951037631496,5.133230403375773,no_show
0.1,1,926.23,27.466363266932728,100,2.746636326693273,5.383407200318815,no_show
0.1,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.15,1,614.85,23.16230610803733,100,2.316230610803733,4.539811997175317,no_show
0.15,2,994.64,28.522725300816873,100,2.852272530081687,5.590454158960107,no_show
