lambda_total,noshow_scale,lambda_over_s,metric,mean,se,ci95
16,2.0,0.8,overall_percent_serviced,0.9056894995310281,0.0005677771993604507,0.0011128433107464833
16,2.0,0.8,class_1_served_rate,0.9697749920101281,0.0006063072287475041,0.001188362168345108
16,2.0,0.8,class_2_served_rate,0.816240174524598,0.001275429274534787,0.0024998413780881828
16,2.0,0.8,access_gap,0.15353481748553005,0.00161416011438273,0.003163753824190151
20,0.0,1.0,average_utilization,0.9026438356164365,0.0014723165456646582,0.00288574042950273
20,0.0,1.0,overall_percent_serviced,0.9035792656456921,0.0005690852742443541,0.001115407137518934
20,0.0,1.0,class_1_served_rate,0.9682007453386531,0.0004328679542376697,0.0008484211903058326
20,0.0,1.0,class_2_served_rate,0.8132259695842111,0.0011802934226331984,0.0023133751083610687
20,0.0,1.0,access_gap,0.15497477575444216,0.0012835263774605083,0.002515711699822596
20,0.5,1.0,average_utilization,0.9026438356164365,0.0014723165456646582,0.00288574042950273
20,0.5,1.0,overall_percent_serviced,0.9035792656456921,0.0005690852742443541,0.001115407137518934
20,0.5,1.0,class_1_served_rate,0.9682007453386531,0.0004328679542376697,0.0008484211903058326
20,0.5,1.0,class_2_served_rate,0.8132259695842111,0.0011802934226331984,0.0023133751083610687
20,0.5,1.0,access_gap,0.15497477575444216,0.0012835263774605083,0.002515711699822596
20,1.0,1.0,average_utilization,0.9026438356164365,0.0014723165456646582,0.00288574042950273
20,1.0,1.0,overall_percent_serviced,0.9035792656456921,0.0005690852742443541,0.001115407137518934
20,1.0,1.0,class_1_served_rate,0.9682007453386531,0.0004328679542376697,0.0008484211903058326
20,1.0,1.0,class_2_served_rate,0.8132259695842111,0.0011802934226331984,0.0023133751083610687
20,1.0,1.0,access_gap,0.15497477575444216,0.0012835263774605083,0.002515711699822596
20,1.5,1.0,average_utilization,0.9026438356164365,0.0014723165456646582,0.00288574042950273
20,1.5,1.0,overall_percent_serviced,0.9035792656456921,0.0005690852742443541,0.001115407137518934
20,1.5,1.0,class_1_served_rate,0.9682007453386531,0.0004328679542376697,0.0008484211903058326
20,1.5,1.0,class_2_served_rate,0.8132259695842111,0.0011802934226331984,0.0023133751083610687
20,1.5,1.0,access_gap,0.15497477575444216,0.0012835263774605083,0.002515711699822596
20,2.0,1.0,average_utilization,0.9026438356164365,0.0014723165456646582,0.00288574042950273
20,2.0,1.0,overall_percent_serviced,0.9035792656456921,0.0005690852742443541,0.001115407137518934
20,2.0,1.0,class_1_served_rate,0.9682007453386531,0.0004328679542376697,0.0008484211903058326
20,2.0,1.0,class_2_served_rate,0.8132259695842111,0.0011802934226331984,0.0023133751083610687
20,2.0,1.0,access_gap,0.15497477575444216,0.0012835263774605083,0.002515711699822596
24,0.0,1.2,average_utilization,0.9354977168949749,0.0004986369427095326,0.000977328407710684
24,0.0,1.2,overall_percent_serviced,0.7909712377072835,0.0012278345917546667,0.0024065557998391466
24,0.0,1.2,class_1_served_rate,0.8792887989262067,0.001021111677348019,0.002001378887602117
24,0.0,1.2,class_2_served_rate,0.6677230872714532,0.0022747176545786078,0.004458446602974071
24,0.0,1.2,access_gap,0.2115657116547536,0.0022641441040004997,0.0044377224438409794
24,0.5,1.2,average_utilization,0.9352465753424632,0.00048104196873735615,0.0009428422587252181
24,0.5,1.2,overall_percent_serviced,0.7907409169357583,0.0012569376416212005,0.002463597777577553
24,0.5,1.2,class_1_served_rate,0.8792887989262067,0.001021111677348019,0.002001378887602117
24,0.5,1.2,class_2_served_rate,0.6671709448455673,0.0023558681183392096,0.0046175015119448515
24,0.5,1.2,access_gap,0.2121178540806396,0.0023386917944646273,0.004583835917150669
24,1.0,1.2,average_utilization,0.934899543378993,0.00046751375422622685,0.0009163269582834046
24,1.0,1.2,overall_percent_serviced,0.7904279507471105,0.0013103580995047356,0.002568301875029282
24,1.0,1.2,class_1_served_rate,0.8792887989262067,0.001021111677348019,0.002001378887602117
24,1.0,1.2,class_2_served_rate,0.6664208816362124,0.00248296671954069,0.004866614770299752
24,1.0,1.2,access_gap,0.2128679172899944,0.0024405791926180613,0.0047835352175314
24,1.5,1.2,average_utilization,0.9346347031963445,0.00047612645743699546,0.0009332078565765111
