policy,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,measured_total_slots,measured_booked_slots,measured_served_slots,measured_no_show_slots,measured_booked_slot_utilization,measured_served_slot_utilization,measured_no_show_slot_share,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,served_rate,booked_arrival_rate,offered_rate
Strict C1 reservation,5127,0.8972602739726028,0.5728956136996777,10488,11748.0,5.497077620582291,5.497077620582291,0.0,18307,18307,18307,0,0,6643,1176,0,11680,11680,10480,1200,1.0,0.8972602739726028,0.10273972602739725,0.0,0.0,0.36286666302507237,0.0642377232752499,0.0,0.5728956136996777,1.0,1.0
Strict C1 reservation,5128,0.9149828767123288,0.5861463307536089,10679,11909.0,5.385586475657281,5.385586475657281,0.0,18219,18219,18219,0,0,6539,1001,0,11680,11680,10687,993,1.0,0.9149828767123288,0.08501712328767123,0.0,0.0,0.35891102694988747,0.05494264229650365,0.0,0.5861463307536089,1.0,1.0
Strict C1 reservation,5129,0.9063356164383561,0.5790163934426229,10596,11824.0,5.421912568306011,5.421912568306011,0.0,18300,18300,18300,0,0,6610,1094,0,11680,11680,10586,1094,1.0,0.9063356164383561,0.09366438356164383,0.0,0.0,0.36120218579234975,0.05978142076502732,0.0,0.5790163934426229,1.0,1.0
Strict C1 reservation,5130,0.900513698630137,0.575317009182335,10526,11742.0,5.542686926104066,5.542686926104066,0.0,18296,18296,18296,0,0,6585,1185,0,11680,11680,10518,1162,1.0,0.900513698630137,0.09948630136986301,0.0,0.0,0.35991473546130304,0.06476825535636205,0.0,0.575317009182335,1.0,1.0
Class-1-first backfill reservation,5101,0.9487157534246575,0.6120399492357778,11092,12315.0,4.389231738035265,5.095900237267561,0.12376538100755946,18123,15880,18123,2243,0,4194,594,0,11680,11680,11081,599,1.0,0.9487157534246575,0.05128424657534247,0.12376538100755946,0.0,0.23141863929812945,0.032776030458533355,0.0,0.6120399492357778,0.8762346189924406,1.0
Class-1-first backfill reservation,5102,0.9512842465753425,0.6084347209340389,11152,12341.0,4.507285348008255,5.224780402640624,0.12755742266353864,18329,15991,18329,2338,0,4265,574,0,11680,11680,11111,569,1.0,0.9512842465753425,0.04871575342465753,0.12755742266353864,0.0,0.2326913634131704,0.03131649298925201,0.0,0.6084347209340389,0.8724425773364614,1.0
Class-1-first backfill reservation,5103,0.9474315068493151,0.6114793945420396,11069,12294.0,4.388221913307216,5.105734173019556,0.12573196331897027,18102,15826,18102,2276,0,4142,615,0,11680,11680,11066,614,1.0,0.9474315068493151,0.05256849315068493,0.12573196331897027,0.0,0.22881449563584133,0.033974146503148825,0.0,0.6114793945420396,0.8742680366810297,1.0
Class-1-first backfill reservation,5104,0.9519691780821918,0.6075006843690117,11096,12354.0,4.482227488151659,5.1667122912674515,0.12203668217903094,18265,16036,18265,2229,0,4377,562,1,11680,11680,11119,561,1.0,0.9519691780821918,0.04803082191780822,0.12203668217903094,0.0,0.23963865316178484,0.03076923076923077,5.474952094169176e-05,0.6075006843690117,0.877963317820969,1.0
Class-1-first backfill reservation,5105,0.9511986301369864,0.6046460900861599,11088,12338.0,4.538585908836515,5.225978841749373,0.12307776202421201,18338,16081,18338,2257,0,4421,572,0,11680,11680,11110,570,1.0,0.9511986301369864,0.0488013698630137,0.12307776202421201,0.0,0.24108408768677064,0.031192060202857454,0.0,0.6046460900861599,0.8769222379757879,1.0
Class-1-first backfill reservation,5106,0.9516267123287672,0.605045672031318,11128,12342.0,4.479327521793275,5.1918225315354505,0.12679425837320574,18392,16060,18392,2332,0,4365,567,0,11680,11680,11115,565,1.0,0.9516267123287672,0.048373287671232876,0.12679425837320574,0.0,0.23733144845585036,0.030828621139625926,0.0,0.605045672031318,0.8732057416267942,1.0
Class-1-first backfill reservation,5107,0.9464897260273972,0.6071056527221887,11073,12295.0,4.467804451112778,5.160370634354954,0.12297823345578157,18239,15996,18239,2243,0,4303,620,0,11680,11680,11055,625,1.0,0.9464897260273972,0.05351027397260274,0.12297823345578157,0.0,0.2359230220955096,0.0339930917265201,0.0,0.6071056527221887,0.8770217665442185,1.0
Class-1-first backfill reservation,5108,0.9539383561643836,0.6115570705959974,11123,12388.0,4.417567907444668,5.131900153947658,0.1255773037167363,18188,15904,18188,2284,0,4239,542,0,11680,11680,11142,538,1.0,0.9539383561643836,0.046061643835616436,0.1255773037167363,0.0,0.2330657576424016,0.029799868044864748,0.0,0.6115570705959974,0.8744226962832637,1.0
Class-1-first backfill reservation,5109,0.9523116438356164,0.6113280175969206,11117,12357.0,4.520733602735468,5.165795985702502,0.1154797910365686,18185,16085,18185,2100,0,4418,550,0,11680,11680,11123,557,1.0,0.9523116438356164,0.047688356164383564,0.1154797910365686,0.0,0.2429474841902667,0.030244707176244157,0.0,0.6113280175969206,0.8845202089634314,1.0
Class-1-first backfill reservation,5110,0.9521404109589041,0.61220895029449,11122,12345.0,4.388397371081901,5.119942753343976,0.12897011064017175,18167,15824,18167,2343,0,4142,560,0,11680,11680,11121,559,1.0,0.9521404109589041,0.04785958904109589,0.12897011064017175,0.0,0.2279958165905213,0.030825122474816977,0.0,0.61220895029449,0.8710298893598283,1.0
Class-1-first backfill reservation,5111,0.9483732876712329,0.6043932025572373,11061,12320.0,4.467619107558688,5.20993388339435,0.1317960767171193,18301,15889,18301,2412,0,4227,601,0,11680,11680,11077,603,1.0,0.9483732876712329,0.05162671232876712,0.1317960767171193,0.0,0.23097098519206602,0.0328397355335774,0.0,0.6043932025572373,0.8682039232828808,1.0
Class-1-first backfill reservation,5112,0.9495719178082191,0.6121151826673299,11075,12313.0,4.445324283559578,5.1242469463328355,0.12054385674017576,18093,15912,18093,2181,0,4245,592,0,11680,11680,11091,589,1.0,0.9495719178082191,0.05042808219178082,0.12054385674017576,0.0,0.23462112419167633,0.032719836400818,0.0,0.6121151826673299,0.8794561432598242,1.0
Class-1-first backfill reservation,5113,0.9513698630136986,0.6119698553275758,11125,12343.0,4.439925023430178,5.116783101380714,0.11958853622311458,18179,16005,18179,2174,0,4309,571,0,11680,11680,11112,568,1.0,0.9513698630136986,0.04863013698630137,0.11958853622311458,0.0,0.23703173991968754,0.03140986852962209,0.0,0.6119698553275758,0.8804114637768854,1.0
Class-1-first backfill reservation,5114,0.9477739726027398,0.6059911605827467,11106,12295.0,4.482485378278096,5.230425055928412,0.1323730015823648,18327,15901,18327,2426,0,4176,619,0,11680,11680,11070,610,1.0,0.9477739726027398,0.052226027397260275,0.1323730015823648,0.0,0.22786053363889344,0.03377530419599498,0.0,0.6059911605827467,0.8676269984176351,1.0
Class-1-first backfill reservation,5115,0.948458904109589,0.6029491783654369,11081,12313.0,4.439959889696666,5.187833278920448,0.13178800740015237,18378,15956,18378,2422,0,4265,610,0,11680,11680,11078,602,1.0,0.948458904109589,0.05154109589041096,0.13178800740015237,0.0,0.2320709544020024,0.03319185983240831,0.0,0.6029491783654369,0.8682119925998476,1.0
