policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Strict C1 reservation,5107,1,9188,9188,0,9188,0,3318,598,5272,5.473443622115803,5.473443622115803,0.5737919024814976,0.45136986301369864,0.0,50290.0,50290.0,0.0,1.0
Strict C1 reservation,5107,2,9212,9212,0,9212,0,3410,622,5180,5.673686495874946,5.673686495874946,0.5623100303951368,0.4434931506849315,0.0,52266.0,52266.0,0.0,1.0
Strict C1 reservation,5108,1,9184,9184,0,9184,0,3322,618,5244,5.505008710801394,5.505008710801394,0.570993031358885,0.448972602739726,0.0,50558.0,50558.0,0.0,1.0
Strict C1 reservation,5108,2,9195,9195,0,9195,0,3368,619,5208,5.628058727569331,5.628058727569331,0.566394779771615,0.4458904109589041,0.0,51750.0,51750.0,0.0,1.0
Strict C1 reservation,5109,1,9236,9236,0,9236,0,3262,532,5442,5.308250324815938,5.308250324815938,0.5892161108705067,0.46592465753424656,0.0,49027.0,49027.0,0.0,1.0
Strict C1 reservation,5109,2,9023,9023,0,9023,0,3322,506,5195,5.458494957331265,5.458494957331265,0.5757508589161033,0.444777397260274,0.0,49252.0,49252.0,0.0,1.0
Strict C1 reservation,5110,1,9084,9084,0,9084,0,3148,510,5426,5.392228093350947,5.392228093350947,0.5973139586085425,0.46455479452054793,0.0,48983.0,48983.0,0.0,1.0
Strict C1 reservation,5110,2,9150,9150,0,9150,0,3421,548,5181,5.533661202185792,5.533661202185792,0.5662295081967214,0.4435787671232877,0.0,50633.0,50633.0,0.0,1.0
Strict C1 reservation,5111,1,9035,9035,0,9035,0,3112,530,5393,5.3731045932484784,5.3731045932484784,0.5969009407858329,0.46172945205479454,0.0,48546.0,48546.0,0.0,1.0
Strict C1 reservation,5111,2,9204,9204,0,9204,0,3408,571,5225,5.55573663624511,5.55573663624511,0.5676879617557584,0.4473458904109589,0.0,51135.0,51135.0,0.0,1.0
Strict C1 reservation,5112,1,9194,9194,0,9194,0,3270,524,5400,5.426908853600174,5.426908853600174,0.5873395692843159,0.4623287671232877,0.0,49895.0,49895.0,0.0,1.0
Strict C1 reservation,5112,2,9172,9172,0,9172,0,3429,594,5149,5.579481029219363,5.579481029219363,0.5613824683820323,0.4408390410958904,0.0,51175.0,51175.0,0.0,1.0
Strict C1 reservation,5113,1,9263,9263,0,9263,0,3343,602,5318,5.4535247759905,5.4535247759905,0.5741120587282738,0.4553082191780822,0.0,50516.0,50516.0,0.0,1.0
Strict C1 reservation,5113,2,9155,9155,0,9155,0,3371,667,5117,5.640633533588203,5.640633533588203,0.5589295466957946,0.43809931506849314,0.0,51640.0,51640.0,0.0,1.0
Strict C1 reservation,5114,1,9028,9028,0,9028,0,3180,574,5274,5.519937970757643,5.519937970757643,0.5841825431989366,0.45154109589041097,0.0,49834.0,49834.0,0.0,1.0
Strict C1 reservation,5114,2,9287,9287,0,9287,0,3443,635,5209,5.73188327770001,5.73188327770001,0.5608915688596964,0.4459760273972603,0.0,53232.0,53232.0,0.0,1.0
Strict C1 reservation,5115,1,9045,9045,0,9045,0,3132,404,5509,5.2388059701492535,5.2388059701492535,0.6090657822001105,0.4716609589041096,0.0,47385.0,47385.0,0.0,1.0
