policy,lambda_total,seed,total_arrivals,served_share,balked_share,canceled_share,no_show_share,no_offer_share,unresolved_booked_share,lost_share
Class-1-first backfill reservation,70,6103,25186,0.4003017549432224,0.17795600730564598,0.35825458588104503,0.06313031048995474,0.0,0.00035734138013181926,0.5996982450567776
Class-1-first backfill reservation,70,6104,25387,0.3880726356008981,0.17438058849017213,0.36522629692362235,0.07176901563792493,0.0,0.0005514633473825186,0.6119273643991019
Class-1-first backfill reservation,70,6105,25426,0.39243294265712264,0.17517501769841895,0.36525603712734994,0.06690002359789192,0.0,0.00023597891921655,0.6075670573428774
Class-1-first backfill reservation,70,6106,25696,0.39535336239103364,0.1793664383561644,0.36499844333748444,0.0600093399750934,0.0,0.0002724159402241594,0.6046466376089664
Class-1-first backfill reservation,70,6107,25626,0.38687270740654023,0.1808319675329743,0.36384921564036526,0.06813392648091782,0.0,0.0003121829392023726,0.6131272925934598
Class-1-first backfill reservation,70,6108,25528,0.3925101848950172,0.18168285803823253,0.360271074898151,0.06510498276402382,0.0,0.0004308994045753682,0.6074898151049828
Class-1-first backfill reservation,70,6109,25509,0.3958602846054334,0.18248461327374652,0.3589713434474107,0.062252538319808697,0.0,0.00043122035360068997,0.6041397153945667
Class-1-first backfill reservation,70,6110,25792,0.388802729528536,0.1797456575682382,0.367284429280397,0.06389578163771713,0.0,0.00027140198511166254,0.611197270471464
Strict C1 reservation,80,6101,29487,0.3325194153355716,0.26045375928375214,0.34293078305694036,0.06409604232373588,0.0,0.0,0.6674805846644284
Strict C1 reservation,80,6102,29234,0.336252308955326,0.2534035711842375,0.3476431552302114,0.06270096463022508,0.0,0.0,0.663747691044674
Strict C1 reservation,80,6103,29353,0.3344802916226621,0.2552720335229789,0.34698327257861206,0.06326440227574694,0.0,0.0,0.6655197083773379
Strict C1 reservation,80,6104,29201,0.33622136228211363,0.25355296051505083,0.3463580014383069,0.0638676757645286,0.0,0.0,0.6637786377178864
Strict C1 reservation,80,6105,29210,0.3354330708661417,0.25891817870592265,0.3405682985279014,0.06508045190003424,0.0,0.0,0.6645669291338583
Strict C1 reservation,80,6106,29277,0.3366123578235475,0.2570277009256413,0.34419510195716774,0.06216483929364348,0.0,0.0,0.6633876421764525
Strict C1 reservation,80,6107,29126,0.33650346769209644,0.2547895351232576,0.34409119000206,0.064615807182586,0.0,0.0,0.6634965323079036
Strict C1 reservation,80,6108,29397,0.33500017008538285,0.26006055039629894,0.3428921318501888,0.0620471476681294,0.0,0.0,0.6649998299146171
Strict C1 reservation,80,6109,29197,0.3351029215330342,0.25399869849642087,0.34643970270918245,0.06445867726136247,0.0,0.0,0.6648970784669658
Strict C1 reservation,80,6110,29463,0.33370668295828665,0.25740759596782403,0.3457896344567763,0.063096086617113,0.0,0.0,0.6662933170417134
Class-1-first backfill reservation,80,6101,28871,0.340480066502719,0.2181081361920266,0.3771951092792075,0.06397423019639084,0.0,0.00024245782965605624,0.659519933497281
Class-1-first backfill reservation,80,6102,29101,0.33600219923713964,0.2217105941376585,0.37613827703515346,0.06573657262637023,0.0,0.00041235696367822414,0.6639978007628604
Class-1-first backfill reservation,80,6103,29189,0.3368734797355168,0.22296070437493576,0.3766144780568022,0.06317448353831923,0.0,0.0003768542944259824,0.6631265202644832
Class-1-first backfill reservation,80,6104,29122,0.3370304237346336,0.22931117368312615,0.36996085433692744,0.06335416523590413,0.0,0.0003433830094086945,0.6629695762653663
Class-1-first backfill reservation,80,6105,29207,0.33601533878864653,0.22891772520286233,0.37035642140582736,0.06433389256000274,0.0,0.0003766220426610059,0.6639846612113535
Class-1-first backfill reservation,80,6106,28743,0.3411265351563859,0.21507845388442404,0.3790140208050656,0.06446787043801969,0.0,0.00031311971610479075,0.6588734648436141
Class-1-first backfill reservation,80,6107,29386,0.33498945075886477,0.2334785271898183,0.3685428435309331,0.06275096984958824,0.0,0.00023820867079561695,0.6650105492411352
Class-1-first backfill reservation,80,6108,28989,0.33978405602124945,0.2246369312497844,0.37214115699058264,0.06312739314912554,0.0,0.0003104625892579944,0.6602159439787506
Class-1-first backfill reservation,80,6109,29114,0.33835955210551627,0.22559593322800028,0.37260424538022946,0.06319983513086487,0.0,0.00024043415538915985,0.6616404478944837
Class-1-first backfill reservation,80,6110,29142,0.33511769954018256,0.22760963557751698,0.3717658362500858,0.06516368128474367,0.0,0.00034314734747100404,0.6648823004598174
Strict C1 reservation,90,6101,33049,0.2951072649701958,0.32463917213834004,0.32243033072105054,0.05782323217041363,0.0,0.0,0.7048927350298042
Strict C1 reservation,90,6102,32653,0.3001255627354301,0.3182249716718219,0.3249624843046581,0.05668698128808992,0.0,0.0,0.6998744372645699
Strict C1 reservation,90,6103,32954,0.29865873642046487,0.32260120167506223,0.3226315470049159,0.05607816956970322,0.0,3.034532985373551e-05,0.7013412635795351
Strict C1 reservation,90,6104,32524,0.3029455171565613,0.3208092485549133,0.31976386668306483,0.05648136760546058,0.0,0.0,0.6970544828434387
Strict C1 reservation,90,6105,32923,0.2964189168666282,0.3216292561431218,0.3233301946967166,0.058317893266105765,0.0,0.0003037390274276342,0.7035810831333718
Strict C1 reservation,90,6106,32894,0.2977442694716362,0.3218216088040372,0.3233416428527999,0.05709247887152672,0.0,0.0,0.7022557305283639
Strict C1 reservation,90,6107,32727,0.29684969596968863,0.3241360344669539,0.3195526629388578,0.05940049500412503,0.0,6.111162037461423e-05,0.7031503040303113
Strict C1 reservation,90,6108,33116,0.2956576881265853,0.327485203526996,0.32017755767604783,0.05667955067037082,0.0,0.0,0.7043423118734147
Strict C1 reservation,90,6109,32863,0.2998204667863555,0.3283936341782552,0.3165566138210145,0.055229285214374826,0.0,0.0,0.7001795332136446
Strict C1 reservation,90,6110,32921,0.3015400504237417,0.3227119467816895,0.32240818930166154,0.05333981349290726,0.0,0.0,0.6984599495762583
Class-1-first backfill reservation,90,6101,32828,0.30184598513464117,0.292280979651517,0.3511636407944438,0.054557085414889725,0.0,0.00015230900450834654,0.6981540148653589
Class-1-first backfill reservation,90,6102,32709,0.2999480265370387,0.29355834785533036,0.3496591152282246,0.056559356751964295,0.0,0.00027515362744198843,0.7000519734629612
Class-1-first backfill reservation,90,6103,32902,0.29894839219500335,0.2977326606285332,0.34727372196219075,0.055710899033493404,0.0,0.00033432618077928393,0.7010516078049966
Class-1-first backfill reservation,90,6104,32984,0.29662866844530683,0.3042384186272132,0.3418627213194276,0.05696701430996847,0.0,0.0003031772980839195,0.7033713315546932
Class-1-first backfill reservation,90,6105,32972,0.297130898944559,0.303378624287274,0.34174451049375226,0.057321363581220426,0.0,0.0004246026931942254,0.702869101055441
Class-1-first backfill reservation,90,6106,32559,0.30215915722227343,0.2925151263859455,0.34856721643785127,0.05648207868792039,0.0,0.0002764212660093983,0.6978408427777266
Class-1-first backfill reservation,90,6107,32911,0.2975297013156695,0.30318130716173924,0.34268177812889306,0.056303363617027744,0.0,0.00030384977667041415,0.7024702986843304
Class-1-first backfill reservation,90,6108,32754,0.29877266898699395,0.29978017952005864,0.3439579898638334,0.057244916651401356,0.0,0.0002442449777126458,0.701227331013006
Class-1-first backfill reservation,90,6109,32627,0.3010696662273577,0.2993226468875471,0.3425383884512827,0.0567015048885892,0.0,0.00036779354522328134,0.6989303337726422
Class-1-first backfill reservation,90,6110,32659,0.2985700725680517,0.2929667166784041,0.35001071680088186,0.058146299641752656,0.0,0.0003061943109097033,0.7014299274319483
Strict C1 reservation,100,6101,36403,0.26893387907590033,0.3509875559706618,0.3285718210037634,0.05114963052495673,0.0,0.00035711342471774307,0.7310661209240996
Strict C1 reservation,100,6102,36652,0.267352395503656,0.3513041580268471,0.3306504419949798,0.05063843719305904,0.0,5.456728145803776e-05,0.732647604496344
Strict C1 reservation,100,6103,36695,0.2655675160103556,0.3555252759231503,0.32549393650361086,0.052459463142117455,0.0004632783758005178,0.0004905300449652542,0.7344324839896443
Strict C1 reservation,100,6104,36498,0.2691106361992438,0.35818401008274425,0.32245602498767056,0.05005753739930955,0.0,0.00019179133103183735,0.7308893638007562
Strict C1 reservation,100,6105,36839,0.2666467602269334,0.35337549879204105,0.3288634327750482,0.05048996986888895,0.00016287087054480306,0.00046146746654360867,0.7333532397730665
Strict C1 reservation,100,6106,36455,0.2702509943766287,0.35361404471265945,0.32497599780551367,0.050528048278699764,0.0,0.0006309148264984228,0.7297490056233713
Strict C1 reservation,100,6107,36816,0.26540091264667537,0.35691003911342895,0.32583659278574534,0.05158083441981747,0.0,0.0002716210343328987,0.7345990873533247
Strict C1 reservation,100,6108,36707,0.2695126270193696,0.35410139755360015,0.3277304056446999,0.048355899419729204,0.0,0.00029967036260113877,0.7304873729806304
Strict C1 reservation,100,6109,36596,0.2687998688381244,0.34971035085801727,0.33101978358290524,0.05011476664116297,0.0,0.000355230079790141,0.7312001311618757
Strict C1 reservation,100,6110,36514,0.2675412170674262,0.355753957386208,0.3243687352796188,0.052007449197568056,0.0,0.0003286410691789451,0.7324587829325738
Class-1-first backfill reservation,100,6101,36374,0.2699180733490955,0.3495628745807445,0.329383625666685,0.050833012591411444,0.0,0.00030241381206356187,0.7300819266509045
Class-1-first backfill reservation,100,6102,36544,0.26959281961471104,0.3475809982486865,0.33228436952714535,0.05018607705779334,0.0,0.0003557355516637478,0.730407180385289
Class-1-first backfill reservation,100,6103,36369,0.26907531139156976,0.3479061838378839,0.33058373889851245,0.05210481453985537,0.0,0.00032995133217850366,0.7309246886084303
Class-1-first backfill reservation,100,6104,36576,0.2672790901137358,0.3548501749781277,0.32565069991251094,0.05186461067366579,0.0,0.00035542432195975504,0.7327209098862643
Class-1-first backfill reservation,100,6105,36319,0.2712629753021834,0.34976183264957733,0.32828547041493433,0.0503317822627275,0.0,0.00035793937057738376,0.7287370246978165
Class-1-first backfill reservation,100,6106,36515,0.2683280843488977,0.3549774065452554,0.3249075722305902,0.05143091880049295,0.0,0.0003560180747637957,0.7316719156511022
Class-1-first backfill reservation,100,6107,36496,0.26863217886891716,0.347818939061815,0.3320911880754055,0.05118369136343709,0.0,0.00027400263042525206,0.7313678211310829
Class-1-first backfill reservation,100,6108,36666,0.2664593901707304,0.35692467135766104,0.32498772704958273,0.05138275241368025,0.0,0.0002454590083456063,0.7335406098292696
Class-1-first backfill reservation,100,6109,36274,0.26947676021392736,0.350306004300601,0.3282792082483321,0.05160721177703038,0.0,0.0003308154601091691,0.7305232397860727
Class-1-first backfill reservation,100,6110,36638,0.26824608330149025,0.35261204214203834,0.3289207926196845,0.049975435340357005,0.0,0.0002456465964299361,0.7317539166985098
