scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,objective_name,direction,near_tie_tolerance,fcfs_mean,exact_best_q_values,exact_best_value,near_tie_q_values,near_tie_q_ranges,best_strict_q_values,best_strict_near_tie_q_values,best_strict_q_ranges,best_strict_value,best_strict_delta_vs_fcfs,composition_effect_likely,class_1_service_rate_delta_min,class_1_service_rate_delta_max,class_2_service_rate_delta_min,class_2_service_rate_delta_max,class_1_no_offer_rate_delta_min,class_1_no_offer_rate_delta_max,class_2_no_offer_rate_delta_min,class_2_no_offer_rate_delta_max
t05_09_b07_l25,25,25,5,9,0.7,1.5,1.0,Obj_util_norm,maximize,0.01,0.4922791095890411,24,0.5337226027397259,24,24,24,24,24,0.5337226027397259,0.0414434931506847,False,0.3700613054283482,0.3700613054283482,-0.4214940172308747,-0.4214940172308747,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,1.5,1.0,Obj_service_norm,maximize,0.01,0.6297969236257279,24,0.6832360999903871,24,24,24,24,24,0.6832360999903871,0.0534391763646592,False,0.3700613054283482,0.3700613054283482,-0.4214940172308747,-0.4214940172308747,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,1.5,1.0,T_wait_offered,minimize,0.01,4.596463639853904,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.586413137888945,False,0.4107153304284553,0.4107153304284553,-0.6905653047070033,-0.6905653047070033,0.0,0.0,1.0,1.0
t05_09_b07_l25,25,25,5,9,0.7,2.0,1.0,Obj_util_norm,maximize,0.01,0.4871432648401826,24,0.5697402968036529,24,24,24,24,24,0.5697402968036529,0.0825970319634702,False,0.3700613054283482,0.3700613054283482,-0.4214940172308747,-0.4214940172308747,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,2.0,1.0,Obj_service_norm,maximize,0.01,0.6230448812833641,24,0.7292544124919715,24,24,24,24,24,0.7292544124919715,0.1062095312086074,False,0.3700613054283482,0.3700613054283482,-0.4214940172308747,-0.4214940172308747,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,2.0,1.0,T_wait_offered,minimize,0.01,4.596561088273967,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.586510586309008,False,0.4107153304284553,0.4107153304284553,-0.6905653047070033,-0.6905653047070033,0.0,0.0,1.0,1.0
t05_09_b07_l50,50,50,5,9,0.7,0.5,1.0,Obj_util_norm,maximize,0.01,0.450810502283105,0,0.450810502283105,"0,2,4,6,8","0-8 [0,2,4,6,8]",2,"2,4,6,8","2-8 [2,4,6,8]",0.450630707762557,-0.000179794520548,False,0.0012755903542231,0.0090928123525637,-0.008876473869496,-0.0002861762318054,0.0,0.0,0.0,0.0
t05_09_b07_l50,50,50,5,9,0.7,0.5,1.0,Obj_service_norm,maximize,0.01,0.2884683461886888,2,0.2887027588188929,"0,2,4,6","0-6 [0,2,4,6]",2,"2,4,6","2-6 [2,4,6]",0.2887027588188929,0.0002344126302041,False,0.0012755903542231,0.005188815029521,-0.0049972247657977,-0.0002861762318054,0.0,0.0,0.0,0.0
t05_09_b07_l50,50,50,5,9,0.7,0.5,1.0,T_wait_offered,minimize,0.01,8.084286260540491,32,4.4754074323352295,32,32,32,32,32,4.4754074323352295,-3.6088788282052615,False,0.4299292915784278,0.4299292915784278,-0.3278916641621889,-0.3278916641621889,0.0,0.0,1.0,1.0
t05_09_b07_l50,50,50,5,9,0.7,1.0,1.0,Obj_util_norm,maximize,0.01,0.4200064212328767,32,0.4998951198630138,32,32,32,32,32,0.4998951198630138,0.079888698630137,False,0.4299292915784278,0.4299292915784278,-0.3278916641621889,-0.3278916641621889,0.0,0.0,1.0,1.0
