class1_xi_high,class_id,mean,std,n,se,ci95,metric
0.0,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.1,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.1,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.2,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.2,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.3,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.3,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.4,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.4,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.5,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.5,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.6,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.6,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.7,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.7,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.8,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.8,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.9,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.9,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.0,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.0,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.1,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.1,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.2,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.2,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.3,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.3,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.4,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.4,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.5,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.5,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.6,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.6,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.7,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.7,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.8,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.8,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.9,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.9,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
