config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
+cancel,+Cancellation gap,16,0.9230136986301349,0.7748986029743128,6878,8399.0,11.727810650887575,11.724538080216314,0.028954484001802613,8876,8619,8876,257,0,1167,574,0,0.7989571263035922,0.7412114656571119,0.057745660646480235
+cancel,+Cancellation gap,17,0.9161643835616421,0.7671695564062149,6814,8348.0,11.102722196370404,11.104818734519252,0.03219995496509795,8882,8596,8882,286,0,1166,616,0,0.8017774343122102,0.7188343227199137,0.0829431115922965
+cancel,+Cancellation gap,18,0.9194520547945179,0.7769248395967002,6781,8372.0,10.348330570684348,10.349450045829514,0.03230980751604033,8728,8446,8728,282,0,1080,585,0,0.8061544492355939,0.7357970215113072,0.07035742772428666
+cancel,+Cancellation gap,19,0.9183561643835592,0.7678492239467849,6926,8363.0,11.253707322680768,11.28580931263858,0.03558758314855876,9020,8699,9020,321,0,1164,609,0,0.805003819709702,0.7164376321353065,0.0885661875743955
+cancel,+Cancellation gap,20,0.921643835616437,0.7724578203374373,6776,8362.0,11.427262044653348,11.433994528043776,0.029867761057911536,8772,8510,8772,262,0,1162,572,0,0.7970277669143527,0.7381082558775287,0.058919511036824024
+cancel,+Cancellation gap,21,0.9178082191780803,0.7782359679266896,6794,8335.0,10.547963050686878,10.556471935853379,0.03276059564719359,8730,8444,8730,286,0,1045,605,0,0.8064012490241999,0.7382140876317249,0.06818716139247494
+cancel,+Cancellation gap,22,0.923835616438354,0.7878367441322697,6814,8385.0,10.522619047619047,10.511851081049832,0.02878945542837322,8649,8400,8649,249,0,1018,568,0,0.8127862975502887,0.7533076074972437,0.05947869005304507
+cancel,+Cancellation gap,23,0.9232876712328746,0.7780454232622162,6783,8408.0,11.07397747480735,11.076508373480156,0.032461573755448496,8718,8435,8718,283,0,1089,563,0,0.8145353455123113,0.7281368821292775,0.08639846338303381
+cancel,+Cancellation gap,24,0.919726027397258,0.7744773220610076,6779,8357.0,10.976131687242798,10.974408774134583,0.028333142922426596,8753,8505,8753,248,0,1134,592,0,0.8046267496111975,0.7315045719035744,0.07312217770762308
+cancel,+Cancellation gap,25,0.9212328767123266,0.7790417097552568,6780,8384.0,10.427811280595956,10.424451338618868,0.028266115132712856,8703,8457,8703,246,0,1102,575,0,0.8159203980099502,0.7286568787384448,0.08726351927150544
+cancel,+Cancellation gap,26,0.9158904109589022,0.7761624552901811,6727,8328.0,10.06707897240723,10.068651205722857,0.029883466020537673,8667,8408,8667,259,0,1062,619,0,0.8113317757009346,0.7250070801472671,0.08632469555366751
+cancel,+Cancellation gap,27,0.9169863013698607,0.7711283691183188,6752,8355.0,10.969618464437117,10.973047053449063,0.03015075376884422,8756,8492,8756,264,0,1139,601,0,0.8050400468841571,0.7233984052790762,0.08164164160508092
+cancel,+Cancellation gap,28,0.9216438356164361,0.7960673495820088,6761,8377.0,9.303740587806656,9.301542446720829,0.030495702343106088,8493,8234,8493,259,0,894,579,0,0.8257790368271954,0.7547169811320755,0.07106205569511992
