policy,seed,Q,rho_1,rho_2,tau_1,tau_2,offered_1,offered_2,total_offered_delay_1,total_offered_delay_2,served_rate_1,served_rate_2,arrivals_1,arrivals_2,served_1,served_2,overall_served_rate,min_served_rate,served_rate_flag,w1,w2,weight_set,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,delta_weighted_utilization,delta_weighted_offered_wait
Strict C1 reservation,5104,28,0.7601883561643835,0.125,0.07208018921049668,10.632208293153328,8879.0,5185.0,640.0,55128.0,1.0,0.1384476737636589,8879.0,8877.0,8879.0,1229.0,0.5692723586393332,0.1384476737636589,True,1.5,1.0,"w1=1.5, w2=1",1.2652825342465752,3.031210311562677,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.013869863013698636,-2.3412283035229966
Strict C1 reservation,5104,32,0.7846746575342466,0.0,0.007637752318603383,,9165.0,0.0,70.0,0.0,1.0,0.0,9165.0,9208.0,9165.0,0.0,0.4988298046045828,0.0,True,1.5,1.0,"w1=1.5, w2=1",1.17701198630137,0.007637752318603383,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,-0.07440068493150664,-5.36480086276707
Strict C1 reservation,5105,0,0.5049657534246575,0.4946917808219178,5.395206304038525,5.392718392718392,9137.0,9009.0,49296.0,48583.0,0.5953814162197658,0.5888555888555889,9137.0,9009.0,5440.0,5305.0,0.5921415187920203,0.5888555888555889,False,1.5,1.0,"w1=1.5, w2=1",1.252140410958904,5.39421955138788,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.0,0.0
Strict C1 reservation,5105,4,0.5065924657534246,0.4930650684931507,5.378898982160447,5.4092574092574095,9137.0,9009.0,49147.0,48732.0,0.5975703184852796,0.5866355866355867,9137.0,9009.0,5460.0,5285.0,0.5921415187920203,0.5866355866355867,False,1.5,1.0,"w1=1.5, w2=1",1.2529537671232878,5.390939708115961,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.0008133561643837162,-0.003279843271918992
Strict C1 reservation,5105,8,0.5077910958904109,0.4918664383561644,5.348473240669804,5.44011544011544,9137.0,9009.0,48869.0,49010.0,0.5996497756375178,0.5845265845265846,9137.0,9009.0,5479.0,5266.0,0.5921415187920203,0.5845265845265846,False,1.5,1.0,"w1=1.5, w2=1",1.2535530821917809,5.384820268991173,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.0014126712328768054,-0.009399282396707065
Strict C1 reservation,5105,12,0.5122431506849315,0.48741438356164385,5.279632264419393,5.510489510489511,9137.0,9009.0,48240.0,49644.0,0.6070920433402649,0.5765345765345765,9137.0,9009.0,5547.0,5194.0,0.591921084536537,0.5765345765345765,False,1.5,1.0,"w1=1.5, w2=1",1.2557791095890412,5.371194611371591,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.003638698630137105,-0.023024940016289186
Strict C1 reservation,5105,16,0.5387842465753425,0.461472602739726,4.778320842836972,6.2202197802197805,9207.0,9100.0,43994.0,56604.0,0.6673183447376996,0.49835164835164836,9207.0,9100.0,6144.0,4535.0,0.5833287813404708,0.49835164835164836,True,1.5,1.0,"w1=1.5, w2=1",1.2696489726027398,5.351039916195631,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.01750856164383574,-0.04317963519224932
Strict C1 reservation,5105,20,0.6367294520547945,0.3625,2.9326658598305646,7.559572357544362,9089.0,9073.0,26655.0,68588.0,0.8182418307844648,0.39171167199382784,9089.0,9073.0,7437.0,3554.0,0.6051646294460963,0.39171167199382784,True,1.5,1.0,"w1=1.5, w2=1",1.3175941780821918,4.781472265650804,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.06545376712328776,-0.6127472857370755
Strict C1 reservation,5105,24,0.7535102739726027,0.24965753424657533,1.5217065065923465,9.418783422459892,9329.0,8976.0,14196.0,84543.0,0.9434022939221781,0.2701983819128893,9329.0,9023.0,8801.0,2438.0,0.6124128160418483,0.2701983819128893,True,1.5,1.0,"w1=1.5, w2=1",1.3799229452054793,4.607718931626723,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.12778253424657526,-0.7865006197611573
Strict C1 reservation,5105,28,0.7781678082191781,0.12508561643835617,0.07294531851688854,10.54203187250996,9089.0,5020.0,663.0,52921.0,1.0,0.13507316007861978,9089.0,9158.0,9089.0,1237.0,0.5659012440401162,0.13507316007861978,True,1.5,1.0,"w1=1.5, w2=1",1.2923373287671234,2.890369099632777,1.252140410958904,5.39421955138788,0.5953814162197658,0.5888555888555889,0.5921415187920203,0.040196917808219323,-2.503850451755103
