comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_horizon_only,10,0.0006643835616436777,-0.0010960616438361562,0.0026304794520550256,inconclusive,0.0031597074724386666,-0.0010211566177331798,0.007076392497264272,inconclusive,BG00044,release
both_flexible_vs_baseline,10,-0.004472602739726039,-0.006013869863012888,-0.0026849315068495833,inconclusive,0.04586209089995781,0.04200480333352191,0.049581779434351034,supported,BG00045,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00045,release
both_flexible_vs_horizon_only,10,-0.0040684931506848486,-0.006164554794520412,-0.002034246575342567,inconclusive,0.043356354335694916,0.039320686592332586,0.047613492382338134,supported,BG00045,release
both_flexible_vs_baseline,10,-0.000136986301369868,-0.00060821917808217,0.00019726027397256595,inconclusive,0.0001003983692485888,-0.00030446724487062096,0.0006056623526163873,inconclusive,BG00046,release
both_flexible_vs_reservation_only,10,-0.000136986301369868,-0.00060821917808217,0.00019726027397256595,inconclusive,0.0001003983692485888,-0.00030446724487062096,0.0006056623526163873,inconclusive,BG00046,release
both_flexible_vs_horizon_only,10,-0.000136986301369868,-0.00060821917808217,0.00019726027397256595,inconclusive,0.0001003983692485888,-0.00030446724487062096,0.0006056623526163873,inconclusive,BG00046,release
both_flexible_vs_baseline,10,-0.015726027397260235,-0.018205479452054696,-0.013342465753424513,contradicted,0.027197699892458925,0.02410987863293615,0.03086559056872476,supported,BG00047,release
both_flexible_vs_reservation_only,10,-0.015726027397260235,-0.018109931506849333,-0.01330102739726009,contradicted,0.027197699892458925,0.02415151528171911,0.03091567852549095,supported,BG00047,release
both_flexible_vs_horizon_only,10,0.00010958904109588108,-0.0016027397260269603,0.001835616438355761,inconclusive,0.0019191575593038134,-0.0005407550428368759,0.004903867413936806,inconclusive,BG00047,release
both_flexible_vs_baseline,10,0.0008082191780821258,-0.0034383561643836725,0.004404109589040972,inconclusive,0.0005939800784559579,-0.0009165950422600898,0.0022827825349588274,inconclusive,BG00048,release
both_flexible_vs_reservation_only,10,-0.00019178082191786405,-0.003459417808219195,0.002780993150685018,inconclusive,4.402761661055354e-05,-0.0015581535410523542,0.0019607643715801927,inconclusive,BG00048,release
both_flexible_vs_horizon_only,10,0.0008082191780821258,-0.003164383561643892,0.0044659246575340615,inconclusive,0.0005939800784559579,-0.0009285621506082783,0.0022892148140292723,inconclusive,BG00048,release
both_flexible_vs_baseline,10,0.0012547945205480416,-0.001347945205479244,0.003917808219178124,inconclusive,0.0009842733476876698,-0.0006685844885226985,0.002641329355623655,inconclusive,BG00049,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00049,release
both_flexible_vs_horizon_only,10,0.0012547945205480416,-0.001293287671232896,0.004005616438356187,inconclusive,0.0009842733476876698,-0.0007197468412709179,0.002597796164744439,inconclusive,BG00049,release
