background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0160,S128,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,7,7,0.3,0.3,0,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.3,0.3,0;1;2;3;4;5,5,5,-0.7,0.16465136543988435,0.0,1.0,1.0,0.14932243369484552,0.016053460452222886,True,False,bucket_mass_jump_relationship_reversed,reversed
H6B0164,S132,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,14,14,0.1,0.1,0,6,0.1,0.1,0.7,0.7,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.1398601398601399,0.2114129186208888,8.0,9.0,9.0,0.4003839207555746,0.04858332621142343,True,True,spearman_below_support_threshold,inconclusive
H6B0165,S133,sobol_symmetric,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,0,4,0.1,0.1,0.3,0.3,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.5734265734265735,0.04542555790631393,3.0,4.0,4.0,0.03887463212403533,0.002744176005088568,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0174,S142,sobol_symmetric,2.0,0.9,64,128.0,115.2,12.799999999999995,21,21,0.1,0.1,0,9,0.3,0.3,0.7,0.7,6,6,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,6,1.0,0.0,1.0,2.0,2.0,0.5277953657074319,0.0039682102660053425,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0188,S156;X097,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,21,21,0.3,0.3,0,9,0.0,0.0,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,9,0.6336991048741369,0.009563209429686196,9.0,10.0,10.0,0.009563209429686196,0.0019518408895045866,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0196,S164,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,28,28,0.1,0.1,0,12,0.0,0.0,0.1,0.1,4,4,0.3,0.3,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,26,0.08307692307692308,0.02804175168945002,18.0,19.0,19.0,0.028043177963478428,0.0012444732660670463,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0200,S168,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.0,0.0,0,4,0.1,0.1,0.5,0.5,4,4,0.0,0.0,0.7,0.7,0;1;2;3;4;5,5,2,0.22360679774997896,0.0,1.0,2.0,2.0,0.0,0.001901808445867409,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0212,S180,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,14,14,0.0,0.0,0,6,0.5,0.5,0.7,0.7,12,12,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,0.26618950766208666,0.0,11.0,12.0,12.0,0.047709329804344294,0.0011174151865178089,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0221,S189,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,0,4,0.0,0.0,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5,5,5,-0.3,0.08553527035883444,0.0,1.0,1.0,0.08466722299986709,0.024401464902891044,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0222,S190,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,21,21,0.0,0.0,0,9,0.1,0.1,0.5,0.5,4,4,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,11,0.016192184299674943,0.0931494455028075,18.0,19.0,19.0,0.3357005121414698,0.006849765185738904,True,True,spearman_below_support_threshold,inconclusive
H6B0227,S195,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,7,7,0.1,0.1,0,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.5,0.5,0;1;2;3;4;5,5,5,0.49999999999999994,0.12285893780655846,3.0,4.0,4.0,0.5581100950825044,0.06294445136046768,True,True,spearman_below_support_threshold,inconclusive
H6B0232,S200,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.3,0.3,0,4,0.0,0.0,0.1,0.1,6,6,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12,12,9,0.6210526315789474,0.10043996376178502,0.0,1.0,1.0,0.10061141294063991,0.0037724610262693916,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0234,S202,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.3,0.3,0,12,0.0,0.0,0.7,0.7,9,9,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,1,0.9999999999999998,0.0,0.0,1.0,1.0,0.013382095811739483,0.0035268934751075285,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0244,S212,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.3,0,4,0.3,0.3,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0;1;2;3;4;5,5,5,-0.7999999999999999,0.1214271642224074,0.0,1.0,1.0,0.12108385941088082,0.004107614672004017,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0247,S215,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,0,6,0.0,0.0,0.1,0.1,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.048537367395941354,9.676568568096622e-05,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0261,X005,asymmetric_stress,4.0,0.5,32,128.0,64.0,64.0,21,28,0.1,0.1,0,4,0.1,0.0,0.7,0.7,4,4,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,18,-0.13859649122807016,0.25793144452435735,0.0,1.0,1.0,0.03236697614409798,0.012173220305250749,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0262,X006,asymmetric_stress,2.0,0.1,32,64.0,6.4,57.6,7,21,0.1,0.1,0,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.5,0.5,0;1;2;3;4;5,5,5,0.49999999999999994,0.12285893780655846,3.0,4.0,4.0,0.5581100950825044,0.06294445136046768,True,True,spearman_below_support_threshold,inconclusive
