background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0057,S025,sobol_symmetric,2.0,0.3,64,128.0,38.4,89.6,14,14,0.0,0.0,0,4,0.0,0.0,0.5,0.5,12,12,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,8,0.7605822404203186,0.15939296530801322,11.0,12.0,12.0,0.3306489702853976,0.0808641157904162,True,True,,supported
H6B0058,S026,sobol_symmetric,0.8,0.5,16,12.8,6.4,6.4,28,28,0.3,0.3,0,12,0.7,0.7,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0059,S027,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.5,0.5,0,4,0.1,0.1,0.3,0.3,4,4,0.3,0.3,0.3,0.3,0;1;2;3;4;5,5,2,0.9999999999999999,0.0,0.0,1.0,1.0,0.7961490892794059,0.09806388621810218,True,True,,supported
H6B0060,S028;X023,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,0,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,14,0.7628318584070797,0.05447576585994172,8.0,9.0,9.0,0.31556043981695414,0.01189096892678599,True,True,,supported
H6B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,0,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,10,0.9507575757575757,0.025946391530005906,5.0,6.0,6.0,0.39161049902844947,0.04909949068951475,True,True,,supported
H6B0062,S030,sobol_symmetric,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,0,4,0.1,0.1,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0;1;2;3;4;5,5,2,0.9999999999999999,0.0,0.0,1.0,1.0,0.5202241865709075,0.004059549379078417,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0063,S031,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,28,28,0.3,0.3,0,9,0.0,0.0,0.1,0.1,12,12,0.3,0.3,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,3,0.9999999999999998,0.0,1.0,2.0,2.0,0.5875933742938406,0.018921619914996485,True,True,,supported
H6B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,0,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12,12,7,0.30986683868975945,0.3517759434837596,5.0,6.0,6.0,0.23782304755175362,0.014642312517132688,True,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half,inconclusive
H6B0065,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,0,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0066,S034,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,21,21,0.1,0.1,0,9,0.5,0.5,0.5,0.5,12,12,0.0,0.0,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0067,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,0,12,0.0,0.0,0.5,0.5,9,9,0.0,0.0,0.0,0.0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,7,0.7132867132867133,0.012239119191716462,11.0,12.0,12.0,0.6718428467219533,0.267128813564777,True,True,,supported
H6B0068,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,0,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,10,0.8917547568710358,0.0,0.0,1.0,1.0,0.1022507716729903,0.010077959251248571,True,True,,supported
H6B0069,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,0,6,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0070,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,0,9,0.3,0.3,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,0,0,,,,,,,,,,no_within_class_balking_step,inactive
