background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1_background,cancel_class2_background,target_loss_share,arm,focal_probability,realized_focal_loss_share,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7917808219178082,0.7917808219178082,1.0,0.04779411764705882,0.04779411764705882,1.0,1.0,0.0,0.0,0.0,0.06934931506849315,0.7224315068493151,0.06934931506849315,0.7224315068493151,0.037037037037037035,0.04882673619341076,0.0,0.0,0.011789699156373727,2008,405,4219,405,4219,405,4219,0,0,0,0,0,0,405,4219,0.0,0.0,0.0,0.037037037037037035,0.04882673619341076,0.0,0.0,0.0,0.0,0.0,0.0,4624,4624
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.825513698630137,0.825513698630137,1.0,0.0493980904939809,0.0493980904939809,1.0,1.0,0.0,0.0,0.0,0.08253424657534246,0.7424657534246575,0.08253424657534246,0.7424657534246575,0.06016597510373444,0.04820110701107011,0.0,0.0,-0.011964868092664331,2009,482,4336,482,4336,482,4336,0,0,0,0,0,0,482,4336,0.0,0.0,0.0,0.06016597510373444,0.04820110701107011,0.0,0.0,0.0,0.0,0.0,0.0,4818,4818
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8087328767123287,0.8087328767123287,1.0,0.06987084480203261,0.06987084480203261,1.0,1.0,0.0,0.0,0.0,0.08236301369863014,0.7263698630136987,0.08236301369863014,0.7263698630136987,0.07276507276507277,0.06954266855256955,0.0,0.0,-0.0032224042125032215,2010,481,4242,481,4242,481,4242,0,0,0,0,0,0,481,4242,0.0,0.0,0.0,0.07276507276507277,0.06954266855256955,0.0,0.0,0.0,0.0,0.0,0.0,4723,4723
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.775,0.775,1.0,0.04814487632508834,0.04814487632508834,1.0,1.0,0.0,0.0,0.0,0.0779109589041096,0.6974315068493151,0.0779109589041096,0.6974315068493151,0.054945054945054944,0.04738521973974957,0.0,0.0,-0.007559835205305371,2011,455,4073,455,4073,455,4073,0,0,0,0,0,0,455,4073,0.0,0.0,0.0,0.054945054945054944,0.04738521973974957,0.0,0.0,0.0,0.0,0.0,0.0,4528,4528
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.811472602739726,0.811472602739726,1.0,0.07368421052631578,0.07368421052631578,1.0,1.0,0.0,0.0,0.0,0.07945205479452055,0.7339041095890411,0.07945205479452055,0.7339041095890411,0.06896551724137931,0.07419505366308912,0.0,0.0,0.005229536421709813,2012,464,4286,464,4286,464,4286,0,0,0,0,0,0,464,4286,0.0,0.0,0.0,0.06896551724137931,0.07419505366308912,0.0,0.0,0.0,0.0,0.0,0.0,4750,4750
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7811643835616439,0.7811643835616439,1.0,0.04449802718106094,0.04449802718106094,1.0,1.0,0.0,0.0,0.0,0.07962328767123288,0.7015410958904109,0.07962328767123288,0.7015410958904109,0.04516129032258064,0.044422748352453016,0.0,0.0,-0.0007385419701276263,2013,465,4097,465,4097,465,4097,0,0,0,0,0,0,465,4097,0.0,0.0,0.0,0.04516129032258064,0.044422748352453016,0.0,0.0,0.0,0.0,0.0,0.0,4562,4562
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7890410958904109,0.7890410958904109,1.0,0.04405381944444445,0.04405381944444445,1.0,1.0,0.0,0.0,0.0,0.07602739726027398,0.713013698630137,0.07602739726027398,0.713013698630137,0.05405405405405406,0.04298751200768492,0.0,0.0,-0.011066542046369136,2014,444,4164,444,4164,444,4164,0,0,0,0,0,0,444,4164,0.0,0.0,0.0,0.05405405405405406,0.04298751200768492,0.0,0.0,0.0,0.0,0.0,0.0,4608,4608
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7955479452054794,0.7955479452054794,1.0,0.05530449752528513,0.05530449752528513,1.0,1.0,0.0,0.0,0.0,0.08013698630136987,0.7155821917808219,0.08013698630136987,0.7155821917808219,0.0641025641025641,0.054319215123235225,0.0,0.0,-0.009783348979328872,2015,468,4179,468,4179,468,4179,0,0,0,0,0,0,468,4179,0.0,0.0,0.0,0.0641025641025641,0.054319215123235225,0.0,0.0,0.0,0.0,0.0,0.0,4647,4647
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.815068493150685,0.815068493150685,1.0,0.057352941176470586,0.057352941176470586,1.0,1.0,0.0,0.0,0.0,0.08133561643835617,0.7337328767123288,0.08133561643835617,0.7337328767123288,0.07578947368421053,0.05530921820303384,0.0,0.0,-0.02048025548117669,2016,475,4285,475,4285,475,4285,0,0,0,0,0,0,475,4285,0.0,0.0,0.0,0.07578947368421053,0.05530921820303384,0.0,0.0,0.0,0.0,0.0,0.0,4760,4760
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.803082191780822,0.803082191780822,1.0,0.03710021321961621,0.03710021321961621,1.0,1.0,0.0,0.0,0.0,0.08065068493150684,0.7224315068493151,0.08065068493150684,0.7224315068493151,0.04670912951167728,0.0360274946669827,0.0,0.0,-0.01068163484469458,2017,471,4219,471,4219,471,4219,0,0,0,0,0,0,471,4219,0.0,0.0,0.0,0.04670912951167728,0.0360274946669827,0.0,0.0,0.0,0.0,0.0,0.0,4690,4690
