scenario,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
"A: Pre-threshold gap
(0.30 gap below threshold)",27,2,18077,10260,7817,18077,0,5126,841,4293,8.25224171539961,8.665099297449798,0.23748409581235824,0.3675513698630137,0.43242794711511867,84668.0,156639.0
"A: Pre-threshold gap
(0.30 gap below threshold)",28,1,18119,12311,5808,18119,0,5740,1001,5565,7.650881325643733,8.530327280755008,0.3071361554169656,0.4764554794520548,0.3205474915834207,94190.0,154561.0
"A: Pre-threshold gap
(0.30 gap below threshold)",28,2,17986,10315,7671,17986,0,5197,927,4186,8.137081919534658,8.55943511620149,0.23273657289002558,0.3583904109589041,0.4264983876348271,83934.0,153950.0
"A: Pre-threshold gap
(0.30 gap below threshold)",29,1,18140,12174,5966,18140,0,5687,967,5519,7.574010185641531,8.491565600882028,0.304244762954796,0.47251712328767126,0.32888643880926133,92206.0,154037.0
"A: Pre-threshold gap
(0.30 gap below threshold)",29,2,18080,10396,7684,18080,0,5191,885,4317,8.115717583686033,8.535066371681417,0.2387721238938053,0.36960616438356164,0.425,84371.0,154314.0
"A: Pre-threshold gap
(0.30 gap below threshold)",30,1,18363,12333,6030,18363,0,5811,991,5527,7.755128516986946,8.646844197571204,0.3009856777215052,0.47320205479452054,0.3283777160594674,95644.0,158782.0
"A: Pre-threshold gap
(0.30 gap below threshold)",30,2,18233,10327,7906,18233,0,5162,874,4287,8.155127336109228,8.604179235452202,0.2351231283935721,0.3670376712328767,0.43360938956836503,84218.0,156880.0
"A: Pre-threshold gap
(0.30 gap below threshold)",31,1,18282,12202,6080,18282,0,5758,959,5481,7.7268480576954595,8.636746526638223,0.29980308500164093,0.469263698630137,0.3325675527841593,94283.0,157897.0
"A: Pre-threshold gap
(0.30 gap below threshold)",31,2,18373,10445,7928,18373,0,5208,866,4366,8.16629966491144,8.615849344146302,0.23763130680890437,0.3738013698630137,0.4315027485984869,85297.0,158299.0
"A: Pre-threshold gap
(0.30 gap below threshold)",32,1,18237,12244,5993,18237,0,5785,972,5486,7.746488075792225,8.65707079015189,0.3008170203432582,0.4696917808219178,0.3286176454460712,94848.0,157879.0
"A: Pre-threshold gap
(0.30 gap below threshold)",32,2,18289,10473,7816,18289,0,5259,861,4353,8.248734841974601,8.642900103887582,0.23801191973317296,0.37268835616438356,0.42736070862266934,86389.0,158070.0
"A: Pre-threshold gap
(0.30 gap below threshold)",33,1,18178,12173,6005,18178,0,5738,1023,5412,7.675511377639038,8.579161623941028,0.2977225217295632,0.46335616438356164,0.3303443723181868,93434.0,155952.0
"A: Pre-threshold gap
(0.30 gap below threshold)",33,2,18203,10413,7790,18203,0,5174,907,4331,8.148372227023913,8.574246003406031,0.23792781409657748,0.37080479452054793,0.4279514365763885,84849.0,156077.0
"A: Pre-threshold gap
(0.30 gap below threshold)",34,1,18182,12313,5869,18182,0,5835,992,5482,7.684967107934703,8.581564184358156,0.3015069849301507,0.46934931506849314,0.32279177208227916,94625.0,156030.0
"A: Pre-threshold gap
(0.30 gap below threshold)",34,2,18194,10396,7798,18194,0,5182,858,4349,8.166987302808772,8.547158403869407,0.23903484665274266,0.3723458904109589,0.42860283609981314,84904.0,155507.0
"A: Pre-threshold gap
(0.30 gap below threshold)",35,1,18198,12292,5906,18198,0,5798,1013,5480,7.68125610152945,8.569623035498406,0.3011319925266513,0.4691780821917808,0.32454115836905156,94418.0,155950.0
