class1_xi_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,72,0.9208904109589041,0.2906699859292131,10742,11970.0,8.418411811989678,9.39725619655807,0.3604015586102392,36956,23637,36956,13319,0,11958,921,16
0.0,73,0.9236301369863014,0.29621484922620195,10776,11992.0,8.193516699410608,9.150279007119492,0.3563869265235438,36379,23414,36379,12965,0,11733,887,18
0.0,74,0.9220890410958904,0.29467368074963013,10755,11972.0,8.281859006947975,9.243958573072497,0.3532796317606444,36498,23604,36498,12894,0,11922,913,14
0.0,75,0.9202910958904109,0.2922565889784361,10734,11953.0,8.482754279959718,9.455401873230233,0.3511217599651492,36728,23832,36728,12896,0,12168,919,11
0.0,76,0.9159246575342466,0.2915111050551846,10697,11924.0,8.496641759717908,9.472462188309034,0.35081073715765093,36695,23822,36695,12873,0,12137,975,13
0.0,77,0.9223458904109589,0.29349400224062083,10741,11982.0,8.352461799660441,9.321064568134,0.3562313850862093,36597,23560,36597,13037,0,11880,918,21
0.0,78,0.9215753424657535,0.29318801089918256,10760,11973.0,8.398652631578948,9.36408719346049,0.3528610354223433,36700,23750,36700,12950,0,12054,920,16
0.0,79,0.9199486301369864,0.2919747716398434,10740,11962.0,8.360218699669408,9.339821661591996,0.3585798173118747,36784,23594,36784,13190,0,11913,928,13
0.0,80,0.9206335616438356,0.295032930845225,10751,11947.0,8.406961405897622,9.364983534577387,0.3550768386388584,36440,23501,36440,12939,0,11806,936,8
0.0,81,0.9225171232876712,0.29770105402938,10761,11968.0,8.311279872999528,9.26994798583444,0.35516268260292166,36147,23307,36144,12837,3,11640,904,2
0.0,82,0.922945205479452,0.2973136962877158,10780,11987.0,8.213627598028712,9.15588283964918,0.3564178939820178,36258,23335,36258,12923,0,11634,906,15
0.0,83,0.9227739726027397,0.29600374305058624,10755,11975.0,8.322682210781602,9.28218748279848,0.353140309352122,36334,23503,36334,12831,0,11836,898,14
0.0,84,0.9242294520547946,0.29575262031498656,10779,12005.0,8.392929634641407,9.34857048784503,0.3511496460516929,36446,23648,36446,12798,0,11982,886,1
0.0,85,0.9169520547945206,0.294373486016296,10694,11930.0,8.27933293627159,9.21963774499009,0.35295089187403655,36328,23506,36328,12822,0,11852,950,10
0.0,86,0.9209760273972603,0.29530348805273277,10752,11959.0,8.3607708014293,9.316781104092282,0.3543531996704202,36410,23508,36410,12902,0,11822,917,17
0.0,87,0.919777397260274,0.2932250656167979,10725,11946.0,8.39400219947551,9.354904855643044,0.3536198600174978,36576,23642,36576,12934,0,11977,938,2
0.0,88,0.9207191780821918,0.29406300374306715,10763,11946.0,8.239524252941674,9.203764924455616,0.35449851096964563,36601,23626,36601,12975,0,11914,926,23
0.0,89,0.9151541095890411,0.2958374903004102,10675,11885.0,8.240403606698154,9.173844363152643,0.35456157853896464,36084,23290,36084,12794,0,11621,992,2
0.0,90,0.9214041095890411,0.2951805574625841,10749,11958.0,8.413075081238242,9.380667307428258,0.3577371962103529,36415,23388,36415,13027,0,11711,914,14
0.0,91,0.919777397260274,0.29346070675827335,10721,11952.0,8.349879088710704,9.309747351709413,0.3548025073221471,36533,23571,36533,12962,0,11906,935,9
0.0,92,0.9226027397260274,0.2931974272320942,10758,11987.0,8.44774296782887,9.414940586503871,0.35277444674588465,36692,23748,36692,12944,0,12071,907,12
0.0,93,0.9203767123287672,0.29621559000386166,10739,11959.0,8.213418803418804,9.164643901362608,0.35455398025045515,36254,23400,36254,12854,0,11721,936,4
0.0,94,0.9201198630136986,0.29523783353026845,10744,11939.0,8.303676688859674,9.25379901624028,0.3520101123904262,36391,23581,36391,12810,0,11894,933,10
