class1_xi_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,44,2,18162,11737,6425,18162,0,5920,905,4907,8.276902104455994,9.235932166061007,0.2701794956502588,0.42011986301369864,0.35376059905296775,97146.0,167743.0
0.0,45,1,18334,11768,6566,18334,0,5905,0,5847,8.416553365057784,9.371059234209666,0.3189156757936075,0.5005993150684932,0.3581324315479437,99046.0,171809.0
0.0,45,2,18220,11610,6610,18220,0,5778,1007,4816,8.390008613264428,9.365751920965971,0.26432491767288696,0.4123287671232877,0.362788144895719,97408.0,170644.0
0.0,46,1,18104,11742,6362,18104,0,5941,0,5794,8.310509282916028,9.272094564737074,0.32003977021652674,0.49606164383561646,0.3514140521431728,97582.0,167862.0
0.0,46,2,18257,11867,6390,18257,0,5994,907,4960,8.313305806016684,9.275894177575724,0.2716766171879279,0.4246575342465753,0.35000273867557646,98654.0,169350.0
0.0,47,1,18157,11686,6471,18157,0,5870,0,5808,8.291032004107478,9.270749573167373,0.3198766316021369,0.49726027397260275,0.35639147436250485,96889.0,168329.0
0.0,47,2,18348,11926,6422,18348,0,6063,913,4937,8.345212141539493,9.28880531938086,0.26907564857205146,0.42268835616438355,0.3500109003706126,99525.0,170431.0
0.0,48,1,18578,11923,6655,18578,0,5999,0,5920,8.453996477396629,9.446603509527398,0.31865647540101194,0.5068493150684932,0.3582193992894822,100797.0,175499.0
0.0,48,2,18217,11705,6512,18217,0,5959,928,4813,8.533532678342588,9.49195806115167,0.2642037657133447,0.41207191780821917,0.35746829884174125,99885.0,172915.0
0.0,49,1,18382,11807,6575,18382,0,5933,0,5868,8.279410519183536,9.254760091393754,0.31922532912631923,0.5023972602739726,0.35768686758785767,97755.0,170121.0
0.0,49,2,18144,11697,6447,18144,0,5880,933,4875,8.313242711806446,9.267250881834215,0.26868386243386244,0.4173801369863014,0.35532407407407407,97240.0,168145.0
0.0,50,1,18453,11847,6606,18453,0,5932,0,5911,8.255760952139783,9.23817265485287,0.32032731805126535,0.5060787671232877,0.3579905706389205,97806.0,170472.0
0.0,50,2,18221,11751,6470,18221,0,5963,902,4883,8.32712109607693,9.27627462817628,0.26798748696558916,0.41806506849315067,0.35508479227265244,97852.0,169023.0
0.0,51,1,18154,11724,6430,18154,0,5879,0,5838,8.392784032753326,9.348132642943703,0.32158202049135176,0.49982876712328766,0.35419191362785063,98397.0,169706.0
0.0,51,2,18305,11853,6452,18305,0,6002,956,4881,8.349616130937315,9.317290357825732,0.2666484567058181,0.41789383561643834,0.3524720021851953,98968.0,170553.0
0.0,52,1,18209,11712,6497,18209,0,5797,0,5910,8.369193989071038,9.34428030095008,0.3245647756603877,0.5059931506849316,0.356801581635455,98020.0,170150.0
0.0,52,2,18245,11736,6509,18245,0,5984,898,4851,8.40149965916837,9.36256508632502,0.2658810633050151,0.4153253424657534,0.35675527541792273,98600.0,170820.0
0.0,53,1,18355,11893,6462,18355,0,5960,0,5926,8.434457243756832,9.392971942250067,0.3228548079542359,0.5073630136986301,0.3520566603105421,100311.0,172408.0
0.0,53,2,18166,11734,6432,18166,0,5982,937,4809,8.43770240327254,9.405042386876582,0.26472531102058794,0.4117294520547945,0.35406803919409885,99008.0,170852.0
0.0,54,1,18234,11731,6503,18234,0,5855,0,5869,8.280453499275424,9.226993528572995,0.32187122957113085,0.5024828767123287,0.35664143906986945,97138.0,168245.0
0.0,54,2,18104,11666,6438,18104,0,5873,967,4811,8.284159094805418,9.226855943437915,0.2657423773751657,0.41190068493150683,0.35561201944321696,96643.0,167043.0
0.0,55,1,18316,11716,6600,18316,0,5885,0,5826,8.265705018777739,9.226250272985368,0.31808255077527847,0.4988013698630137,0.3603406857392444,96841.0,168988.0
0.0,55,2,17977,11743,6234,17977,0,5910,964,4869,8.261432342672231,9.188296156199588,0.2708460811036324,0.4168664383561644,0.34677643655782386,97014.0,165178.0
0.0,56,1,18178,11592,6586,18178,0,5888,0,5699,8.331349206349206,9.321817581692155,0.3135108372758279,0.4879280821917808,0.36230608427769834,96577.0,169452.0
0.0,56,2,18432,11952,6480,18432,0,5991,924,5030,8.3494812583668,9.307562934027779,0.2728949652777778,0.4306506849315068,0.3515625,99793.0,171557.0
0.0,57,1,18317,11827,6490,18317,0,6022,0,5796,8.389278768918576,9.344434132226892,0.3164273625593711,0.49623287671232874,0.3543156630452585,99220.0,171162.0
0.0,57,2,18165,11764,6401,18165,0,5887,959,4907,8.310523631417885,9.287696118909992,0.2701348747591522,0.42011986301369864,0.3523809523809524,97765.0,168711.0
0.0,58,1,18128,11776,6352,18128,0,5961,0,5811,8.349354619565217,9.293468667255075,0.320553839364519,0.4975171232876712,0.3503971756398941,98322.0,168472.0
0.0,58,2,18340,11844,6496,18340,0,5970,946,4917,8.324974670719351,9.289858233369683,0.26810250817884407,0.42097602739726026,0.35419847328244275,98601.0,170376.0
0.0,59,1,18219,11723,6496,18219,0,5932,0,5788,8.396570843640706,9.35281848619573,0.31769032328887425,0.49554794520547946,0.35655085350458315,98433.0,170399.0
0.0,59,2,18327,11792,6535,18327,0,5911,906,4968,8.317333785617368,9.306269438533311,0.27107546243247665,0.42534246575342466,0.356577726851094,98078.0,170556.0
0.0,60,1,18331,11892,6439,18331,0,6091,0,5795,8.328372014799866,9.300201843871038,0.31613114396377723,0.4961472602739726,0.3512628880039278,99041.0,170482.0
0.0,60,2,18337,11701,6636,18337,0,5804,914,4974,8.411075976412272,9.383541473523477,0.27125483994110267,0.42585616438356166,0.36189125811201395,98418.0,172066.0
0.0,61,1,18386,11859,6527,18386,0,6062,0,5789,8.406526688590944,9.380343739802024,0.31485913194822146,0.4956335616438356,0.35499836832372456,99693.0,172467.0
0.0,61,2,18515,11952,6563,18515,0,6080,917,4948,8.40880187416332,9.382770726438023,0.2672427761274642,0.42363013698630136,0.3544693491763435,100502.0,173722.0
0.0,62,1,18320,11810,6510,18320,0,5906,0,5898,8.336917866215073,9.296615720524018,0.32194323144104803,0.5049657534246575,0.35534934497816595,98459.0,170314.0
0.0,62,2,18135,11634,6501,18135,0,5865,909,4852,8.329895134949286,9.299090157154673,0.26754893851668043,0.41541095890410956,0.3584780810587262,96910.0,168639.0
0.0,63,1,18603,11858,6745,18603,0,6032,0,5823,8.551948051948052,9.572972101273988,0.3130140299951621,0.4985445205479452,0.36257592861366444,101409.0,178086.0
0.0,63,2,18326,11814,6512,18326,0,5966,956,4886,8.552395463009988,9.545509112736003,0.2666157372039725,0.4183219178082192,0.3553421368547419,101038.0,174931.0
0.0,64,1,18160,11693,6467,18160,0,5748,0,5944,8.260839818694945,9.204240088105728,0.3273127753303965,0.5089041095890411,0.35611233480176213,96594.0,167149.0
0.0,64,2,17939,11556,6383,17939,0,5826,909,4819,8.235375562478366,9.191760967723953,0.2686325882156196,0.4125856164383562,0.35581693516918445,95168.0,164891.0
0.0,65,1,18294,11704,6586,18290,4,5814,0,5879,8.275119617224881,9.26369600874795,0.32136219525527493,0.5033390410958904,0.3600874794969929,96852.0,169433.0
0.0,65,2,18248,11790,6457,18247,1,5986,907,4893,8.3039016115352,9.252918287937744,0.26813897413415166,0.41892123287671235,0.3538663889954513,97903.0,168838.0
0.0,66,1,18269,11786,6483,18269,0,5966,0,5810,8.462922110979127,9.446110898242924,0.3180250697903552,0.4974315068493151,0.3548634298538508,99744.0,172571.0
0.0,66,2,18579,11969,6610,18579,0,6103,928,4920,8.468543737989807,9.452446310350396,0.26481511383820444,0.4212328767123288,0.35577802895742505,101360.0,175617.0
0.0,67,1,18143,11652,6491,18143,0,5832,0,5816,8.360624785444559,9.316926638372927,0.320564405004685,0.49794520547945204,0.3577688364658546,97418.0,169037.0
0.0,67,2,18355,11859,6496,18355,0,5976,928,4950,8.298423138544566,9.267937891582674,0.2696812857532008,0.4238013698630137,0.3539090166167257,98411.0,170113.0
0.0,68,1,18520,11991,6529,18520,0,6064,0,5924,8.384204820281878,9.350917926565876,0.3198704103671706,0.5071917808219178,0.3525377969762419,100535.0,173179.0
0.0,68,2,18144,11738,6406,18144,0,5955,957,4820,8.366075992502982,9.341435185185185,0.265652557319224,0.4126712328767123,0.35306437389770723,98201.0,169491.0
0.0,69,1,18263,11823,6440,18263,0,5961,0,5858,8.324367757760298,9.2710945627772,0.3207578163499973,0.501541095890411,0.35262552702184746,98419.0,169318.0
0.0,69,2,18085,11718,6367,18085,0,5867,973,4868,8.292285372930534,9.25855681504009,0.2691733480785181,0.41678082191780824,0.3520597179983412,97169.0,167441.0
0.0,70,1,18124,11519,6605,18124,0,5784,0,5729,8.216425036895563,9.207901125579342,0.3161001986316486,0.49049657534246577,0.36443389980136837,94645.0,166884.0
0.0,70,2,18395,11891,6504,18395,0,5939,984,4954,8.303086367841225,9.232400108725198,0.26931231312856757,0.42414383561643837,0.3535743408534928,98732.0,169830.0
0.0,71,1,17918,11647,6271,17918,0,5767,0,5876,8.274663003348502,9.22619712021431,0.3279383859805782,0.5030821917808219,0.3499832570599397,96375.0,165315.0
