seed,signed_step_effect,signed_gap_effect,absolute_step_effect,absolute_gap_effect,absolute_effect_difference,share_gap_larger
18,0.012931303333671913,-0.005449817425150325,0.012931303333671913,0.005981732173701266,-0.006949571159970648,0.16
19,0.012079815469412745,-0.006429782984433725,0.012079815469412745,0.006430500649201307,-0.005649314820211438,0.16
20,0.011866372937625758,-0.005661086555134235,0.012321084551178623,0.005857233219630696,-0.006463851331547928,0.12
21,0.01165020959738008,-0.0058170023567514694,0.01165020959738008,0.006198150515928914,-0.005452059081451166,0.24
22,0.011648973147218068,-0.004951456638711485,0.011648973147218068,0.0055593842067612025,-0.006089588940456865,0.24
23,0.012469050772989362,-0.005501548860998348,0.012548997242898052,0.005711464861710947,-0.006837532381187106,0.16
24,0.01206190500263781,-0.0057941985671966165,0.01206190500263781,0.006000249466522226,-0.0060616555361155825,0.16
25,0.012104402096125382,-0.005506758051485391,0.012104402096125382,0.005683277190828003,-0.006421124905297378,0.12
26,0.012173104286682501,-0.005686034673422674,0.012173104286682501,0.005868779356456629,-0.006304324930225871,0.12
27,0.012079702871579622,-0.005457790222045259,0.012079702871579622,0.005457790222045259,-0.0066219126495343636,0.12
28,0.01317180028971272,-0.005137555381022881,0.01317180028971272,0.005934157866241979,-0.007237642423470742,0.2
29,0.011732867612873048,-0.006044447833622789,0.011732867612873048,0.006044447833622789,-0.005688419779250258,0.16
30,0.012595326553448798,-0.0056800991507909735,0.012595326553448798,0.00612048812318162,-0.006474838430267177,0.12
31,0.012320550448496968,-0.00567642046814952,0.012320550448496968,0.005910940787400191,-0.006409609661096776,0.2
32,0.011807172781413924,-0.005964417923517642,0.011807172781413924,0.00674556169989089,-0.0050616110815230346,0.16
33,0.01174752258023369,-0.005654681977989219,0.01174752258023369,0.005654681977989219,-0.0060928406022444734,0.24
34,0.01213897337160541,-0.005971068727548396,0.01213897337160541,0.006008354969343619,-0.006130618402261792,0.12
35,0.012280719096992855,-0.00565227543490928,0.012280719096992855,0.005781973602147501,-0.006498745494845354,0.2
36,0.013024464592461142,-0.0057355890041927236,0.013024464592461142,0.0057355890041927236,-0.007288875588268418,0.04
37,0.01218892473034526,-0.005488877307173129,0.01218892473034526,0.005724699587901046,-0.006464225142444216,0.12
38,0.012108215687474772,-0.005160388103408599,0.012108215687474772,0.005798832201372572,-0.0063093834861022,0.16
39,0.012076905013883503,-0.005863336206322867,0.012076905013883503,0.005863336206322867,-0.006213568807560636,0.12
40,0.01213838680198459,-0.0055702992159921165,0.01213838680198459,0.005842531258532444,-0.0062958555434521465,0.2
41,0.012131041646711532,-0.006008803745062459,0.012131041646711532,0.006055603994893635,-0.006075437651817895,0.2
