seed,step_index,gap_index,within_step,post_gap,served_base,served_step_up,served_gap_up,delta_step,delta_gap,abs_delta_step,abs_delta_gap,effect_difference,gap_effect_larger
4,0,0,0.0,0.0,0.20523993681573072,0.2206401825987718,0.2004500795872441,0.015400245783041083,-0.004789857228486627,0.015400245783041083,0.004789857228486627,-0.010610388554554456,False
4,0,1,0.0,0.1,0.2004500795872441,0.22075151780342395,0.19090958635347977,0.020301438216179857,-0.009540493233764324,0.020301438216179857,0.009540493233764324,-0.010760944982415532,False
4,0,2,0.0,0.2,0.19090958635347977,0.20773337647629833,0.18707278394487886,0.016823790122818566,-0.0038368024086009034,0.016823790122818566,0.0038368024086009034,-0.012986987714217663,False
4,0,3,0.0,0.3,0.18707278394487886,0.20919387075283144,0.18742096871735664,0.022121086807952578,0.00034818477247777757,0.022121086807952578,0.00034818477247777757,-0.0217729020354748,False
4,0,4,0.0,0.4,0.18742096871735664,0.20125033976624082,0.18198478369522963,0.013829371048884181,-0.005436185022127005,0.013829371048884181,0.005436185022127005,-0.008393186026757177,False
4,1,0,0.1,0.0,0.2206401825987718,0.23832236842105264,0.22075151780342395,0.017682185822280844,0.00011133520465214652,0.017682185822280844,0.00011133520465214652,-0.017570850617628697,False
4,1,1,0.1,0.1,0.22075151780342395,0.23311844405594406,0.20773337647629833,0.012366926252520116,-0.013018141327125615,0.012366926252520116,0.013018141327125615,0.000651215074605499,True
4,1,2,0.1,0.2,0.20773337647629833,0.21917583319651945,0.20919387075283144,0.011442456720221122,0.0014604942765331086,0.011442456720221122,0.0014604942765331086,-0.009981962443688014,False
4,1,3,0.1,0.3,0.20919387075283144,0.21687206892790925,0.20125033976624082,0.0076781981750778105,-0.007943530986590619,0.0076781981750778105,0.007943530986590619,0.0002653328115128084,True
4,1,4,0.1,0.4,0.20125033976624082,0.21724004638577502,0.19834848148969186,0.015989706619534194,-0.0029018582765489576,0.015989706619534194,0.0029018582765489576,-0.013087848342985237,False
4,2,0,0.2,0.0,0.23832236842105264,0.25403777716944975,0.23311844405594406,0.01571540874839711,-0.005203924365108581,0.01571540874839711,0.005203924365108581,-0.010511484383288527,False
4,2,1,0.2,0.1,0.23311844405594406,0.2402123424021234,0.21917583319651945,0.00709389834617935,-0.013942610859424609,0.00709389834617935,0.013942610859424609,0.006848712513245259,True
4,2,2,0.2,0.2,0.21917583319651945,0.2315089956237506,0.21687206892790925,0.012333162427231148,-0.0023037642686102033,0.012333162427231148,0.0023037642686102033,-0.010029398158620945,False
4,2,3,0.2,0.3,0.21687206892790925,0.22300010854227723,0.21724004638577502,0.006128039614367975,0.00036797745786576463,0.006128039614367975,0.00036797745786576463,-0.00576006215650221,False
4,2,4,0.2,0.4,0.21724004638577502,0.22608980304435594,0.2155508521777877,0.008849756658580926,-0.0016891942079873268,0.008849756658580926,0.0016891942079873268,-0.007160562450593599,False
4,3,0,0.3,0.0,0.25403777716944975,0.2613991592109518,0.2402123424021234,0.0073613820415020514,-0.013825434767326339,0.0073613820415020514,0.013825434767326339,0.0064640527258242875,True
4,3,1,0.3,0.1,0.2402123424021234,0.25417542307266894,0.2315089956237506,0.013963080670545525,-0.008703346778372811,0.013963080670545525,0.008703346778372811,-0.005259733892172713,False
4,3,2,0.3,0.2,0.2315089956237506,0.25058701468901873,0.22300010854227723,0.019078019065268126,-0.008508887081473376,0.019078019065268126,0.008508887081473376,-0.01056913198379475,False
4,3,3,0.3,0.3,0.22300010854227723,0.23462917011304107,0.22608980304435594,0.011629061570763849,0.003089694502078716,0.011629061570763849,0.003089694502078716,-0.008539367068685133,False
4,3,4,0.3,0.4,0.22608980304435594,0.2382349744592979,0.22106349464993755,0.012145171414941952,-0.005026308394418394,0.012145171414941952,0.005026308394418394,-0.007118863020523558,False
4,4,0,0.4,0.0,0.2613991592109518,0.26355570161025305,0.25417542307266894,0.0021565423993012423,-0.007223736138282866,0.0021565423993012423,0.007223736138282866,0.0050671937389816235,True
4,4,1,0.4,0.1,0.25417542307266894,0.2569288798994151,0.25058701468901873,0.002753456826746159,-0.00358840838365021,0.002753456826746159,0.00358840838365021,0.0008349515569040511,True
4,4,2,0.4,0.2,0.25058701468901873,0.2537543319214478,0.23462917011304107,0.003167317232429079,-0.015957844575977653,0.003167317232429079,0.015957844575977653,0.012790527343548574,True
4,4,3,0.4,0.3,0.23462917011304107,0.24821675421620126,0.2382349744592979,0.013587584103160188,0.003605804346256819,0.013587584103160188,0.003605804346256819,-0.00998177975690337,False
4,4,4,0.4,0.4,0.2382349744592979,0.24688717020459658,0.2369127884668092,0.008652195745298685,-0.0013221859924887058,0.008652195745298685,0.0013221859924887058,-0.0073300097528099795,False
5,0,0,0.0,0.0,0.2070973412436827,0.21836756993006992,0.19786562125666993,0.011270228686387218,-0.009231719987012776,0.011270228686387218,0.009231719987012776,-0.0020385086993744417,False
5,0,1,0.0,0.1,0.19786562125666993,0.21407975627006148,0.1916004787291916,0.016214135013391556,-0.00626514252747834,0.016214135013391556,0.00626514252747834,-0.009948992485913216,False
5,0,2,0.0,0.2,0.1916004787291916,0.21133477513447568,0.19025685488241031,0.019734296405284096,-0.0013436238467812722,0.019734296405284096,0.0013436238467812722,-0.018390672558502824,False
5,0,3,0.0,0.3,0.19025685488241031,0.20383044486146373,0.18685538731621681,0.013573589979053419,-0.0034014675661935,0.013573589979053419,0.0034014675661935,-0.010172122412859919,False
5,0,4,0.0,0.4,0.18685538731621681,0.20147864184008762,0.17468159859464208,0.01462325452387081,-0.012173788721574735,0.01462325452387081,0.012173788721574735,-0.0024494658022960747,False
5,1,0,0.1,0.0,0.21836756993006992,0.23220524017467248,0.21407975627006148,0.013837670244602557,-0.004287813660008438,0.013837670244602557,0.004287813660008438,-0.009549856584594119,False
5,1,1,0.1,0.1,0.21407975627006148,0.22956474130851354,0.21133477513447568,0.015484985038452054,-0.0027449811355858,0.015484985038452054,0.0027449811355858,-0.012740003902866254,False
5,1,2,0.1,0.2,0.21133477513447568,0.21871063153858794,0.20383044486146373,0.007375856404112258,-0.00750433027301195,0.007375856404112258,0.00750433027301195,0.00012847386889969226,True
5,1,3,0.1,0.3,0.20383044486146373,0.21732938985650127,0.20147864184008762,0.013498944995037537,-0.0023518030213761087,0.013498944995037537,0.0023518030213761087,-0.011147141973661429,False
