scenario_id,lambda_total,class_1_share,class_1_balk_step,class_2_balk_step,class_1_balk_threshold,class_2_balk_threshold,class_1_no_show_step,class_2_no_show_step,class_1_no_show_threshold,class_2_no_show_threshold,class_1_cancel_prob,class_2_cancel_prob,average_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,total_arrivals,total_booked,served_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,lost_after_booking_rate,balk_step_mean,balk_step_gap_c1_minus_c2,balk_threshold_mean,balk_threshold_gap_c1_minus_c2,no_show_step_mean,no_show_step_gap_c1_minus_c2,no_show_threshold_mean,no_show_threshold_gap_c1_minus_c2,cancel_prob_mean,cancel_prob_gap_c1_minus_c2
20,158.7772600983136,0.8561644973814472,0.7715630477172033,0.5087106306445822,11,12,0.2345388058929836,0.17352289883681793,13,5,0.2919747255318403,0.156862233511937,0.9800941780821918,0.1977417989795313,7.377369954171328,8.549920498876162,0.17656178457517205,0.3233522118504383,0.2531089858367154,0.2954742071068077,0.0019735915110032217,0.7485873287671233,0.23125,8.552497912231487,8.53429410768982,-0.1467904272752662,0.2935006155958045,-0.0182038045416677,57876.0,43227.0,0.1977417989795313,0.2531089858367154,0.0,0.545062907600111,0.004025838964846603,6.046861879572361e-05,0.5491492151837533,0.6401368391808928,0.2628524170726211,11.5,-1,0.20403085236490076,0.061015907056165664,9.0,8,0.22441847952188865,0.13511249201990327
21,64.64055548728257,0.1373601667084702,0.7361789707690379,0.025202832774313677,8,0,0.7331690550221641,0.07217430717184681,4,10,0.20492069932046608,0.2318127771955843,0.961472602739726,0.47692206447066443,4.011510558487792,4.013194025328739,0.3993108265812049,0.48944787346615504,0.02049089775248497,0.0,0.02379793591745655,0.11185787671232877,0.8495719178082193,4.011459725479613,4.013469100339722,-0.09013704688495008,-0.02379793591745655,0.0020093748601093253,23546.0,23063.5,0.47692206447066443,0.02049089775248497,0.0,0.48338132236916453,0.019205715407686057,0.0,0.5025870377768507,0.3806909017716758,0.7109761379947243,4.0,8,0.40267168109700546,0.6609947478503173,7.0,-6,0.2183667382580252,-0.026892077875118214
22,134.21690139088136,0.7480878113421472,0.36497697036673704,0.8141169986497471,11,3,0.6781075369079356,0.8119815824942574,6,7,0.13169301176636702,0.04379330276797611,0.6768407534246574,0.16154471489928518,9.142516475306884,10.04531852921911,0.17580610513917017,0.11898045948818575,0.3403575202945389,0.209370131064915,0.733589389127592,0.5514982876712329,0.125,10.058991716334475,10.004225599918483,0.05682564565098443,-0.524219258062677,-0.054766116415991384,48912.5,28648.5,0.16154471489928518,0.3022595625730794,0.11202601679826116,0.346776442650669,0.07680031124140535,0.0005929518372998824,0.42416970572937424,0.5895469845082421,-0.44914002828301003,7.0,8,0.7450445597010965,-0.13387404558632188,6.5,-1,0.08774315726717156,0.08789970899839092
23,119.91611076863498,0.8861897206342134,0.8889492651107935,0.9097395436878419,12,4,0.31124429654184327,0.49050217090488557,10,11,0.05234477775180478,0.08185501659420139,0.816181506849315,0.21626438095475614,9.985673876065704,11.643393339532988,0.2358812149353649,0.06259058618401953,0.5761052952209514,0.5387876476418052,0.8683546274210996,0.7873715753424657,0.026669520547945205,11.633282308580956,11.72266091098397,0.17329062875134538,-0.3295669797792944,0.08937860240301365,43966.5,18636.5,0.21626438095475614,0.5761052952209514,0.0,0.15810358292017362,0.04842337772542818,0.0011033631786905793,0.20763032382429236,0.8993444043993177,-0.020790278577048404,8.0,8,0.4008732337233644,-0.1792578743630423,10.5,-1,0.06709989717300308,-0.029510238842396605
24,115.30290085647798,0.6999429870476781,0.7969117666280056,0.8807061551227297,4,5,0.18082833589999425,0.9549254120477144,11,10,0.04282140792657204,0.14164379512590192,1.0,0.2771505674376707,4.568856829067783,5.197285405825278,0.2416279349869547,0.3596123344278644,0.6184525791801931,0.7194693574645772,0.3839038975486916,0.6097602739726027,0.39092465753424654,5.199641598647924,5.1918581723760315,-0.11798439944090969,0.3355654599158856,-0.007783426271892324,42173.5,16090.5,0.2771505674376707,0.6184525791801931,0.0,0.1043968533821362,0.0,0.0,0.1043968533821362,0.8388089608753676,-0.08379438849472409,4.5,-1,0.5678768739738543,-0.7740970761477202,10.5,1,0.09223260152623698,-0.09882238719932987
25,155.00310264270175,0.6602052933169393,0.7480435908320069,0.07561084036811294,13,8,0.4485982891608973,0.9231769871562107,7,1,0.25590586300429263,0.005972510008863163,0.3134845890410959,0.06460066331903999,9.73104037473058,9.771441146057523,0.07134774561685583,0.05147277432906457,0.017353491410006954,0.0,0.051443328229608454,0.2281678082191781,0.08454623287671233,9.74595038430077,9.821716180737166,0.019874971287791268,-0.051443328229608454,0.07576579643639736,56539.0,28200.5,0.06460066331903999,0.00880812132669898,0.49241345830993544,0.292159876577509,0.1413899762063331,0.0006279042604835103,0.4341777570443256,0.4118272156000599,0.672432750463894,10.5,5,0.6858876381585539,-0.4745786979953134,4.0,6,0.1309391865065779,0.24993335299542946
26,98.87817130182995,0.4196632099694205,0.1253936002974293,0.01127269743586845,10,0,0.38095962111611004,0.0945905973472968,0,1,0.10297357645589984,0.03995826418439414,0.8326626712328766,0.26834365533002213,10.302980331762072,10.39210414541305,0.13738190603091643,0.36306143068284513,0.04224210312123412,0.08478476272245514,0.011285186288043718,0.17803938356164384,0.6506421232876712,10.397779521990369,10.387987727367268,-0.2256795246519287,0.07349957643441142,-0.009791794623102312,36069.5,20236.0,0.26834365533002213,0.024744034628110388,0.41422061720942976,0.2372573542540209,0.053840448100997265,0.0015938904774195279,0.2926916928324377,0.06833314886664887,0.11412090286156085,5.0,10,0.23777510923170342,0.28636902376881324,0.5,-1,0.071465920320147,0.0630153122715057
27,123.3481235532774,0.2959174381724604,0.7782621186305416,0.8433126225034668,3,5,0.8551026706850625,0.8041070890716026,9,4,0.02176358466232827,0.2896014843272495,0.8311215753424658,0.21638714137299103,4.069868497722039,4.924792346505964,0.3332954995804967,0.16740013488051114,0.49194441950646595,0.6455676436384186,0.4275729454522819,0.3779965753424658,0.45308219178082193,4.917013545722098,4.928052534100344,0.16589536469998556,0.21799469818613665,0.011038988378246017,44859.5,22791.0,0.21638714137299103,0.49194441950646595,0.0,0.24780899506708254,0.0438594440534605,0.0,0.2916684391205431,0.8107873705670042,-0.06505050387292521,4.0,-2,0.8296048798783325,0.05099558161345996,6.5,5,0.1556825344947889,-0.2678378996649213
28,128.49380718016678,0.6408699435971392,0.1542852843974628,0.24269267377545056,7,2,0.37982041334724603,0.7622739336852189,1,7,0.15156939260175753,0.23690543880684645,0.7210188356164384,0.17862402642043587,8.61837376970886,8.886097107172507,0.19811028254368213,0.14386699349105364,0.14253865997251502,0.09748353806863368,0.22291520498660758,0.5113869863013698,0.2081763698630137,8.878210315921049,8.90026271377032,0.0542432890526285,-0.12543166691797392,0.02205239784927393,47051.0,35876.5,0.17862402642043587,0.12675481577240744,0.11074368081806037,0.5143555655319374,0.06924561507365612,0.00027629638350275005,0.5838774769890964,0.19848897908645668,-0.08840738937798776,4.5,5,0.5710471735162325,-0.38245352033797286,4.0,-6,0.19423741570430197,-0.08533604620508892
29,135.31476746635826,0.2521616969282574,0.5835016632768735,0.33661238685168093,0,12,0.07929594381221339,0.2583614572092343,5,3,0.20770975770930492,0.15548991077976335,0.858304794520548,0.2023412358049676,8.690137344677227,9.197528448466038,0.0909595066796457,0.24027155279452178,0.24826786304753268,0.582021557092866,0.13469444045439272,0.09798801369863014,0.7602739726027397,9.194491339598802,9.198587252880511,-0.14931204611487608,0.44732711663847324,0.0040959132817111055,49542.5,34217.0,0.2023412358049676,0.22809713578882285,0.08124362491433317,0.45444787646730683,0.03339577975803805,0.0004743472665314742,0.4883180034918764,0.4600570250642772,0.24688927642519254,6.0,-12,0.16882870051072385,-0.17906551339702093,4.0,2,0.18159983424453413,0.05221984692954157
