hypothesis,background_id,selected_for_stage2,selection_reason,stage1_classification,stage2_classification,final_classification,stage_used,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2
H1,H1B0155,False,,inactive,,inactive,1,S123,sobol_symmetric,1.25,0.1,64,14,14
H1,H1B0156,False,,supported,,supported,1,S124,sobol_symmetric,3.1,0.9,16,28,28
H1,H1B0157,False,,supported,,supported,1,S125,sobol_symmetric,4.0,0.1,32,28,28
H1,H1B0158,False,,inconclusive,,inconclusive,1,S126,sobol_symmetric,2.0,0.9,64,14,14
H1,H1B0159,False,,inactive,,inactive,1,S127,sobol_symmetric,1.25,0.3,16,21,21
H1,H1B0160,False,,supported,,supported,1,S128,sobol_symmetric,3.1,0.5,64,7,7
H1,H1B0161,False,,supported,,supported,1,S129,sobol_symmetric,3.1,0.3,32,21,21
H1,H1B0162,False,,inconclusive,,inconclusive,1,S130,sobol_symmetric,1.25,0.7,64,7,7
H1,H1B0163,False,,supported,,supported,1,S131,sobol_symmetric,2.0,0.3,16,28,28
H1,H1B0164,True,stage1_reversed,reversed,,reversed,1,S132,sobol_symmetric,4.0,0.7,64,14,14
H1,H1B0165,False,,supported,,supported,1,S133,sobol_symmetric,3.1,0.5,32,14,14
H1,H1B0166,False,,inconclusive,,inconclusive,1,S134,sobol_symmetric,1.25,0.5,32,28,28
H1,H1B0167,False,,inconclusive,,inconclusive,1,S135,sobol_symmetric,0.8,0.1,64,7,7
H1,H1B0168,False,,inconclusive,,inconclusive,1,S136,sobol_symmetric,3.1,0.9,16,21,21
H1,H1B0169,False,,supported,,supported,1,S137,sobol_symmetric,2.0,0.3,64,28,28
H1,H1B0170,False,,inconclusive,,inconclusive,1,S138,sobol_symmetric,0.8,0.7,16,14,14
H1,H1B0171,False,,inactive,,inactive,1,S139,sobol_symmetric,1.25,0.1,32,21,21
H1,H1B0172,False,,supported,,supported,1,S140,sobol_symmetric,4.0,0.9,32,7,7
H1,H1B0173,False,,inconclusive,,inconclusive,1,S141,sobol_symmetric,4.0,0.1,16,7,7
H1,H1B0174,True,stage1_reversed,reversed,,reversed,1,S142,sobol_symmetric,2.0,0.9,64,21,21
H1,H1B0175,False,,inconclusive,,inconclusive,1,S143,sobol_symmetric,0.8,0.5,16,14,14
H1,H1B0176,False,,supported,,supported,1,S144,sobol_symmetric,3.1,0.5,32,28,28
H1,H1B0177,False,,supported,,supported,1,S145,sobol_symmetric,3.1,0.3,16,7,7
H1,H1B0178,False,,inconclusive,,inconclusive,1,S146,sobol_symmetric,0.8,0.5,64,21,21
H1,H1B0179,False,,inconclusive,,inconclusive,1,S147,sobol_symmetric,2.0,0.1,32,14,14
H1,H1B0180,False,,supported,,supported,1,S148,sobol_symmetric,4.0,0.9,32,28,28
H1,H1B0181,False,,inconclusive,,inconclusive,1,S149,sobol_symmetric,4.0,0.1,64,28,28
H1,H1B0182,False,,inactive,,inactive,1,S150,sobol_symmetric,1.25,0.9,16,14,14
H1,H1B0183,False,,inconclusive,,inconclusive,1,S151,sobol_symmetric,0.8,0.3,64,21,21
H1,H1B0184,False,,supported,,supported,1,S152,sobol_symmetric,2.0,0.7,16,7,7
H1,H1B0185,False,,inconclusive,,inconclusive,1,S153,sobol_symmetric,2.0,0.1,64,14,14
H1,H1B0186,False,,inconclusive,,inconclusive,1,S154,sobol_symmetric,0.8,0.9,32,28,28
H1,H1B0187,False,,inconclusive,,inconclusive,1,S155,sobol_symmetric,1.25,0.5,64,7,7
H1,H1B0188,False,,supported,,supported,1,S156,sobol_symmetric,3.1,0.5,16,21,21
H1,H1B0189,False,,supported,,supported,1,S157,sobol_symmetric,4.0,0.3,32,21,21
H1,H1B0190,False,,inactive,,inactive,1,S158,sobol_symmetric,1.25,0.7,32,7,7
H1,H1B0191,False,,inconclusive,,inconclusive,1,S159,sobol_symmetric,0.8,0.3,16,28,28
H1,H1B0192,False,,supported,,supported,1,S160,sobol_symmetric,3.1,0.7,64,14,14
H1,H1B0193,False,,supported,,supported,1,S161,sobol_symmetric,3.1,0.3,32,7,7
H1,H1B0194,False,,inactive,,inactive,1,S162,sobol_symmetric,1.25,0.7,32,21,21
H1,H1B0195,False,,inconclusive,,inconclusive,1,S163,sobol_symmetric,2.0,0.3,64,14,14
H1,H1B0196,False,,supported,,supported,1,S164,sobol_symmetric,4.0,0.7,16,28,28
H1,H1B0197,False,,inconclusive,,inconclusive,1,S165,sobol_symmetric,3.1,0.1,16,28,28
H1,H1B0198,True,stage1_reversed,reversed,,reversed,1,S166,sobol_symmetric,1.25,0.9,32,14,14
H1,H1B0199,False,,inconclusive,,inconclusive,1,S167,sobol_symmetric,0.8,0.5,16,21,21
H1,H1B0200,True,stage1_reversed,reversed,,reversed,1,S168,sobol_symmetric,2.0,0.5,64,7,7
H1,H1B0201,False,,inconclusive,,inconclusive,1,S169,sobol_symmetric,2.0,0.1,16,14,14
H1,H1B0202,False,,inconclusive,,inconclusive,1,S170,sobol_symmetric,0.8,0.9,64,28,28
H1,H1B0203,False,,inconclusive,,inconclusive,1,S171,sobol_symmetric,1.25,0.3,32,7,7
H1,H1B0204,True,stage1_reversed,reversed,,reversed,1,S172,sobol_symmetric,4.0,0.7,64,21,21
H1,H1B0205,False,,supported,,supported,1,S173,sobol_symmetric,4.0,0.5,64,21,21
H1,H1B0206,False,,supported,,supported,1,S174,sobol_symmetric,2.0,0.7,16,7,7
H1,H1B0207,False,,inconclusive,,inconclusive,1,S175,sobol_symmetric,0.8,0.1,32,28,28
H1,H1B0208,True,stage1_reversed,reversed,,reversed,1,S176,sobol_symmetric,3.1,0.9,32,14,14
H1,H1B0209,False,,inconclusive,,inconclusive,1,S177,sobol_symmetric,3.1,0.1,64,21,21
H1,H1B0210,False,,inconclusive,,inconclusive,1,S178,sobol_symmetric,0.8,0.9,16,7,7
H1,H1B0211,True,stage1_reversed,reversed,,reversed,1,S179,sobol_symmetric,2.0,0.5,64,28,28
H1,H1B0212,False,,supported,,supported,1,S180,sobol_symmetric,4.0,0.5,16,14,14
H1,H1B0213,False,,supported,,supported,1,S181,sobol_symmetric,4.0,0.3,16,14,14
H1,H1B0214,False,,inconclusive,,inconclusive,1,S182,sobol_symmetric,1.25,0.7,64,28,28
H1,H1B0215,False,,inconclusive,,inconclusive,1,S183,sobol_symmetric,0.8,0.1,32,7,7
H1,H1B0216,False,,supported,,supported,1,S184,sobol_symmetric,2.0,0.9,32,21,21
H1,H1B0217,False,,supported,,supported,1,S185,sobol_symmetric,3.1,0.5,32,28,28
H1,H1B0218,False,,inconclusive,,inconclusive,1,S186,sobol_symmetric,0.8,0.5,32,14,14
H1,H1B0219,False,,inactive,,inactive,1,S187,sobol_symmetric,1.25,0.1,16,21,21
H1,H1B0220,False,,supported,,supported,1,S188,sobol_symmetric,3.1,0.9,64,7,7
H1,H1B0221,False,,supported,,supported,1,S189,sobol_symmetric,4.0,0.3,64,7,7
H1,H1B0222,False,,supported,,supported,1,S190,sobol_symmetric,2.0,0.7,16,21,21
H1,H1B0223,False,,inactive,,inactive,1,S191,sobol_symmetric,1.25,0.3,64,14,14
H1,H1B0224,False,,supported,,supported,1,S192,sobol_symmetric,3.1,0.7,16,28,28
H1,H1B0225,False,,inconclusive,,inconclusive,1,S193,sobol_symmetric,3.1,0.5,64,14,14
H1,H1B0226,False,,inactive,,inactive,1,S194,sobol_symmetric,1.25,0.5,16,28,28
H1,H1B0227,False,,supported,,supported,1,S195,sobol_symmetric,2.0,0.1,32,7,7
H1,H1B0228,False,,supported,,supported,1,S196,sobol_symmetric,4.0,0.9,16,21,21
H1,H1B0229,False,,supported,,supported,1,S197,sobol_symmetric,4.0,0.3,16,21,21
H1,H1B0230,False,,inactive,,inactive,1,S198,sobol_symmetric,1.25,0.9,64,7,7
H1,H1B0231,False,,inconclusive,,inconclusive,1,S199,sobol_symmetric,0.8,0.3,32,28,28
H1,H1B0232,False,,supported,,supported,1,S200,sobol_symmetric,3.1,0.7,32,14,14
H1,H1B0233,False,,inconclusive,,inconclusive,1,S201,sobol_symmetric,2.0,0.1,32,7,7
H1,H1B0234,False,,inconclusive,,inconclusive,1,S202,sobol_symmetric,0.8,0.9,32,21,21
H1,H1B0235,False,,inconclusive,,inconclusive,1,S203,sobol_symmetric,1.25,0.5,16,14,14
H1,H1B0236,False,,supported,,supported,1,S204,sobol_symmetric,4.0,0.7,64,28,28
H1,H1B0237,False,,supported,,supported,1,S205,sobol_symmetric,4.0,0.3,64,28,28
H1,H1B0238,False,,supported,,supported,1,S206,sobol_symmetric,2.0,0.7,32,14,14
H1,H1B0239,False,,inconclusive,,inconclusive,1,S207,sobol_symmetric,0.8,0.1,64,21,21
H1,H1B0240,False,,supported,,supported,1,S208,sobol_symmetric,3.1,0.9,16,7,7
H1,H1B0241,False,,supported,,supported,1,S209,sobol_symmetric,3.1,0.1,32,28,28
H1,H1B0242,False,,inconclusive,,inconclusive,1,S210,sobol_symmetric,0.8,0.9,32,14,14
H1,H1B0243,False,,supported,,supported,1,S211,sobol_symmetric,2.0,0.3,64,21,21
H1,H1B0244,True,stage1_reversed,reversed,,reversed,1,S212,sobol_symmetric,4.0,0.7,16,7,7
H1,H1B0245,False,,supported,,supported,1,S213,sobol_symmetric,4.0,0.3,32,7,7
H1,H1B0246,False,,inactive,,inactive,1,S214,sobol_symmetric,1.25,0.5,64,21,21
H1,H1B0247,False,,inconclusive,,inconclusive,1,S215,sobol_symmetric,0.8,0.1,16,14,14
H1,H1B0248,False,,inconclusive,,inconclusive,1,S216,sobol_symmetric,2.0,0.9,64,28,28
H1,H1B0249,False,,supported,,supported,1,S217,sobol_symmetric,2.0,0.3,16,21,21
H1,H1B0250,False,,inconclusive,,inconclusive,1,S218,sobol_symmetric,0.8,0.7,64,7,7
H1,H1B0251,False,,inactive,,inactive,1,S219,sobol_symmetric,1.25,0.3,16,28,28
H1,H1B0252,True,stage1_reversed,reversed,,reversed,1,S220,sobol_symmetric,3.1,0.7,64,14,14
H1,H1B0253,False,,inconclusive,,inconclusive,1,S221,sobol_symmetric,4.0,0.1,64,14,14
H1,H1B0254,False,,inconclusive,,inconclusive,1,S222,sobol_symmetric,1.25,0.9,16,28,28
H1,H1B0255,False,,inactive,,inactive,1,S223,sobol_symmetric,1.25,0.5,32,7,7
H1,H1B0256,False,,supported,,supported,1,S224,sobol_symmetric,3.1,0.5,32,21,21
H1,H1B0257,False,,supported,,supported,1,X001,asymmetric_stress,4.0,0.3,32,21,21
H1,H1B0258,False,,inactive,,inactive,1,X002,asymmetric_stress,1.25,0.5,64,21,21
H1,H1B0259,False,,inconclusive,,inconclusive,1,X003,asymmetric_stress,1.25,0.1,32,14,14
H1,H1B0260,False,,inactive,,inactive,1,X004,asymmetric_stress,1.25,0.1,32,21,21
H1,H1B0261,False,,supported,,supported,1,X005,asymmetric_stress,4.0,0.5,32,21,28
H1,H1B0262,False,,supported,,supported,1,X006,asymmetric_stress,2.0,0.1,32,7,21
H1,H1B0263,False,,supported,,supported,1,X007,asymmetric_stress,2.0,0.5,32,14,28
H1,H1B0264,False,,supported,,supported,1,X008,asymmetric_stress,3.1,0.1,32,14,14
H1,H1B0265,False,,supported,,supported,1,X010,asymmetric_stress,3.1,0.5,64,21,21
H1,H1B0266,False,,inconclusive,,inconclusive,1,X011,asymmetric_stress,0.8,0.9,32,21,21
H1,H1B0267,False,,supported,,supported,1,X012,asymmetric_stress,3.1,0.3,32,7,7
H1,H1B0268,False,,inconclusive,,inconclusive,1,X013,asymmetric_stress,0.8,0.5,32,14,21
H1,H1B0269,False,,supported,,supported,1,X014,asymmetric_stress,2.0,0.7,16,21,28
H1,H1B0270,False,,inconclusive,,inconclusive,1,X015,asymmetric_stress,1.25,0.5,16,14,14
H1,H1B0271,False,,inactive,,inactive,1,X016,asymmetric_stress,1.25,0.3,16,28,28
H1,H1B0272,False,,supported,,supported,1,X017,asymmetric_stress,2.0,0.5,32,14,14
