background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,baseline_equal_noshow_high,n_paired_seeds,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,exposure_active,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component,failure_component,classification
H9B0042,S010,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.3,20,8427.5,924.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0043,S011,sobol_symmetric,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.3,0.3,0.7,0.7,12,12,0.0,0.0,0.5,0.5,0.5,20,8761.25,20418.5,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0044,S012,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0.7,20,16344.6,6992.75,0.9801043729312907,0.9689781710013902,True,0.10044520547945206,0.020004280821917818,0.08044092465753423,0.07824104365766299,0.08264080565740548,0.00178985251663117,0.025183018408195645,0.023393165891564476,0.022586206903653813,0.02420012487947514,supported,supported,,supported
H9B0045,S013,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.8,0.8,0.8,20,11695.75,11720.05,0.9669651028156085,0.9848166262321536,True,0.09940068493150687,0.0023758561643835697,0.09702482876712329,0.09503837594057404,0.09901128159367253,0.0018384597223586967,0.025246166798624414,0.02340770707626572,0.022571791795257787,0.02424362235727365,supported,supported,,supported
H9B0046,S014,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,6,6,0.3,0.3,0.5,0.5,0.5,20,23327.1,23392.95,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0047,S015,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,4,4,0.5,0.5,0.5,0.5,4,4,0.7,0.7,0.8,0.8,0.8,20,463.85,4210.95,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0.5,20,65212.15,7249.7,0.13236163350411062,0.13268705909831993,True,0.03903039383561644,0.01553617294520548,0.023494220890410956,0.022842619372810558,0.024145822408011355,0.0008007229151495747,0.012387167421409877,0.011586444506260302,0.011051815612358755,0.01212107340016185,supported,supported,,supported
H9B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.7,0.7,0.7,20,3624.5,32648.45,0.05066298388135233,0.0531585716527392,True,0.010787671232876722,0.004541952054794504,0.006245719178082218,0.005863373351566856,0.006628065004597579,0.000770120608098285,0.0035291430550969277,0.0027590224469986424,0.002346645293227023,0.0031713996007702618,supported,supported,,supported
H9B0050,S018;X011,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,9,9,0.1,0.1,0.5,0.5,9,9,0.5,0.5,0.8,0.8,0.8,20,8358.5,932.2,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0051,S019,sobol_symmetric,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.8,0.8,0.8,20,5819.6,5819.85,0.007127278247048964,0.006971316691084058,False,0.0013955479452054775,0.00026541095890411095,0.0011301369863013667,0.0007146140335501463,0.001545659939052587,0.0003471120268329314,0.0006834842568184723,0.00033637222998554096,0.00010543469187777229,0.0005673097680933097,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.3,0.3,0.7,0.7,6,6,0.0,0.0,0.3,0.3,0.3,20,46681.8,46693.1,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
