background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,n_paired_seeds,estimated_post_threshold_offer_share,estimated_post_threshold_offer_share_ci_low,estimated_post_threshold_offer_share_ci_high,delta_class1_accepted_delay,delta_class1_accepted_delay_ci_low,delta_class1_accepted_delay_ci_high,delta_class1_offered_delay,delta_class1_offered_delay_ci_low,delta_class1_offered_delay_ci_high,selection_gap,selection_gap_ci_low,selection_gap_ci_high,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,accepted_delay_component,selection_gap_component,served_rate_component,strong_selection_evidence,failure_component,classification
H5B0277,X021,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.3,0.3,0.3,True,100,0.6136487642097268,0.6113760345895243,0.6159214938299293,-0.9664807268151279,-0.9774695815069521,-0.9554918721233037,-0.6699172659829951,-0.6811030459119825,-0.6587314860540077,0.29656346083213275,0.29531494178693385,0.29781197987733166,0.00932208280749774,0.008433677771264806,0.010210487843730673,supported,supported,reversed,False,served_rate,reversed
H5B0277,X021,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.3,0.5,0.5,False,100,0.5866949552090671,0.5846326857413549,0.5887572246767794,-1.565251620421578,-1.575271413057347,-1.555231827785809,-1.1169152568646208,-1.1269689521700812,-1.1068615615591604,0.4483363635569574,0.4469080968979399,0.44976463021597485,0.010881142237944834,0.010092734586126091,0.011669549889763577,supported,supported,reversed,False,served_rate,reversed
H5B0279,X023,asymmetric_stress,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.1,0.4,True,100,0.826263815927438,0.8179037668366447,0.8346238650182314,-1.3830225675095873,-1.404186954317946,-1.3618581807012287,-1.2219411895822478,-1.243434265002913,-1.2004481141615826,0.1610813779273392,0.1575049147595986,0.1646578410950798,0.005215686243898299,0.004625461534986126,0.005805910952810472,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0279,X023,asymmetric_stress,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.3,0.6,True,100,0.8143396302482759,0.8108123602018599,0.817866900294692,-4.193991977115832,-4.216322705268635,-4.171661248963029,-3.8647101953847964,-3.8873002036537363,-3.8421201871158566,0.32928178173103523,0.3259854338931214,0.33257812956894905,0.016794093089684773,0.016323502416645295,0.01726468376272425,supported,supported,reversed,False,served_rate,reversed
H5B0290,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,6,9,0.0,0.5,0.5,0.5,0.1,0.1,True,100,0.9971530624143006,0.9954881738068964,0.9988179510217048,-3.2836344167015814,-3.5547520716463517,-3.012516761756811,-3.277438249873311,-3.549568619385783,-3.005307880360839,0.006196166828271057,0.0006049003283826564,0.011787433328159458,0.006008912525247132,0.0024070299468037654,0.009610795103690499,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0290,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,6,9,0.0,0.5,0.5,0.5,0.3,0.3,True,100,0.713312906505761,0.7048396726023173,0.7217861404092046,-19.28738895271872,-19.409019157297546,-19.165758748139897,-19.19921610897422,-19.32074591730923,-19.077686300639208,0.08817284374450274,0.08727123037466977,0.0890744571143357,0.38082503798375944,0.37783470004938474,0.38381537591813414,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0290,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.3,6,9,0.0,0.5,0.5,0.5,0.5,0.5,False,100,0.4440940584697555,0.4398111103330791,0.4483770066064319,-19.644356446102247,-19.76519115449417,-19.523521737710325,-19.489234365196644,-19.61018778854943,-19.36828094184386,0.15512208090559912,0.15422601382564222,0.15601814798555602,0.37328325866489875,0.3709110688282469,0.3756554485015506,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0325,X070,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.5,4,12,0.1,0.0,0.1,0.5,6,6,0.0,0.0,0.5,0.5,0.1,0.2,True,100,0.9854808132944903,0.9791853003485654,0.9917763262404152,-0.3717763291799548,-0.38804695866484773,-0.35550569969506185,-0.2803618120662527,-0.2956132216588614,-0.26511040247364404,0.0914145171137022,0.08625437298431643,0.09657466124308797,0.0010872822285777045,-0.0008896408867238891,0.003064205343879298,supported,inconclusive,inconclusive,False,selection_gap;served_rate,inconclusive
H5B0325,X070,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.5,4,12,0.1,0.0,0.1,0.5,6,6,0.0,0.0,0.5,0.5,0.3,0.4,True,100,0.9633915419999153,0.958745807185519,0.9680372768143115,-2.7230627917065595,-2.7613131856492537,-2.6848123977638654,-2.3020020238725967,-2.338106852884109,-2.2658971948610844,0.42106076783396307,0.41484070719059135,0.4272808284773348,0.006808872097737196,0.004997739088252579,0.008620005107221811,supported,supported,reversed,False,served_rate,reversed
H5B0325,X070,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,14,0.0,0.5,4,12,0.1,0.0,0.1,0.5,6,6,0.0,0.0,0.5,0.5,0.5,0.6,False,100,0.8282567610223477,0.8247952585089429,0.8317182635357525,-5.207545798683003,-5.2294327240983725,-5.185658873267633,-4.342982569798688,-4.363290332761358,-4.322674806836019,0.8645632288843145,0.8588105948961591,0.8703158628724699,0.0006205136767341374,-0.00118722720696953,0.0024282545604378046,supported,supported,inconclusive,False,served_rate,inconclusive
