study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
B: wait-adjusted,1.25,0.05,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.1,0.65,24,False,service-rate guardrail,0.026488130692324585
B: wait-adjusted,1.25,0.05,0.1,0.7,24,False,service-rate guardrail,0.026488130692324585
B: wait-adjusted,1.25,0.1,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.0,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.0,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.02,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.02,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.05,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.05,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.1,0.1,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.25,0.1,0.1,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.5,0.0,0.0,0.45,16,True,none,0.018202054794520618
B: wait-adjusted,1.5,0.0,0.0,0.55,12,True,none,0.0034332191780822806
B: wait-adjusted,1.5,0.0,0.0,0.65,24,False,service-rate guardrail,0.12189212328767125
B: wait-adjusted,1.5,0.0,0.0,0.7,24,False,service-rate guardrail,0.12189212328767125
B: wait-adjusted,1.5,0.0,0.02,0.45,16,True,none,0.018297947258943913
B: wait-adjusted,1.5,0.0,0.02,0.55,12,True,none,0.003468137968043861
B: wait-adjusted,1.5,0.0,0.02,0.65,24,False,service-rate guardrail,0.1231552617415728
B: wait-adjusted,1.5,0.0,0.02,0.7,24,False,service-rate guardrail,0.1231552617415728
B: wait-adjusted,1.5,0.0,0.05,0.45,16,True,none,0.018441785955578903
B: wait-adjusted,1.5,0.0,0.05,0.55,12,True,none,0.0035205161529862305
B: wait-adjusted,1.5,0.0,0.05,0.65,24,False,service-rate guardrail,0.1250499694224252
B: wait-adjusted,1.5,0.0,0.05,0.7,24,False,service-rate guardrail,0.1250499694224252
B: wait-adjusted,1.5,0.0,0.1,0.45,16,True,none,0.018681517116637146
B: wait-adjusted,1.5,0.0,0.1,0.55,12,True,none,0.003607813127890136
B: wait-adjusted,1.5,0.0,0.1,0.65,24,False,service-rate guardrail,0.12820781555717917
B: wait-adjusted,1.5,0.0,0.1,0.7,24,False,service-rate guardrail,0.12820781555717917
B: wait-adjusted,1.5,0.02,0.0,0.45,16,True,none,0.008202054794520608
B: wait-adjusted,1.5,0.02,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.5,0.02,0.0,0.65,24,False,service-rate guardrail,0.10689212328767135
