comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00030,strict
both_flexible_vs_horizon_only,10,-0.004018264840182651,-0.010302054794520092,0.0029139269406391398,inconclusive,0.0005568221297419851,-0.002354228013960307,0.003404164091621488,inconclusive,BG00030,strict
both_flexible_vs_baseline,10,-0.05920547945205394,-0.06332910958903983,-0.05494452054794466,contradicted,0.10573632922993555,0.10243463565059491,0.10888211383344644,supported,BG00031,strict
both_flexible_vs_reservation_only,10,6.849315068451212e-05,-0.004740068493150922,0.004465753424657096,inconclusive,0.0027660262353641496,0.0005632767729255092,0.004552662355586667,inconclusive,BG00031,strict
both_flexible_vs_horizon_only,10,-0.058945205479451104,-0.0629455479452044,-0.054794178082191024,contradicted,0.07197237889741206,0.06720635511422574,0.07724003745851592,supported,BG00031,strict
both_flexible_vs_baseline,10,-2.19178082191962e-05,-0.00046027397260278155,0.0003452054794521642,inconclusive,0.0011792429581527542,-4.023828074351059e-05,0.0024897899603713892,inconclusive,BG00032,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00032,strict
both_flexible_vs_horizon_only,10,-2.19178082191962e-05,-0.0004602739726027777,0.0003617808219180135,inconclusive,0.0011792429581527542,-7.528995557028268e-05,0.0025125555455507097,inconclusive,BG00032,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00033,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00033,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00033,strict
both_flexible_vs_baseline,10,-0.0012785388127854124,-0.002593607305935987,3.652968036517323e-05,inconclusive,0.007367891197097143,0.004242584719221938,0.010567714479566042,supported,BG00034,strict
