class1_low_balk,mean,std,n,se,ci95,metric
0.4,7.78022268250262,0.05159110499580385,100,0.005159110499580385,0.010111856579177554,mean_accepted_booking_delay
0.45,7.723192993966113,0.05106295985527466,100,0.005106295985527466,0.010008340131633833,mean_accepted_booking_delay
0.5,7.657042639539607,0.04784707972978603,100,0.004784707972978603,0.009378027627038063,mean_accepted_booking_delay
0.0,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.05,9.181848559512114,0.0862287038214591,100,0.00862287038214591,0.016900825949005983,mean_offered_booking_delay
0.1,9.085504473720663,0.08141074515193003,100,0.008141074515193003,0.015956506049778284,mean_offered_booking_delay
0.15,8.957353845735325,0.07702108119214984,100,0.007702108119214984,0.01509613191366137,mean_offered_booking_delay
0.2,8.846968047760619,0.08489527573288556,100,0.008489527573288556,0.016639474043645568,mean_offered_booking_delay
0.25,8.730744958055151,0.07959085270181065,100,0.007959085270181066,0.01559980712955489,mean_offered_booking_delay
0.3,8.60174098141096,0.06620487505759302,100,0.006620487505759302,0.012976155511288232,mean_offered_booking_delay
0.35,8.485467505178056,0.05913531603553054,100,0.0059135316035530535,0.011590521942963984,mean_offered_booking_delay
0.4,8.363203827419538,0.05730368869630834,100,0.005730368869630834,0.011231522984476435,mean_offered_booking_delay
0.45,8.255331693386628,0.055942187462956705,100,0.005594218746295671,0.010964668742739514,mean_offered_booking_delay
0.5,8.134283138751126,0.053879387210556295,100,0.005387938721055629,0.010560359893269033,mean_offered_booking_delay
0.0,0.3557390597167697,0.0026226615795566966,100,0.00026226615795566963,0.0005140416695931124,overall_balking_rate
0.05,0.3596041296405055,0.0026996520489163548,100,0.0002699652048916355,0.0005291318015876056,overall_balking_rate
0.1,0.3631576556786047,0.0026113047616772656,100,0.00026113047616772655,0.0005118157332887441,overall_balking_rate
0.15,0.3666429599336047,0.002391343935392788,100,0.0002391343935392788,0.00046870341133698645,overall_balking_rate
0.2,0.3706514206144022,0.002604543174617708,100,0.00026045431746177076,0.0005104904622250707,overall_balking_rate
0.25,0.3739327243595174,0.002549717291624667,100,0.00025497172916246673,0.0004997445891584348,overall_balking_rate
0.3,0.3779859371105158,0.0026707176720702627,100,0.0002670717672070263,0.0005234606637257715,overall_balking_rate
0.35,0.38148734271210416,0.0029575206540602868,100,0.00029575206540602867,0.0005796740481958162,overall_balking_rate
0.4,0.38505990390797434,0.002527023433095286,100,0.0002527023433095286,0.0004952965928866761,overall_balking_rate
0.45,0.3878431562779504,0.00248135861344147,100,0.00024813586134414696,0.00048634628823452806,overall_balking_rate
0.5,0.39143877792704806,0.002721262855864607,100,0.0002721262855864607,0.000533367519749463,overall_balking_rate
0.0,9814.18,40.01852601286582,100,4.001852601286582,7.8436310985217,total_served
0.05,9816.25,48.476251605265055,100,4.847625160526506,9.501345314631951,total_served
0.1,9815.2,38.28257509044525,100,3.828257509044525,7.503384717727269,total_served
0.15,9810.01,40.61459532649963,100,4.061459532649963,7.9604606839939285,total_served
0.2,9815.13,40.256163340148014,100,4.025616334014801,7.8902080146690095,total_served
0.25,9815.6,42.32748706947014,100,4.232748706947014,8.296187465616146,total_served
