class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.35,2,5805.05,102.84178050861343,100,10.284178050861343,20.15698897968823,balked
0.4,1,8421.48,79.09034343232072,100,7.909034343232072,15.501707312734862,balked
0.4,2,5634.11,115.01162830976988,100,11.501162830976988,22.542279148714893,balked
0.45,1,8747.62,89.3501544543162,100,8.93501544543162,17.512630273045975,balked
0.45,2,5413.55,102.73309293425534,100,10.273309293425534,20.135686215114045,balked
0.5,1,9122.3,98.41845314366547,100,9.841845314366548,19.290016816158435,balked
0.5,2,5172.48,136.81643530547416,100,13.681643530547415,26.816021319872934,balked
0.0,1,18275.19,140.98367947669647,100,14.098367947669647,27.63280117743251,offered
0.0,2,18246.37,130.20338829397824,100,13.020338829397824,25.519864105619735,offered
0.05,1,18234.8,134.19223358881703,100,13.419223358881704,26.301677783408138,offered
0.05,2,18244.71,128.8912543757159,100,12.88912543757159,25.262685857640314,offered
0.1,1,18261.32,146.91823328888503,100,14.691823328888503,28.795973724621465,offered
0.1,2,18274.59,118.74844773041794,100,11.874844773041794,23.274695755161915,offered
0.15,1,18266.94,139.5012631636083,100,13.950126316360828,27.342247580067223,offered
0.15,2,18222.61,138.81125147247104,100,13.881125147247104,27.207005288604325,offered
0.2,1,18254.58,127.17554716996422,100,12.717554716996421,24.926407245312983,offered
0.2,2,18257.13,146.4231901239029,100,14.642319012390292,28.698945264284973,offered
0.25,1,18247.82,142.96318520245796,100,14.296318520245796,28.02078429968176,offered
0.25,2,18253.51,114.90887869977888,100,11.490887869977888,22.522140225156658,offered
0.3,1,18255.46,129.65326097251906,100,12.965326097251907,25.412039150613737,offered
0.3,2,18263.57,144.2530223061009,100,14.42530223061009,28.273592371995775,offered
0.35,1,18251.68,146.2237029798228,100,14.62237029798228,28.65984578404527,offered
0.35,2,18260.08,116.59042357195054,100,11.659042357195053,22.851723020102305,offered
0.4,1,18232.27,125.04979654586242,100,12.504979654586242,24.509760122989032,offered
0.4,2,18269.39,132.6126656504162,100,13.26126656504162,25.992082467481573,offered
0.45,1,18258.87,137.66579756127533,100,13.766579756127532,26.98249632200996,offered
0.45,2,18253.03,115.1250927022296,100,11.51250927022296,22.564518169637,offered
0.5,1,18251.64,123.24972760024784,100,12.324972760024783,24.156946609648575,offered
0.5,2,18266.12,134.8833600118296,100,13.488336001182962,26.437138562318605,offered
0.0,1,0.05,0.41132945334843124,100,0.04113294533484312,0.08062057285629252,no_offer
0.0,2,0.03,0.22270150335361366,100,0.022270150335361366,0.043649494657308274,no_offer
0.05,1,0.08,0.7061061241667986,100,0.07061061241667986,0.13839680033669252,no_offer
0.05,2,0.04,0.315268043724605,100,0.0315268043724605,0.06179253657002257,no_offer
0.1,1,0.0,0.0,100,0.0,0.0,no_offer
0.1,2,0.0,0.0,100,0.0,0.0,no_offer
0.15,1,0.02,0.2,100,0.02,0.0392,no_offer
0.15,2,0.04,0.4,100,0.04,0.0784,no_offer
0.2,1,0.0,0.0,100,0.0,0.0,no_offer
0.2,2,0.0,0.0,100,0.0,0.0,no_offer
0.25,1,0.0,0.0,100,0.0,0.0,no_offer
0.25,2,0.0,0.0,100,0.0,0.0,no_offer
0.3,1,0.0,0.0,100,0.0,0.0,no_offer
0.3,2,0.0,0.0,100,0.0,0.0,no_offer
0.35,1,0.0,0.0,100,0.0,0.0,no_offer
0.35,2,0.0,0.0,100,0.0,0.0,no_offer
0.4,1,0.0,0.0,100,0.0,0.0,no_offer
0.4,2,0.0,0.0,100,0.0,0.0,no_offer
0.45,1,0.0,0.0,100,0.0,0.0,no_offer
0.45,2,0.0,0.0,100,0.0,0.0,no_offer
0.5,1,0.0,0.0,100,0.0,0.0,no_offer
0.5,2,0.0,0.0,100,0.0,0.0,no_offer
0.0,1,5925.69,90.13936403977429,100,9.013936403977429,17.66731535179576,canceled
