class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,64,1,18298,10003,8295,18298,0,4815,830,4353,7.947215835249425,8.53344627828178,0.23789485189638213,0.37268835616438356,0.45332823259372607,79496.0,156145.0
3,64,2,18290,12455,5835,18290,0,5952,989,5510,7.720674427940586,8.54909786768726,0.30125751776927284,0.4717465753424658,0.31902679059595407,96161.0,156363.0
3,65,1,18253,9998,8255,18253,0,4847,817,4331,7.886477295459092,8.474278200843697,0.23727606420862324,0.37080479452054793,0.45225442393031284,78849.0,154681.0
3,65,2,18105,12394,5711,18105,0,5860,1023,5511,7.720348555752784,8.538138635735985,0.3043910521955261,0.4718321917808219,0.31543772438552886,95686.0,154583.0
3,66,1,18305,10044,8261,18305,0,4911,863,4266,8.004778972520908,8.55897295820814,0.2330510789401803,0.36523972602739724,0.45129745971046165,80400.0,156672.0
3,66,2,18122,12507,5615,18122,0,5963,1045,5498,7.721116174942033,8.545414413420152,0.303388147003642,0.47071917808219177,0.30984438803664055,96568.0,154860.0
3,67,1,18161,9943,8218,18161,0,4784,851,4308,7.836266720305742,8.399977974781125,0.23721160729034746,0.36883561643835616,0.45250812179946037,77916.0,152552.0
3,67,2,17880,12425,5455,17880,0,5883,1047,5495,7.619879275653924,8.420805369127518,0.30732662192393734,0.4704623287671233,0.305089485458613,94677.0,150564.0
3,68,1,18177,9892,8285,18177,0,4702,864,4326,7.836029114435908,8.432964735654949,0.2379930681630632,0.3703767123287671,0.4557957858832591,77514.0,153286.0
3,68,2,17904,12296,5608,17904,0,5800,1038,5458,7.622234873129473,8.430518319928508,0.3048480786416443,0.4672945205479452,0.31322609472743523,93723.0,150940.0
3,69,1,18289,10048,8241,18289,0,4833,892,4319,7.982683121019108,8.550822899010335,0.2361528787795943,0.369777397260274,0.4505987205424025,80210.0,156386.0
3,69,2,18148,12425,5723,18148,0,5939,997,5485,7.720321931589537,8.552347366100948,0.30223716111968263,0.4696061643835616,0.31535155389023584,95925.0,155208.0
3,70,1,18104,10054,8050,18104,0,4858,852,4343,7.942609906504874,8.514140521431727,0.23989173663278834,0.37183219178082194,0.44465311533362795,79855.0,154140.0
3,70,2,18397,12613,5784,18397,0,6137,1014,5459,7.676603504320939,8.51888894928521,0.29673316301570907,0.4673801369863014,0.3143990868076317,96825.0,156722.0
3,71,1,18207,9968,8239,18207,0,4811,894,4260,7.943318619582665,8.537595430328995,0.23397594331850388,0.3647260273972603,0.45251826220684355,79179.0,155444.0
3,71,2,18240,12536,5704,18240,0,6024,1080,5430,7.744017230376516,8.558826754385965,0.29769736842105265,0.4648972602739726,0.312719298245614,97079.0,156113.0
3,72,1,18269,10062,8207,18269,0,4852,807,4403,7.856191612005565,8.448628824785155,0.24100936011823307,0.37696917808219177,0.44923093765394934,79049.0,154348.0
3,72,2,18130,12426,5704,18130,0,5938,1040,5448,7.6467085144052795,8.469167126309983,0.3004964147821291,0.46643835616438356,0.31461665747380035,95018.0,153546.0
3,73,1,18457,10048,8409,18457,0,4872,844,4330,7.877886146496815,8.451319282656987,0.23459933900417185,0.3707191780821918,0.4555995015441296,79157.0,155986.0
3,73,2,18175,12404,5771,18175,0,5889,1006,5507,7.698161883263463,8.529133425034388,0.3029986244841816,0.47148972602739725,0.31752407152682255,95488.0,155017.0
3,74,1,18295,10086,8209,18295,0,4959,831,4296,7.878742811818362,8.469581852965291,0.23481825635419515,0.3678082191780822,0.44870183110139383,79465.0,154951.0
3,74,2,18000,12370,5630,18000,0,5830,996,5544,7.650444624090541,8.474055555555555,0.308,0.47465753424657536,0.31277777777777777,94636.0,152533.0
3,75,1,18442,10124,8318,18442,0,4910,835,4378,7.9290794152508886,8.523099446914651,0.23739290749376424,0.37482876712328766,0.451035679427394,80274.0,157183.0
3,75,2,18398,12424,5974,18398,0,5953,1052,5415,7.6801352221506765,8.534623328622676,0.2943254701598,0.4636130136986301,0.3247092075225568,95418.0,157020.0
3,76,1,18208,10012,8196,18208,0,4851,846,4315,7.969336795844986,8.565960017574692,0.23698374340949033,0.3694349315068493,0.4501318101933216,79789.0,155969.0
3,76,2,18378,12473,5905,18378,0,5964,1021,5488,7.785857452096528,8.623952551964305,0.2986179127217325,0.46986301369863015,0.3213080857547067,97113.0,158491.0
3,77,1,18316,9988,8328,18316,0,4828,802,4358,7.961653984781738,8.546298318410134,0.237934046735095,0.37311643835616437,0.4546844289146102,79521.0,156534.0
3,77,2,18379,12514,5865,18379,0,5997,1044,5473,7.69929678759789,8.542738995592796,0.29778551607813264,0.46857876712328766,0.31911420643125304,96349.0,157007.0
3,78,1,18172,9900,8272,18172,0,4816,846,4238,7.957373737373738,8.506548536209554,0.23321593660576712,0.36284246575342466,0.4552058111380145,78778.0,154581.0
3,78,2,18044,12590,5454,18044,0,6005,1015,5570,7.639237490071485,8.443083573487032,0.3086898692086012,0.4768835616438356,0.30226113943693195,96178.0,152347.0
3,79,1,18241,10107,8134,18241,0,4933,782,4388,7.901751261501929,8.484677375143907,0.24055698700729128,0.37568493150684934,0.4459185351680281,79863.0,154769.0
3,79,2,18112,12436,5676,18112,0,5941,990,5504,7.663879060791251,8.497846731448764,0.303886925795053,0.4712328767123288,0.3133833922261484,95308.0,153913.0
3,80,1,18254,10004,8250,18254,0,4837,835,4332,8.055177928828469,8.650761476936562,0.2373178481428728,0.3708904109589041,0.45195573572915526,80584.0,157911.0
3,80,2,18293,12448,5845,18293,0,5926,1020,5502,7.808483290488432,8.647406111627399,0.30077078663969825,0.47106164383561644,0.31952112830044277,97200.0,158187.0
3,81,1,18180,9877,8303,18180,0,4843,783,4250,7.913941480206541,8.483553355335534,0.23377337733773376,0.3638698630136986,0.4567106710671067,78166.0,154231.0
3,81,2,18120,12561,5559,18120,0,5940,1021,5600,7.656317172199666,8.472406181015453,0.3090507726269316,0.4794520547945205,0.30678807947019865,96171.0,153520.0
3,82,1,18121,9835,8286,18121,0,4810,830,4189,7.863040162684291,8.449092213454003,0.23116825782241598,0.3586472602739726,0.4572595331383478,77333.0,153106.0
