class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
4,17,0.8425513698630137,0.2688469005496158,9832,10965.0,7.793092733164647,8.578983347461103,0.3840201252358426,36571,22527,36571,14044,0,10841,1839,15
4,18,0.8456335616438356,0.2731571088867998,9879,11013.0,7.772493800921006,8.53132776641044,0.3755460930155395,36166,22584,36166,13582,0,10904,1794,7
4,19,0.842722602739726,0.26878573187077714,9826,10988.0,7.86538036999426,8.633531197855405,0.3804469732199032,36557,22649,36557,13908,0,10977,1841,5
4,20,0.8439212328767123,0.26666846915048936,9863,10997.0,8.065381757790306,8.862191099334883,0.38136051478937977,36986,22881,36986,14105,0,11187,1828,3
4,21,0.8424657534246576,0.2685018297012398,9832,10957.0,7.857521889095251,8.637828390409089,0.38243486809765687,36618,22614,36618,14004,0,10933,1849,0
4,22,0.8439212328767123,0.26892978868438994,9863,10997.0,7.840595018044186,8.634055896387185,0.38044989775051125,36675,22722,36675,13953,0,11040,1819,0
4,23,0.8416952054794521,0.2712814424165447,9825,10950.0,7.757386212403514,8.528950492862467,0.3775851119639948,36217,22542,36217,13675,0,10868,1849,0
4,24,0.8426369863013699,0.2731739818439244,9840,10981.0,7.752934350872495,8.51003581244274,0.37794619805113683,36021,22407,36021,13614,0,10720,1847,0
4,25,0.8373287671232876,0.2685202975324568,9783,10908.0,7.862217912552891,8.6245162352812,0.3772678615540856,36433,22688,36433,13745,0,10986,1909,10
4,26,0.8461472602739726,0.2742911048221519,9886,11008.0,7.792617775619233,8.551717440763554,0.37159425115143446,36042,22649,36042,13393,0,10977,1786,0
4,27,0.8398116438356165,0.2702576241329957,9819,10957.0,7.993633670807728,8.765826268853903,0.3774358692062094,36332,22619,36332,13713,0,10936,1857,7
4,28,0.8391267123287671,0.27177256227659397,9808,10912.0,7.819535543343378,8.5834464795367,0.37476793482778686,36089,22564,36089,13525,0,10861,1895,0
