class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value
8,35,0.8418664383561644,0.26922761896961256,9861,10973.0
8,36,0.8424657534246576,0.2704019823788546,9821,10944.0
8,37,0.8417808219178082,0.26945631919324786,9833,10964.0
8,38,0.8408390410958904,0.2693851737791465,9797,10938.0
8,39,0.8464897260273972,0.271787540550943,9886,11003.0
8,40,0.833904109589041,0.26611954588975517,9728,10838.0
8,41,0.8346746575342465,0.2694048802031578,9760,10883.0
8,42,0.8339897260273973,0.26575716234652114,9740,10859.0
8,43,0.8375,0.26600676265270506,9755,10904.0
8,44,0.8371575342465754,0.26660667539267013,9777,10908.0
8,45,0.8399828767123287,0.2662425922905453,9794,10947.0
8,46,0.8357876712328767,0.26643003412969285,9758,10899.0
8,47,0.8389554794520548,0.26701727614583903,9799,10933.0
8,48,0.8392979452054794,0.2686481303930968,9807,10931.0
8,49,0.8394691780821918,0.2684504879921044,9792,10943.0
8,50,0.8441780821917808,0.2689399109994813,9851,10988.0
8,51,0.8410958904109589,0.267647540536114,9805,10946.0
8,52,0.8402397260273973,0.26659228822552994,9797,10932.0
8,53,0.8403253424657534,0.26888730619624174,9816,10933.0
8,54,0.8404965753424658,0.27034851659865444,9805,10927.0
8,55,0.8458047945205479,0.2725365719017389,9874,11005.0
8,56,0.8465753424657534,0.2704857401167091,9873,10999.0
8,57,0.8431506849315068,0.2707656740243298,9838,10981.0
8,58,0.8425513698630137,0.2675063931661135,9833,10961.0
8,59,0.8393835616438357,0.2673437627979359,9792,10929.0
8,60,0.8393835616438357,0.26919061486894885,9798,10939.0
8,61,0.8392979452054794,0.26760794615005745,9780,10914.0
8,62,0.8398972602739726,0.26813276874743885,9815,10937.0
8,63,0.839041095890411,0.26552967652720916,9793,10944.0
8,64,0.8375856164383562,0.26754277891854894,9772,10909.0
8,65,0.8404965753424658,0.2695747599451303,9826,10934.0
8,66,0.842722602739726,0.26863066012002185,9848,10987.0
8,67,0.8404109589041096,0.26851699786500244,9810,10947.0
8,68,0.8375856164383562,0.2695767341758181,9770,10923.0
8,69,0.8455479452054795,0.2726092481078393,9869,11005.0
8,70,0.842722602739726,0.26756800959494087,9816,10970.0
8,71,0.8407534246575342,0.2681280236149452,9810,10966.0
8,72,0.8393835616438357,0.2679074089256921,9803,10939.0
8,73,0.8443493150684932,0.26951032899770466,9863,10970.0
8,74,0.8469178082191781,0.26883300674940125,9878,10999.0
8,75,0.8398972602739726,0.26998624484181566,9814,10943.0
8,76,0.8351883561643836,0.2653823096626519,9739,10883.0
8,77,0.8381849315068494,0.26759869771004896,9781,10926.0
8,78,0.8412671232876713,0.2696820175438597,9838,10966.0
8,79,0.8393835616438357,0.26696684404420795,9783,10934.0
8,80,0.8410958904109589,0.27066320900463475,9811,10973.0
8,81,0.8415239726027397,0.27002583979328165,9823,10972.0
8,82,0.842208904109589,0.267979731938542,9837,10974.0
8,83,0.8372431506849315,0.266929435594241,9752,10914.0
8,84,0.8392123287671233,0.2682446299083322,9803,10936.0
