class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
3,38,2,18254,12344,5910,18254,0,5866,1016,5460,7.7489468567725215,8.598827654212775,0.2991125232825682
3,39,1,18228,10037,8191,18228,0,4857,805,4375,7.95805519577563,8.573897300855826,0.24001536098310292
3,39,2,18202,12438,5764,18202,0,5950,1057,5431,7.760492040520984,8.588616635534557,0.29837380507636524
3,40,1,18352,10002,8350,18352,0,4852,853,4292,7.999900019996001,8.55241935483871,0.23387096774193547
3,40,2,18106,12407,5699,18106,0,5861,1033,5510,7.726041750624647,8.561139953606538,0.30431901027283775
3,41,1,18355,10005,8350,18355,0,4788,810,4404,7.915542228885557,8.487387632797603,0.23993462271860527
3,41,2,18180,12470,5710,18180,0,6011,1018,5438,7.678588612670409,8.512926292629263,0.29911991199119914
3,42,1,18424,10121,8303,18424,0,4959,830,4326,8.1220235154629,8.71336300477638,0.23480243161094225
3,42,2,18381,12560,5821,18381,0,6032,1065,5456,7.842356687898089,8.699853109188837,0.29682824655894674
3,43,1,18200,9933,8267,18200,0,4794,816,4321,7.892982986006242,8.49043956043956,0.23741758241758243
3,43,2,18196,12578,5618,18196,0,6044,1007,5527,7.670217840674193,8.489777973180919,0.30374807650032976
3,44,1,18206,9982,8224,18206,0,4900,800,4281,7.985674213584452,8.544051411622542,0.23514226079314512
3,44,2,18437,12691,5746,18437,0,6093,1002,5596,7.741627925301395,8.565276346477193,0.30352009546021586
3,45,1,18250,10024,8226,18250,0,4845,854,4322,7.979449321628093,8.589808219178082,0.23682191780821918
3,45,2,18444,12548,5896,18444,0,6050,1029,5467,7.789050047816385,8.627250054218173,0.2964107568857081
3,46,1,18184,10038,8146,18184,0,4940,815,4281,8.12074118350269,8.692366915970084,0.2354267487901452
3,46,2,18461,12692,5769,18461,0,6128,1056,5507,7.778837062716672,8.624397378256866,0.2983045338822382
3,47,1,18312,10086,8226,18312,0,4874,828,4384,7.966983938132064,8.59185233726518,0.23940585408475318
3,47,2,18347,12635,5712,18347,0,6183,945,5507,7.730114760585675,8.574753365672862,0.300158063988663
3,48,1,18100,9855,8245,18100,0,4702,815,4338,7.851851851851852,8.47585635359116,0.23966850828729283
3,48,2,18110,12473,5637,18110,0,5951,1049,5472,7.73719233544456,8.528823854224186,0.3021535063500828
3,49,1,18320,10030,8290,18320,0,4909,854,4265,7.887637088733799,8.480458515283843,0.2328056768558952
3,49,2,18330,12538,5792,18330,0,5982,1062,5493,7.710958685595789,8.532460447354064,0.2996726677577741
3,50,1,18104,9957,8147,18104,0,4907,867,4181,8.024304509390378,8.581197525408749,0.23094343791427308
3,50,2,18377,12703,5674,18377,0,6077,976,5649,7.735101944422578,8.56309517331447,0.3073951134570387
3,51,1,18142,10117,8025,18142,0,4909,879,4325,8.082435504596225,8.63118730018741,0.23839708962628156
3,51,2,18280,12496,5784,18280,0,6018,990,5485,7.783450704225352,8.637035010940918,0.300054704595186
3,52,1,18130,9814,8316,18130,0,4731,850,4231,7.936417362950887,8.53684500827358,0.23337010479867623
3,52,2,18283,12641,5642,18283,0,6036,1054,5551,7.702396962265643,8.518678553847836,0.3036153804080293
3,53,1,18423,10078,8345,18423,0,4955,879,4237,8.167096646159953,8.707376648754275,0.22998425880692613
3,53,2,18247,12531,5716,18247,0,5976,1012,5541,7.79195594924587,8.64207814983285,0.3036663561133337
3,54,1,18328,9983,8345,18328,0,4881,834,4268,8.099469097465692,8.698548668703623,0.23286774334351812
3,54,2,18472,12617,5855,18472,0,6041,1010,5566,7.807164936197195,8.660242529233434,0.30132091814638373
3,55,1,18440,10136,8304,18440,0,5022,810,4302,8.03078137332281,8.646095444685466,0.23329718004338396
3,55,2,18325,12507,5818,18325,0,5960,1045,5500,7.783960981850164,8.62963165075034,0.30013642564802184
3,56,1,18110,9880,8230,18110,0,4830,801,4248,7.858400809716599,8.433186085035892,0.2345665378244064
3,56,2,18037,12471,5566,18037,0,5856,1038,5577,7.582070403335739,8.394744137051616,0.30919776015967176
