class1_high_balk,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
0.0,89,2,18505,10382,5077,15459,3046,5300,797,4277,8.745810055865922,9.97988226922828,0.23112672250743044
0.0,90,1,18383,15432,0,15432,2951,8768,1147,5488,9.967470191809227,9.967470191809227,0.2985366915084589
0.0,90,2,17871,10108,4848,14956,2915,5094,708,4297,8.664325286901464,9.918828563787109,0.24044541435845784
0.0,91,1,18444,15442,0,15442,3002,8802,1194,5426,9.960562103354487,9.960562103354487,0.2941878117545001
0.0,91,2,18333,10295,4960,15255,3078,5248,678,4359,8.656532297231665,9.914257620452311,0.23776795941744394
0.0,92,1,18160,15366,0,15366,2794,8784,1147,5423,9.86554731224782,9.86554731224782,0.29862334801762114
0.0,92,2,18325,10401,5094,15495,2830,5317,680,4392,8.693779444284203,9.955275895450145,0.23967257844474762
0.0,93,1,18264,15434,0,15434,2830,8823,1139,5447,9.944926785020085,9.944926785020085,0.29823696890056944
0.0,93,2,18196,10401,5042,15443,2753,5308,683,4397,8.6655129314489,9.934403937058862,0.24164651571774015
0.0,94,1,18407,15428,0,15428,2979,8787,1127,5487,9.968563650505574,9.968563650505574,0.29809311674906286
0.0,94,2,18329,10366,4981,15347,2982,5317,668,4374,8.64827320084893,9.90382485176256,0.23863822358011894
0.0,95,1,18227,15231,0,15231,2996,8681,1151,5365,9.99507583218436,9.99507583218436,0.2943435562626872
0.0,95,2,18390,10328,5088,15416,2974,5171,708,4441,8.641460108443068,9.92423456149455,0.2414899401848831
0.0,96,1,18112,15381,0,15381,2731,8768,1157,5429,9.937910408946102,9.937910408946102,0.29974602473498235
0.0,96,2,18209,10387,5072,15459,2750,5324,726,4329,8.722248965052469,9.968173879293616,0.2377395793289033
0.0,97,1,18279,15378,0,15378,2901,8774,1170,5412,9.964624788659123,9.964624788659123,0.2960774659445265
0.0,97,2,18227,10343,4996,15339,2888,5220,652,4461,8.637242579522383,9.896603429167481,0.24474680419158393
