background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h3_thresholds,noshow_high_low_focal,noshow_high_high_focal,n_exposed_thresholds,failure_component,classification,lowest_exposed_threshold,highest_exposed_threshold,n_gradient_paired_seeds,lowest_threshold_delta_utilization,highest_threshold_delta_utilization,low_minus_high_utilization_loss,low_minus_high_utilization_loss_ci_low,low_minus_high_utilization_loss_ci_high,spearman_threshold_vs_loss_magnitude,utilization_direction_component,threshold_gradient_component
H3B0046,S014,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,0,6,0.3,0.3,0.3,0.7,4;6;9;12,0.3,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0047,S015,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0,4,0.7,0.7,0.7,0.7,4;6;9;12,0.7,0.7,0,no_valid_post_threshold_increase,inactive,,,,,,,,,,,
H3B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0,9,0.0,0.0,0.0,0.7,4;6;9;12,0.0,0.7,4,,supported,4.0,12.0,20.0,-0.4141588184931507,-0.17852097602739728,0.2356378424657534,0.23450661712679763,0.23676906780470916,-1.0,supported,supported
H3B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.7,0.7,0,4,0.0,0.0,0.0,0.5,4,0.0,0.7,0,fewer_than_two_valid_thresholds,inactive,,,,,,,,,,,
H3B0050,S018,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,9,9,0.1,0.1,0.5,0.5,0,9,0.5,0.5,0.5,0.5,4;6;9;12,0.5,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0051,S019,sobol_symmetric,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,0,12,0.3,0.3,0.3,0.5,4;6;9;12,0.3,0.7,3,,supported,4.0,9.0,20.0,-0.13176369863013698,-0.07021404109589041,0.06154965753424656,0.05899331740256285,0.06410599766593027,-1.0,supported,supported
H3B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0,6,0.0,0.0,0.0,0.0,4;6;9;12,0.0,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.0,0.0,0.3,0.3,0,12,0.3,0.3,0.3,0.7,4;6;9;12,0.3,0.7,1,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0054,S022,sobol_symmetric,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0,6,0.0,0.0,0.0,0.3,4;6;9;12,0.0,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0055,S023,sobol_symmetric,0.8,0.3,64,51.2,15.36,35.84,21,21,0.0,0.0,12,12,0.1,0.1,0.1,0.1,0,4,0.0,0.0,0.0,0.7,4;6;9;12,0.0,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0056,S024,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.3,0.3,4,4,0.3,0.3,0.3,0.3,0,4,0.7,0.7,0.7,0.7,4,0.7,0.7,0,fewer_than_two_valid_thresholds;no_valid_post_threshold_increase,inactive,,,,,,,,,,,
H3B0057,S025,sobol_symmetric,2.0,0.3,64,128.0,38.4,89.6,14,14,0.0,0.0,4,4,0.0,0.0,0.5,0.5,0,12,0.3,0.3,0.3,0.7,4;6;9;12,0.3,0.7,2,,supported,4.0,6.0,20.0,-0.11894905821917809,-0.04764126712328766,0.0713077910958904,0.058693406804048824,0.08392217538773199,-0.9999999999999999,supported,supported
H3B0058,S026,sobol_symmetric,0.8,0.5,16,12.8,6.4,6.4,28,28,0.3,0.3,12,12,0.7,0.7,0.7,0.7,0,6,0.0,0.0,0.0,0.1,4;6;9;12,0.0,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
H3B0059,S027,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.5,0.5,4,4,0.1,0.1,0.3,0.3,0,4,0.3,0.3,0.3,0.3,4,0.3,0.7,0,fewer_than_two_valid_thresholds,inactive,,,,,,,,,,,
H3B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,0,9,0.5,0.5,0.5,0.7,4;6;9;12,0.5,0.7,2,,supported,4.0,6.0,20.0,-0.11810359589041097,-0.09612157534246578,0.0219820205479452,0.02121921260980373,0.022744828486086673,-0.9999999999999999,supported,supported
H3B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0,4,0.0,0.0,0.0,0.3,4;6;9;12,0.0,0.7,2,,supported,4.0,6.0,20.0,-0.044854452054794526,-0.005470890410958907,0.03938356164383562,0.03785548288581966,0.040911640401851586,-0.9999999999999999,supported,supported
H3B0062,S030,sobol_symmetric,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,4,4,0.1,0.1,0.7,0.7,0,4,0.5,0.5,0.5,0.7,4,0.5,0.7,0,fewer_than_two_valid_thresholds,inactive,,,,,,,,,,,
H3B0063,S031,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,0,12,0.3,0.3,0.3,0.3,4;6;9;12,0.3,0.7,0,insufficient_realized_post_threshold_exposure,inactive,,,,,,,,,,,
