background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,noshow_high_low_focal,noshow_high_high_focal,noshow_threshold_class1_focal,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,utilization_loss_magnitude,delta_realized_class1_noshow_rate,delta_realized_class1_noshow_rate_ci_low,delta_realized_class1_noshow_rate_ci_high,realized_exposure_active,direction_component
H3B0202,S170,sobol_symmetric,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0,4,0.3,0.3,0.3,0.5,0.3,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0202,S170,sobol_symmetric,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0,4,0.3,0.3,0.3,0.5,0.3,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0202,S170,sobol_symmetric,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0,4,0.3,0.3,0.3,0.5,0.3,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0204,S172,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,0,12,0.0,0.0,0.0,0.7,0.0,0.7,4,20,-0.030211900684931514,-0.030643164910177406,-0.029780636459685622,0.030211900684931514,0.010801386325035965,0.010652229081766324,0.010950543568305606,True,supported
H3B0204,S172,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,0,12,0.0,0.0,0.0,0.7,0.0,0.7,6,20,-0.0018172089041096518,-0.0019663555383841957,-0.001668062269835108,0.0018172089041096518,0.00064785461836048,0.0005972981215673791,0.0006984111151535809,False,inconclusive
H3B0204,S172,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,0,12,0.0,0.0,0.0,0.7,0.0,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0204,S172,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,0,12,0.0,0.0,0.0,0.7,0.0,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0205,S173,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,0,6,0.5,0.5,0.5,0.5,0.5,0.7,4,20,-0.006125856164383559,-0.006341921983022486,-0.0059097903457446315,0.006125856164383559,0.0030460716740912212,0.002936177753083228,0.0031559655950992144,False,supported
H3B0205,S173,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,0,6,0.5,0.5,0.5,0.5,0.5,0.7,6,20,-0.0003745719178082169,-0.0004395329589512006,-0.0003096108766652332,0.0003745719178082169,0.0001862566759217206,0.00015646414369775534,0.00021604920814568586,False,inconclusive
H3B0205,S173,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,0,6,0.5,0.5,0.5,0.5,0.5,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0205,S173,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,0,6,0.5,0.5,0.5,0.5,0.5,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0207,S175,sobol_symmetric,0.8,0.1,32,25.6,2.5600000000000005,23.040000000000003,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,0,9,0.0,0.0,0.0,0.0,0.0,0.7,4,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0207,S175,sobol_symmetric,0.8,0.1,32,25.6,2.5600000000000005,23.040000000000003,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,0,9,0.0,0.0,0.0,0.0,0.0,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0207,S175,sobol_symmetric,0.8,0.1,32,25.6,2.5600000000000005,23.040000000000003,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,0,9,0.0,0.0,0.0,0.0,0.0,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0207,S175,sobol_symmetric,0.8,0.1,32,25.6,2.5600000000000005,23.040000000000003,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,0,9,0.0,0.0,0.0,0.0,0.0,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
