sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,31,2,18200,11547,6089,17636,564,6060,811,4663,8.918853381830779,10.085110002268088,0.2562087912087912,0.39922945205479454,0.34525969607620777,102986.0,177861.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,32,1,18247,13911,3551,17462,785,7705,1036,5153,9.614909064768888,10.175867598213262,0.2824025867265852,0.44118150684931506,0.20335585843545986,133753.0,177691.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,32,2,18235,11409,5998,17407,828,5924,777,4696,8.967481812604085,10.151375883265352,0.25752673430216616,0.40205479452054793,0.3445740219451945,102310.0,176705.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,33,1,18226,13901,3778,17679,547,7647,1037,5201,9.592475361484786,10.165903048814979,0.28536157138154283,0.44529109589041094,0.2136998699021438,133345.0,179723.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,33,2,18350,11312,6497,17809,541,5889,818,4598,8.959600424328148,10.171486327137965,0.25057220708446865,0.39366438356164385,0.3648155427031276,101351.0,181144.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,34,1,18213,13776,3694,17470,743,7534,1052,5169,9.564605110336817,10.15208929593589,0.2838082688189755,0.4425513698630137,0.21144819690898684,131762.0,177357.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,34,2,18488,11569,6173,17742,746,6128,805,4623,9.035698850376004,10.198512005410889,0.2500540891389009,0.39580479452054795,0.34793146206741066,104534.0,180942.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,35,1,17980,13834,3597,17431,549,7640,1087,5092,9.604019083417667,10.173541391773277,0.2832035595105673,0.43595890410958904,0.20635649130858816,132862.0,177335.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,35,2,18457,11557,6373,17930,527,6051,832,4656,9.00190360820282,10.190964863357502,0.25226201441187623,0.39863013698630134,0.3554378137200223,104035.0,182724.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,36,1,18411,14086,3785,17871,540,7906,1011,5148,9.552676416299873,10.142465446813272,0.27961544728694804,0.44075342465753425,0.21179564657825528,134559.0,181256.0
