background_id,policy,point_type,comparison,lhs_horizon_days,lhs_Q,lhs_window,rhs_horizon_days,rhs_Q,rhs_window,n_eval_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,utilization_status,access_status,c1_supported_gain,c2_supported_gain,c1_supported_neutral,c2_supported_neutral,utilization_within_0_5pp_budget_mean,utilization_budget_supported_by_ci,rho,class1_share,capacity,noshow_level,balk_level
PBF_NS_LOW_BK_LOW_C003,reservation_only,access_recovery,vs_baseline,100,27,7,100,0,-1,10,-0.005132420091324097,-0.006977397260273617,-0.003105022831050435,0.008461187214611865,0.005560958904109577,0.011205707762557072,0.06795135387739262,0.062142123184729454,0.07383305078706708,-0.02791118627109168,-0.037524433642634754,-0.017092798678351905,Meaningful decrease,C1 gain / C2 harm,True,False,False,False,False,False,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,reservation_only,c1_win_c2_neutral_if_better,vs_avg_util_optimum,100,13,3,100,0,-1,10,0.0,0.0,0.0,0.0018812785388127805,0.0014931506849315205,0.00228778538812785,0.010588857746097746,0.008208084738612884,0.01289439756183891,-0.0045649904331184436,-0.005631836987227089,-0.0035326116071310613,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,reservation_only,c1_win_c2_neutral_if_better,vs_baseline,100,13,3,100,0,-1,10,0.0,0.0,0.0,0.0018812785388127805,0.0014519406392693888,0.002306050228310486,0.010588857746097746,0.00819423296562309,0.013183084116650982,-0.0045649904331184436,-0.005675295175339239,-0.003546709567165562,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,both_flexible,avg_util_optimum,vs_baseline,2,7,2,100,0,-1,10,0.0008219178082190636,-0.00042031963470299773,0.002127853881278116,0.002132420091324194,0.0004337899543379151,0.0036303652968036615,0.004682715832654849,-0.0024436439071574287,0.010976107667895238,0.00033215662044349114,-0.00669900352450951,0.0068413072801845505,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,both_flexible,access_recovery,vs_avg_util_optimum,10,26,10,2,7,2,10,-0.0035616438356161906,-0.004895662100456302,-0.0023561643835617054,0.008917808219178059,0.007145890410958876,0.010794863013698608,0.05586089302416007,0.04936517270930188,0.06150483458566312,-0.029075566006737975,-0.03563966737994151,-0.022712370681973598,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,both_flexible,access_recovery,vs_baseline,10,26,10,100,0,-1,10,-0.0027397260273971267,-0.00427420091324148,-0.000985844748858343,0.011050228310502253,0.009200684931506806,0.012945205479451993,0.06054360885681492,0.05423801600737533,0.06663335778190631,-0.028743409386294484,-0.03489378166911871,-0.02273771447077812,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,both_flexible,c1_win_c2_neutral_if_better,vs_avg_util_optimum,3,16,3,2,7,2,10,-0.0014520547945205853,-0.002757990867579686,-0.00027397260274021954,0.0012648401826483968,0.00038299086757987685,0.0021781963470319794,0.01683212556292222,0.00931219429236164,0.02472636165899302,-0.0034861015325597378,-0.00854427874072052,0.001319503591125093,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,both_flexible,c1_win_c2_neutral_if_better,vs_baseline,3,16,3,100,0,-1,10,-0.0006301369863015216,-0.0019636986301371077,0.0006940639269403279,0.003397260273972591,0.0016027397260273799,0.004909703196347027,0.021514841395577067,0.01547709837435168,0.028427999216444105,-0.003153944912116247,-0.00785161636611385,0.0014086665335811593,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C004,horizon_only,avg_util_optimum,vs_baseline,3,0,-1,100,0,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,horizon_only,access_recovery,vs_avg_util_optimum,3,0,-1,3,0,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,horizon_only,access_recovery,vs_baseline,3,0,-1,100,0,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,reservation_only,avg_util_optimum,vs_baseline,100,41,3,100,0,-1,10,-0.00033424657534242286,-0.0014852054794520994,0.0007232876712328529,0.009400000000000009,0.0082300684931507,0.010517808219178092,0.053085977528839624,0.04787958686247394,0.05778105589178582,-0.01994371742661736,-0.022557175831626464,-0.017128461379299895,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,reservation_only,access_recovery,vs_avg_util_optimum,100,48,9,100,41,3,10,-0.0035506849315068536,-0.0048550684931507986,-0.002328767123287666,0.0032109589041096065,0.0016163013698630155,0.004671506849315121,0.02353601573163472,0.019344110262950583,0.02699105218642324,-0.015318593510047862,-0.02164452811563935,-0.010193395542958252,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,reservation_only,access_recovery,vs_baseline,100,48,9,100,0,-1,10,-0.0038849315068492764,-0.005370000000000015,-0.0025315068493152416,0.012610958904109616,0.011208219178082224,0.014071438356164413,0.07662199326047434,0.07135857348753809,0.0816533914465969,-0.03526231093666522,-0.039125988979023064,-0.031813312706668304,Uncertain,C1 gain / C2 harm,True,False,False,False,True,False,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,reservation_only,c1_win_c2_neutral_if_better,vs_avg_util_optimum,100,24,3,100,41,3,10,0.00033424657534242286,-0.0007397260273973583,0.0014576712328769545,-0.007632876712328762,-0.008633013698630143,-0.0065752739726027245,-0.04338601397976895,-0.04758147296375405,-0.03836896556021461,0.01583679495750435,0.012702931080441366,0.018483140334143673,Supported neutral,C2 gain / C1 harm,False,True,False,False,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,reservation_only,c1_win_c2_neutral_if_better,vs_baseline,100,24,3,100,0,-1,10,0.0,0.0,0.0,0.0017671232876712462,0.0014684931506849575,0.0020547945205479207,0.009699963549070678,0.008175757839021795,0.011259596288644912,-0.004106922469113006,-0.004753804957278793,-0.0034355419212554437,Supported neutral,C1 win / C2 neutral,True,False,False,True,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,both_flexible,avg_util_optimum,vs_baseline,4,41,3,100,0,-1,10,-0.00033424657534242286,-0.0014798630136988826,0.0007672602739726965,0.009400000000000009,0.008230000000000025,0.010454931506849296,0.053085977528839624,0.04767276064364143,0.05775188348173835,-0.01994371742661736,-0.022534640037999466,-0.017213030579294613,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,both_flexible,access_recovery,vs_avg_util_optimum,5,46,5,4,41,3,10,-0.0036109589041097624,-0.005063013698630324,-0.002207808219178259,0.0008328767123287562,-0.001194657534246591,0.00293472602739725,0.01564366993987363,0.012698407653290573,0.018658318000237935,-0.010572723038355247,-0.017087523928877288,-0.004212890207364885,Uncertain,C1 gain / C2 harm,True,False,False,False,True,False,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,both_flexible,access_recovery,vs_baseline,5,46,5,100,0,-1,10,-0.003945205479452185,-0.005720821917808371,-0.0022245205479453673,0.010232876712328764,0.008569794520547978,0.012139863013698592,0.06872964746871325,0.06360021948107682,0.07377261403258338,-0.030516440464972604,-0.036306593699271916,-0.02427038480316864,Uncertain,C1 gain / C2 harm,True,False,False,False,True,False,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,both_flexible,c1_win_c2_neutral_if_better,vs_avg_util_optimum,3,32,3,4,41,3,10,-0.0006246575342469751,-0.0016219178082196347,0.00038383561643822936,-0.005643835616438364,-0.007306849315068487,-0.003996986301369875,-0.025949836035380824,-0.030737783707095487,-0.020689084680172526,0.00852902412421085,0.004744519793926944,0.012542963807822152,Supported neutral,C2 gain / C1 harm,False,True,False,False,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C004,both_flexible,c1_win_c2_neutral_if_better,vs_baseline,3,32,3,100,0,-1,10,-0.000958904109589398,-0.001824657534247033,-0.0002135616438357287,0.0037561643835616445,0.0025890410958904204,0.004991849315068475,0.027136141493458797,0.021620867212947332,0.03240006045748741,-0.01141469330240651,-0.01370125076906052,-0.008931212827230835,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.3,50,low,low
PBF_NS_LOW_BK_LOW_C005,horizon_only,avg_util_optimum,vs_baseline,3,0,-1,100,0,-1,10,-0.00043835616438355764,-0.0013150684931506728,0.0,-0.00022374429223744884,-0.0006712328767123465,0.0,-0.00041190275485691874,-0.0012357082645707562,0.0,-0.0007344235791568287,-0.0022032707374704864,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.5,30,low,low
PBF_NS_LOW_BK_LOW_C005,horizon_only,access_recovery,vs_avg_util_optimum,2,0,-1,3,0,-1,10,0.0004931506849317202,-0.0015531963470316059,0.002657534246575345,0.00010045662100458542,-0.002534589041095882,0.002822146118721459,-0.004473350617494187,-0.009718250234760166,0.0005266676155948995,-0.007127212092043589,-0.015209785894287942,-0.00019863877159850875,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.5,30,low,low
PBF_NS_LOW_BK_LOW_C005,horizon_only,access_recovery,vs_baseline,2,0,-1,100,0,-1,10,5.479452054816258e-05,-0.0017716894977162726,0.0016164383561645403,-0.00012328767123286343,-0.0025527397260273767,0.0021053652968036417,-0.004885253372351106,-0.009665730738972882,-0.00043317628981065417,-0.007861635671200417,-0.015942566090408623,-0.0011705001463361282,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.5,30,low,low
PBF_NS_LOW_BK_LOW_C005,reservation_only,avg_util_optimum,vs_baseline,100,0,-1,100,0,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.5,30,low,low
PBF_NS_LOW_BK_LOW_C005,reservation_only,access_recovery,vs_avg_util_optimum,100,28,9,100,0,-1,10,-0.0037442922374425923,-0.004867808219177582,-0.002684931506848964,0.015858447488584504,0.014132420091324238,0.018050684931506866,0.05847048255696295,0.05575404781131835,0.06132507180993659,-0.06761583879630624,-0.07339455403982503,-0.062118804924351304,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.5,30,low,low
PBF_NS_LOW_BK_LOW_C005,reservation_only,access_recovery,vs_baseline,100,28,9,100,0,-1,10,-0.0037442922374425923,-0.004986529680364642,-0.0026755707762553386,0.015858447488584504,0.014073059360730621,0.017931506849315094,0.05847048255696295,0.0558869651412772,0.06120270527211514,-0.06761583879630624,-0.07391176754452145,-0.06144352945323407,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.5,30,low,low
