policy,noshow_level,balk_level,analysis_range,backgrounds,median_delta_average_utilization,mean_delta_average_utilization,median_delta_class_1_percent_serviced,mean_delta_class_1_percent_serviced,median_delta_class_2_percent_serviced,mean_delta_class_2_percent_serviced,share_c1_positive,share_c1_ge_0_5pp,share_c1_supported_gain,share_util_within_0_5pp_budget_mean,share_util_budget_supported_by_ci
horizon_only,low,low,headline_rho_le_2_5,50,0.0,0.00018838356164387114,0.0,0.0006412291302979067,0.0,-0.0004925747756990715,0.42,0.02,0.0,1.0,1.0
horizon_only,low,medium,headline_rho_le_2_5,50,0.0,0.000228931506849376,0.0,0.0009546038342047068,0.0,-0.0004008999020360042,0.46,0.08,0.08,1.0,1.0
horizon_only,medium,high,headline_rho_le_2_5,50,0.0,0.00011210958904114254,0.0,0.0004691261910377547,0.0,-0.00013002638508800051,0.3,0.04,0.04,1.0,1.0
horizon_only,medium,low,headline_rho_le_2_5,50,0.0,0.00011210958904114254,0.0,0.0004691261910377547,0.0,-0.00013002638508800051,0.3,0.04,0.04,1.0,1.0
horizon_only,medium,medium,headline_rho_le_2_5,50,0.0,0.00011210958904114254,0.0,0.0004691261910377547,0.0,-0.00013002638508800051,0.3,0.04,0.04,1.0,1.0
reservation_only,high,high,headline_rho_le_2_5,50,-0.0003187214611871048,-0.0009689497716894555,0.012148601834038875,0.02496477618265623,-0.016910786138091258,-0.04174087524488965,0.88,0.68,0.66,0.98,0.9
reservation_only,high,low,headline_rho_le_2_5,50,-0.00035433789954339434,-0.0010454794520547578,0.012148601834038875,0.025205510679820558,-0.016910786138091258,-0.04289352148422239,0.88,0.74,0.72,0.98,0.88
reservation_only,high,medium,headline_rho_le_2_5,50,-0.0003187214611871048,-0.0010310867579908414,0.012148601834038875,0.024978036388744896,-0.016910786138091258,-0.042406070874672366,0.88,0.7,0.68,0.98,0.88
reservation_only,low,high,headline_rho_le_2_5,50,-0.0004301369863015048,-0.0008779178082191244,0.0317726406049845,0.08784945629325838,-0.06847092298823655,-0.10255469784118137,0.98,0.88,0.86,0.98,0.94
reservation_only,low,low,headline_rho_le_2_5,50,-0.0004301369863015048,-0.0008974611872145864,0.029050321875400277,0.085540441693113,-0.0517713122517096,-0.10373060892479373,0.96,0.86,0.84,0.98,0.94
reservation_only,low,medium,headline_rho_le_2_5,50,-0.0004237442922375434,-0.0008189223744291537,0.024004397456813688,0.08536607469147496,-0.05710881975211472,-0.10561479207508839,0.96,0.86,0.84,0.98,0.94
reservation_only,medium,high,headline_rho_le_2_5,50,-0.00031872146118718246,-0.00106644748858443,0.014645009762987594,0.026309686736563212,-0.016910786138091258,-0.04663591715285412,0.88,0.72,0.7,0.94,0.88
reservation_only,medium,low,headline_rho_le_2_5,50,-0.00035433789954339434,-0.00107835616438352,0.014645009762987594,0.026651961665831413,-0.016910786138091258,-0.04902743650901955,0.88,0.74,0.72,0.94,0.9
reservation_only,medium,medium,headline_rho_le_2_5,50,-0.00035433789954339434,-0.001140127853881228,0.016871238491884676,0.03293142552820454,-0.01874444650151256,-0.05460814086645579,0.88,0.74,0.72,0.94,0.86
both_flexible,high,high,stress_rho_3,10,-0.00026301369863003244,-0.000521095890411013,0.026031113756934683,0.03917300108727324,-0.039721871225093006,-0.07394215074931869,0.9,0.9,0.9,1.0,1.0
both_flexible,high,low,stress_rho_3,10,-0.00026301369863003244,-0.000521095890411013,0.026031113756934683,0.03917300108727324,-0.039721871225093006,-0.07394215074931869,0.9,0.9,0.9,1.0,1.0
both_flexible,high,medium,stress_rho_3,10,-0.00026301369863003244,-0.000521095890411013,0.026031113756934683,0.03917300108727324,-0.039721871225093006,-0.07394215074931869,0.9,0.9,0.9,1.0,1.0
both_flexible,low,high,stress_rho_3,10,-0.0002922374429222274,-0.0006473059360730205,0.04561801854712773,0.10658062604069105,-0.07978743809156721,-0.09018621819009458,1.0,1.0,1.0,1.0,1.0
both_flexible,low,low,stress_rho_3,10,-0.0003689497716893253,-0.00038228310502272833,0.09078850300285868,0.134054278841853,-0.07946321697486325,-0.11683333899717221,1.0,1.0,1.0,1.0,1.0
both_flexible,low,medium,stress_rho_3,10,-0.0004374429223742704,-0.00021954337899534492,0.1634383375653082,0.1969441275830029,-0.19410954570842004,-0.1628459177627247,1.0,0.9,0.9,1.0,1.0
both_flexible,medium,high,stress_rho_3,10,-0.00026301369863003244,-0.0007037442922374138,0.026031113756934683,0.04744122659888565,-0.05827825690947644,-0.07765342788619538,0.9,0.9,0.9,1.0,0.9
both_flexible,medium,low,stress_rho_3,10,-0.00026301369863003244,-0.0007037442922374138,0.026031113756934683,0.04744122659888565,-0.05827825690947644,-0.07765342788619538,0.9,0.9,0.9,1.0,1.0
both_flexible,medium,medium,stress_rho_3,10,-0.00026301369863003244,-0.0007037442922374138,0.026031113756934683,0.04744122659888565,-0.05827825690947644,-0.07765342788619538,0.9,0.9,0.9,1.0,1.0
horizon_only,high,high,stress_rho_3,10,0.0,0.00016639269406394487,-0.00017428169853509756,-0.0006154417092617377,5.7367381472492315e-05,0.0007376687508441615,0.1,0.0,0.0,1.0,1.0
horizon_only,high,low,stress_rho_3,10,0.0,0.00016639269406394487,-0.00017428169853509756,-0.0006154417092617377,5.7367381472492315e-05,0.0007376687508441615,0.1,0.0,0.0,1.0,1.0
horizon_only,high,medium,stress_rho_3,10,0.0,0.00016639269406394487,-0.00017428169853509756,-0.0006154417092617377,5.7367381472492315e-05,0.0007376687508441615,0.1,0.0,0.0,1.0,1.0
horizon_only,low,high,stress_rho_3,10,-7.671232876713674e-05,-0.00015178082191779187,0.0011554379550498593,0.004429215359868407,-0.0009526544910282735,-0.004992211874435772,0.6,0.3,0.3,1.0,1.0
horizon_only,low,low,stress_rho_3,10,-0.00020456621004539822,-0.00031378995433787633,4.180753238721691e-05,0.0002278235783352089,-0.00046495262656625627,-0.000706298045490173,0.5,0.0,0.0,1.0,1.0
horizon_only,low,medium,stress_rho_3,10,-0.0003881278538808541,-0.00034118721461187434,0.0011905946213756514,0.002864779727579012,-0.00022920211866662155,-0.0016264445584797831,0.7,0.3,0.3,1.0,1.0
horizon_only,medium,high,stress_rho_3,10,0.0,0.00016639269406394487,-0.00017428169853509756,-0.0006154417092617377,5.7367381472492315e-05,0.0007376687508441615,0.1,0.0,0.0,1.0,1.0
horizon_only,medium,low,stress_rho_3,10,0.0,0.00016639269406394487,-0.00017428169853509756,-0.0006154417092617377,5.7367381472492315e-05,0.0007376687508441615,0.1,0.0,0.0,1.0,1.0
horizon_only,medium,medium,stress_rho_3,10,0.0,0.00016639269406394487,-0.00017428169853509756,-0.0006154417092617377,5.7367381472492315e-05,0.0007376687508441615,0.1,0.0,0.0,1.0,1.0
reservation_only,high,high,stress_rho_3,10,-4.566210045658936e-06,-0.001124018264840131,0.006492675537064674,0.016910921195665778,-0.005474453149739477,-0.022284052664559028,0.7,0.6,0.6,0.8,0.8
reservation_only,high,low,stress_rho_3,10,0.0,-0.0015335159817351075,0.003940536824395588,0.01731032768665984,-0.006259834382557584,-0.019845950452726607,0.7,0.4,0.4,0.7,0.7
reservation_only,high,medium,stress_rho_3,10,-1.826484018261354e-05,-0.0013134246575341845,0.006635428692219388,0.021365397286850933,-0.00797689176023059,-0.022250959508062673,0.7,0.5,0.5,0.9,0.7
reservation_only,low,high,stress_rho_3,10,-0.00014155251141561575,-0.0003421004566208663,0.16028462365102653,0.1692606147757182,-0.11769085146031488,-0.14791390024192758,1.0,1.0,1.0,1.0,1.0
reservation_only,low,low,stress_rho_3,10,0.0002949771689496561,-0.00023908675799075852,0.12325864627637668,0.16348035053262922,-0.16435088403338638,-0.14932283614780104,1.0,1.0,1.0,1.0,1.0
reservation_only,low,medium,stress_rho_3,10,-0.00020821917808214185,-0.00032547945205471104,0.17606116729338273,0.21155973576265757,-0.16980802154516336,-0.14646625798635118,1.0,0.9,0.9,1.0,1.0
