lambda_total,noshow_scale,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
12,0.5,19,0.5405479452054792,0.9027682452528025,3946,4905.0,0.0002363507445048452,0.00022878059940517045,0.03202928391672386,4371,4231,4371,140,0,0,285,0,0.96513470681458,0.8175419599350298,0.14759274687955026
12,0.5,20,0.5531506849315068,0.9023463687150838,4038,5000.0,0.0020737327188940094,0.002011173184357542,0.030167597765363128,4475,4340,4475,135,0,0,302,0,0.9687017001545595,0.8113407525172232,0.15736094763733632
12,0.5,21,0.5446575342465757,0.9046643913538112,3976,4957.0,0.001875293014533521,0.0018202502844141069,0.029351535836177476,4395,4266,4395,129,0,0,290,0,0.96801872074883,0.8159475696340798,0.15207115111475022
12,0.5,22,0.5352054794520548,0.9031437817845585,3907,4889.0,0.0028544243577545195,0.0027739251040221915,0.02820157189089228,4326,4204,4326,122,0,0,297,0,0.9679871948779512,0.8144499178981938,0.1535372769797574
12,0.5,23,0.552602739726027,0.9040788883908562,4034,5033.0,0.0009235742322789194,0.0008964589870013447,0.02935903182429404,4462,4331,4462,131,0,0,297,0,0.9709146574818217,0.809626825310979,0.16128783217084275
12,0.5,24,0.547945205479452,0.9029345372460497,4000,4975.0,0.0030176415970287838,0.002934537246049661,0.027539503386004513,4430,4308,4430,122,0,0,308,0,0.9685924777045366,0.8114532685035116,0.15713920920102498
12,0.5,25,0.5458904109589037,0.9021960606746661,3985,4926.0,0.0016332244517032197,0.001584786053882726,0.029658139008376726,4417,4286,4417,131,0,0,301,0,0.9656237929702588,0.812363238512035,0.15326055445822384
12,0.5,26,0.5360273972602737,0.8976829548061482,3913,4923.0,0.0007078810759792355,0.0006882312456985547,0.02775866024317504,4359,4238,4359,121,0,0,325,0,0.9688594783962632,0.7955307262569833,0.1733287521392799
12,0.5,27,0.5306849315068496,0.900511390051139,3874,4820.0,0.000721327242125511,0.0009298000929800093,0.033240353324035334,4302,4159,4302,143,0,0,285,0,0.9679615538646376,0.807202216066482,0.16075933779815554
12,0.5,28,0.5335616438356166,0.9062354583527222,3895,4872.0,0.0002403846153846154,0.00023266635644485808,0.03210795718939041,4298,4160,4298,138,0,0,265,0,0.9681836488119211,0.8214876033057851,0.14669604550613602
12,0.5,29,0.5300000000000002,0.9058768438304846,3869,4807.0,0.0004816955684007707,0.0004682744088035589,0.027862327323811754,4271,4152,4271,119,0,0,283,0,0.9728867623604466,0.810550198525241,0.16233656383520556
12,0.5,30,0.5594520547945203,0.9079590929301912,4084,5070.0,0.00228310502283105,0.0022232103156958646,0.026233881725211204,4498,4380,4498,118,0,0,296,0,0.9709324273310683,0.8177393185505679,0.1531931087805004
12,1.0,1,0.5395890410958901,0.9111727966689799,3939,4908.0,0.0035671819262782403,0.0037011334721258385,0.02729585935692806,4323,4205,4323,118,0,0,266,0,0.9695290858725761,0.829064587973274,0.14046449789930215
12,1.0,2,0.5380821917808221,0.9067405355493998,3928,4903.0,0.0014234875444839859,0.0013850415512465374,0.027008310249307478,4332,4215,4332,117,0,0,287,0,0.9683873549419768,0.8226950354609929,0.14569231948098393
