background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0036,S004,sobol_symmetric,high,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.39812603284425485,0.13209614977902556,6.8841201441246245,6.781505971894477,6.602900398802885,6.523497139080936,6.48599411128037,0.1305170154080788,0.13367528414997232,20,-0.3981260328442536,-0.4133884619490202,-0.38286360373948697,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0037,S005,sobol_symmetric,high,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,False,20,flat,0.0,0.0,,0.0,0.0,5.304860631917901,5.304860631917901,5.304860631917901,5.304860631917901,5.304860631917901,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0038,S006,sobol_symmetric,low,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.5,0.5,True,20,decreasing,0.0,0.7,-0.9999999999999999,20.261340719279147,0.20258635633391853,24.535298730855846,21.719620505611964,4.72848413459635,4.3911634272684115,4.273958011576701,0.19837705075192283,0.20679566191591423,20,-20.261340719279143,-20.45212500008592,-20.070556438472366,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0039,S007;X083,sobol_symmetric,low,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,False,20,flat,0.0,0.0,,0.0,0.0,0.014919804979595492,0.014919804979595492,0.014919804979595492,0.014919804979595492,0.014919804979595492,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0040,S008,sobol_symmetric,high,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.5,0.5,False,20,flat,0.0,0.0,,0.0,0.0,3.4620875834371354,3.4620875834371354,3.4620875834371354,3.4620875834371354,3.4620875834371354,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0041,S009,sobol_symmetric,boundary,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,True,20,decreasing,0.0,0.7,-0.9999999999999999,0.9566993811776978,0.09682713413835162,8.266208636576257,7.791755981825614,7.46285323374745,7.3679009674520115,7.3095092553985594,0.09475387631197632,0.09890039196472691,20,-0.9566993811776954,-0.9999059719984585,-0.9134927903569322,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0042,S010;X053,sobol_symmetric,low,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.7,0.7,False,20,flat,0.0,0.0,,0.0,0.0,0.015402128776141694,0.015402128776141694,0.015402128776141694,0.015402128776141694,0.015402128776141694,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0043,S011,sobol_symmetric,low,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.0,0.0,False,20,flat,0.0,0.0,,0.0,0.0,1.6771078874314462,1.6771078874314462,1.6771078874314462,1.6771078874314462,1.6771078874314462,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0044,S012,sobol_symmetric,high,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,True,20,flat,0.0,0.7,-0.8944271909999157,0.062336714349848776,0.5807695440229171,6.0,6.0,6.0,5.999893773807635,5.937663285650151,0.5761716208678519,0.5853674671779824,20,-0.06233671434984891,-0.06944056925841119,-0.05523285944128662,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0045,S013,sobol_symmetric,high,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,True,20,flat,0.0,0.7,-0.8944271909999157,0.06803965379218635,0.5871067546125711,6.0,6.0,6.0,5.9999440947523635,5.931960346207814,0.58267915045222,0.5915343587729223,20,-0.06803965379218621,-0.07453619577036558,-0.06154311181400685,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
