class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
12,0.9,0.2934941081218358,0.00208663642091295,50,0.0002950949526196748,0.0005783861071345626,overall_percent_serviced
3,0.0,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.1,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.2,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.3,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.4,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.5,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.6,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.7,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.8,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
3,0.9,0.8513784892496631,0.003489368115562761,50,0.0004934711713141106,0.0009672034957756567,class1_high_delay_exposure_share
6,0.0,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.1,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.2,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.3,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.4,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
6,0.5,0.7027682156817618,0.00452194801459465,50,0.0006395000210585843,0.0012534200412748252,class1_high_delay_exposure_share
