stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
2,H8B0158,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.4,0.0,0.5,0.3,6,6,0.5,0.5,0.7,0.7,0.1,0.2,0.4,0.5,0.0,0.3,100,0.6519701743269232,0.3480298256730768,0.3648723947508945,True,0.0153844342711106,0.0121913411867197,0.0185775273555015,0.0183193090131363,-0.0174945342370898,-0.020342338439553,-0.0146467300346266,0.0184895306926117,0.0001702216794753,-0.0039983683034382,0.004338811662389,0.56,absolute_effect_difference_inconclusive,inconclusive
2,H8B0159,S128,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,7,7,0.3,0.3,4,4,0.4,0.0,0.5,0.2,4,4,0.0,0.0,0.3,0.3,0.1,0.3,0.4,0.5,0.0,0.2,100,0.4775413348337257,0.5224586651662743,0.507606450983738,True,0.0174107786392251,0.0168346245773496,0.0179869327011006,0.0174107786392251,-0.0034091621346417,-0.0039000485325866,-0.0029182757366967,0.003574464617645,-0.01383631402158,-0.0147239901871014,-0.0129486378560586,0.01,within_class_effect_larger,reversed
2,H8B0172,S141,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,7,7,0.5,0.5,4,4,0.1,0.0,0.5,0.4,4,4,0.0,0.0,0.1,0.1,0.4,0.1,0.1,0.5,0.0,0.4,100,0.5099623397204796,0.4900376602795204,0.4843657049017206,True,0.0210399105588311,0.0186951186609716,0.0233847024566905,0.0213512399920168,-0.0016379996684572,-0.0040385014136849,0.0007625020767703,0.0095933265205037,-0.011757913471513,-0.0145946812067646,-0.0089211457362614,0.2,within_class_effect_larger,reversed
2,H8B0175,S144,sobol_symmetric,3.1,0.5,32,99.2,49.6,49.6,28,28,0.3,0.3,4,4,0.1,0.0,0.5,0.1,9,9,0.3,0.3,0.3,0.3,0.4,0.4,0.1,0.5,0.0,0.1,100,0.3978326803897863,0.6021673196102136,0.5920876671334264,True,0.0091509455126734,0.0083974745180545,0.0099044165072923,0.0091640435911675,-0.0022276187290317,-0.0030189615717634,-0.0014362758863001,0.0035506003203335,-0.0056134432708339,-0.0066659931354541,-0.0045608934062138,0.14,within_class_effect_larger,reversed
2,H8B0178,S147,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,14,14,0.3,0.3,4,4,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.5,0.5,0.0,0.2,0.5,0.5,0.0,0.3,100,0.936582094766882,0.0634179052331179,0.0612068826088528,True,0.0327441372636738,0.030474880576502,0.0350133939508456,0.0327441372636738,0.0006164475676539,-0.0017029735878684,0.0029358687231763,0.0092695078275347,-0.023474629436139,-0.0260325015066869,-0.0209167573655912,0.04,within_class_effect_larger,reversed
2,H8B0215,S184,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,21,21,0.1,0.1,6,6,0.3,0.0,0.5,0.1,4,4,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.5,0.0,0.1,100,0.8816095093107482,0.1183904906892517,0.0252180090957547,True,0.0056743966973502,0.0047935991638217,0.0065551942308787,0.0061704718904927,-0.0006738790348251,-0.0015256941256816,0.0001779360560312,0.0033149695663532,-0.0028555023241394,-0.0037761305219932,-0.0019348741262856,0.29,within_class_effect_larger,reversed
2,H8B0218,S187,sobol_symmetric,1.25,0.1,16,20.0,2.0,18.0,21,21,0.0,0.0,12,12,0.2,0.0,0.5,0.3,9,9,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,100,0.4308312279117292,0.5691687720882708,0.675702850170818,True,0.0257272129624741,0.0210763103015462,0.030378115623402,0.0282665720270334,-0.0502432653157759,-0.0551115732276915,-0.0453749574038603,0.0506601575415703,0.0223935855145368,0.0150180765839696,0.029769094445104,0.74,,supported
2,H8B0220,S189,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,7,7,0.3,0.3,4,4,0.2,0.0,0.5,0.1,4,4,0.5,0.5,0.5,0.5,0.3,0.4,0.2,0.5,0.0,0.1,100,0.4297210049503828,0.5702789950496172,0.5555222035140422,True,0.0074940344943751,0.0069705013242966,0.0080175676644536,0.0074940344943751,-0.001217422358249,-0.0017405883860389,-0.000694256330459,0.0023621193923352,-0.0051319151020399,-0.0058566327538013,-0.0044071974502784,0.1,within_class_effect_larger,reversed
2,H8B0224,S193,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,14,14,0.3,0.3,6,6,0.1,0.0,0.5,0.2,12,12,0.3,0.3,0.3,0.3,0.4,0.3,0.1,0.5,0.0,0.2,100,0.6777050441082139,0.322294955891786,0.3006471639491374,True,0.0103516696924705,0.0098271690274027,0.0108761703575383,0.0103516696924705,-0.0012848130841364,-0.0017781816564777,-0.0007914445117952,0.0022827567018368,-0.0080689129906336,-0.0087637073441906,-0.0073741186370766,0.02,within_class_effect_larger,reversed
2,H8B0226,S195,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,100,0.3954147985949132,0.6045852014050866,0.6546476072154853,True,0.0295433586936241,0.0269127628154644,0.0321739545717839,0.0295519049445248,-0.0226034728593467,-0.0254086601395169,-0.0197982855791766,0.0232376281706257,-0.0063142767738991,-0.0109088011558731,-0.001719752391925,0.4,within_class_effect_larger,reversed
