background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0305,X050,asymmetric_stress,3.1,high,0.9,16,21,28,0.5,100,0.05490831534146192,0.05414919280665508,0.05566743787626876,reversed,0.1614513482465447,0.15968324784203788,0.1632194486510515,-17.7371971206456,-17.761806095951663,-17.712588145339538,supported,0.20037157534246583,0.19871314586976063,0.20203000481517103,0.0,1.0,reversed
H1B0313,X058,asymmetric_stress,3.1,high,0.9,64,28,28,0.1,100,0.1702923578920551,0.16995571397066228,0.17062900181344792,reversed,0.7340584620152447,0.7329293216602966,0.7351876023701929,-22.333813283357827,-22.339519988943145,-22.32810657777251,supported,0.6892114726027397,0.6886851054731501,0.6897378397323294,0.0,1.0,reversed
H1B0322,X067,asymmetric_stress,3.1,high,0.9,16,21,21,0.3,100,0.1104595945232599,0.1097272947722454,0.11119189427427441,reversed,0.3123843664879066,0.31022497807013866,0.3145437549056745,-16.05897993294663,-16.067041081239065,-16.050918784654197,supported,0.3982739726027398,0.39653863737511386,0.4000093078303657,0.0,1.0,reversed
H1B0343,X088,asymmetric_stress,4.0,high,0.7,32,21,14,0.5,100,0.07619930100754713,0.0757015440971377,0.07669705791795656,reversed,0.24992325880963037,0.2492648349270604,0.2505816826922003,-16.848190161220806,-16.852421612660383,-16.84395870978123,supported,0.49977910958904104,0.49877811880046796,0.5007801003776141,0.0,1.0,reversed
H1B0345,X090,asymmetric_stress,1.25,low,0.9,32,14,14,0.5,100,0.5023756436242715,0.5006673132775696,0.5040839739709733,reversed,0.5450650948928659,0.5423078857681672,0.5478223040175646,-4.639935575777678,-4.64685717714703,-4.6330139744083265,supported,0.6328767123287671,0.6314957600389917,0.6342576646185425,0.0,1.0,reversed
H1B0358,X103,asymmetric_stress,3.1,high,0.7,64,14,14,0.5,100,0.0753333731894189,0.0748337150037477,0.07583303137509011,reversed,0.32123845530518286,0.3206695882924205,0.32180732231794523,-9.034032975833023,-9.038310584479039,-9.029755367187008,supported,0.45872945205479454,0.45808542258390017,0.4593734815256889,0.0,1.0,reversed
H1B0368,X113,asymmetric_stress,2.0,boundary,0.7,16,21,21,0.0,100,0.03587661091181751,0.03391692233124745,0.037836299492387565,reversed,0.6589021283237416,0.6573567065349895,0.6604475501124938,-16.52355960085747,-16.537530918615595,-16.509588283099347,supported,0.42966952054794516,0.42823965928931584,0.4310993818065745,0.0,1.0,reversed
H1B0370,X115,asymmetric_stress,2.0,boundary,0.9,32,14,7,0.3,100,0.16613718406888608,0.16389263280382046,0.1683817353339517,reversed,0.329694121593257,0.3272636465280754,0.33212459665843863,-3.2495022951576233,-3.26204863515462,-3.2369559551606266,supported,0.3646301369863014,0.3613238278644061,0.36793644610819676,0.0,1.0,reversed
H1B0374,X119,asymmetric_stress,4.0,high,0.7,32,7,7,0.3,100,0.020993045418938854,0.02060194716910161,0.0213841436687761,reversed,0.18449575741079893,0.18380684502446865,0.18518466979712922,-1.386432818420642,-1.3892471399479864,-1.3836184968932976,supported,0.28025770547945206,0.2791036314139436,0.2814117795449605,0.0,1.0,reversed
H1B0379,X124,asymmetric_stress,3.1,high,0.9,64,14,28,0.1,100,0.15786523905531458,0.15745766034012468,0.15827281777050448,reversed,0.5909201615918862,0.5898559210615102,0.5919844021222622,-8.576630853067714,-8.581133039070128,-8.5721286670653,supported,0.6219075342465754,0.6212128719771836,0.6226021965159673,0.0,1.0,reversed
H1B0380,X125,asymmetric_stress,1.25,low,0.7,16,14,28,0.1,100,0.02111192314280823,0.01723972559122926,0.024984120694387203,reversed,0.6259441704791523,0.6221489459478039,0.6297393950105007,-6.868257178153334,-6.910593517612427,-6.82592083869424,supported,0.25543664383561643,0.2534100064781224,0.25746328119311046,0.0,1.0,reversed
