class1_cancel_prob,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,19,1,18287,8576,6588,15164,3123,0,2182,6345,11.15986473880597,11.84496175151675,0.3469677913271723,0.543236301369863,0.4344500131891322,95707.0,179617.0
0.0,19,2,18158,8376,6687,15063,3095,5267,670,2427,11.192335243553009,11.882692690699065,0.13366009472408855,0.20779109589041095,0.4439354710217088,93747.0,178989.0
0.0,20,1,18518,8595,6566,15161,3357,0,2226,6318,11.139383362420011,11.836422399577865,0.34118155308348636,0.5409246575342466,0.4330848888595739,95743.0,179452.0
0.0,20,2,18159,8352,6556,14908,3251,5244,663,2428,11.147629310344827,11.857593238529649,0.1337078032931329,0.20787671232876712,0.43976388516232895,93105.0,176773.0
0.0,21,1,18294,8600,6592,15192,3102,0,2246,6294,11.17046511627907,11.85308056872038,0.34404722859954084,0.5388698630136987,0.43391258557135337,96066.0,180072.0
0.0,21,2,18025,8442,6544,14986,3039,5341,665,2421,11.11348021795783,11.828439877218738,0.1343134535367545,0.20727739726027397,0.43667422928066196,93820.0,177261.0
0.0,22,1,18143,8640,6775,15415,2728,0,2223,6357,11.128935185185185,11.833733376581252,0.35038306784985945,0.544263698630137,0.4395069737268894,96154.0,182417.0
0.0,22,2,17946,8447,6756,15203,2743,5400,647,2390,11.108204096128803,11.827599815825824,0.13317730970689848,0.2046232876712329,0.44438597645201605,93831.0,179815.0
0.0,23,1,18169,8484,6825,15309,2860,0,2231,6201,11.067185289957568,11.808739956888106,0.34129561340745224,0.5309075342465753,0.4458161865569273,93894.0,180780.0
0.0,23,2,18322,8687,6799,15486,2836,5499,679,2499,11.125820191090135,11.82435748417926,0.13639340683331513,0.2139554794520548,0.43904171509750745,96650.0,183112.0
0.0,24,1,18280,8493,6783,15276,3004,0,2226,6210,11.135758860237843,11.853102906520032,0.3397155361050328,0.5316780821917808,0.44402985074626866,94576.0,181068.0
0.0,24,2,18193,8581,6639,15220,2973,5404,672,2489,11.110010488288077,11.825755584756898,0.13681086132028802,0.21309931506849314,0.4362023653088042,95335.0,179988.0
0.0,25,1,18083,8516,6520,15036,3047,0,2264,6195,11.154297792390794,11.832867783985103,0.3425869601282973,0.5303938356164384,0.43362596435222134,94990.0,177919.0
0.0,25,2,18225,8501,6744,15245,2980,5340,681,2469,11.127984942947888,11.840800262381109,0.13547325102880658,0.21138698630136987,0.44237454903246964,94599.0,180513.0
0.0,26,1,18278,8515,6670,15185,3093,0,2274,6197,11.139753376394598,11.834112611129404,0.339041470620418,0.5305650684931507,0.43924925913730656,94855.0,179701.0
0.0,26,2,18270,8547,6637,15184,3086,5356,704,2461,11.152334152334152,11.838645943097998,0.1347016967706623,0.21070205479452056,0.4371048472075869,95319.0,179758.0
0.0,27,1,18238,8487,6485,14972,3266,0,2180,6259,11.16106987156828,11.850721346513492,0.34318455971049455,0.5358732876712329,0.43314186481432004,94724.0,177429.0
0.0,27,2,18363,8527,6588,15115,3248,5335,712,2471,11.08127125601032,11.809063843863711,0.13456406905189783,0.21155821917808218,0.43585841878928216,94490.0,178494.0
0.0,28,1,18425,8544,6798,15342,3083,0,2235,6258,11.121371722846442,11.845065832355624,0.3396472184531886,0.5357876712328767,0.443097379741885,95021.0,181727.0
0.0,28,2,17801,8449,6394,14843,2958,5307,678,2446,11.170671085335544,11.855352691504413,0.13740801078591092,0.20941780821917808,0.43077544970693255,94381.0,175969.0
0.0,29,1,18296,8452,6807,15259,3037,0,2224,6177,11.11216280170374,11.84487843240055,0.33761477918670746,0.5288527397260274,0.44609738514974767,93920.0,180741.0
0.0,29,2,18239,8665,6615,15280,2959,5428,739,2484,11.134448932487016,11.840968586387435,0.13619167717528374,0.21267123287671233,0.4329188481675393,96480.0,180930.0
0.0,30,1,18253,8535,6697,15232,3021,0,2138,6347,11.097949619214997,11.818933823529411,0.3477236618638032,0.5434075342465754,0.4396664915966387,94721.0,180026.0
0.0,30,2,18240,8589,6613,15202,3038,5438,634,2501,11.145534986610782,11.838508091040653,0.13711622807017543,0.21412671232876712,0.43500855150638074,95729.0,179969.0
0.0,31,1,18413,8490,6812,15302,3111,0,2220,6222,11.18080094228504,11.880930597307541,0.3379134307282898,0.5327054794520548,0.44517056593909293,94925.0,181802.0
0.0,31,2,18331,8421,6751,15172,3159,5224,680,2499,11.156275976724855,11.861784866860006,0.136326441547106,0.2139554794520548,0.4449644081202215,93947.0,179967.0
