class1_cancel_prob,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,81,0.7505993150684932,0.23854266538830296,8708,9817.0,11.141411169305007,11.837460063897764,0.43447151224707137,36505,16993,30048,13055,6457,5300,2910,75
0.0,82,0.7519691780821918,0.2385929483680821,8743,9815.0,11.112601792723652,11.8315055488264,0.44122172390087405,36644,17069,30547,13478,6097,5378,2884,64
0.0,83,0.748972602739726,0.2383958716477725,8685,9770.0,11.151273885350319,11.85057395216514,0.4390816765357769,36431,16956,30229,13273,6202,5286,2921,64
0.0,84,0.7527397260273972,0.23959643462569039,8763,9840.0,11.11659429644408,11.823636303564939,0.43694452704265374,36574,17042,30267,13225,6307,5353,2864,62
0.0,85,0.7575342465753425,0.24307089222614842,8805,9884.0,11.101864801864801,11.81383800848433,0.4356933802492683,36224,17160,30409,13249,5815,5473,2822,60
0.0,86,0.7511130136986301,0.2389782299529592,8738,9822.0,11.128157046586582,11.832205460007263,0.4366685372858416,36564,17065,30293,13228,6271,5376,2884,67
0.0,87,0.752568493150685,0.23899783922759224,8738,9841.0,11.10394852295993,11.821387642840772,0.44026063324711046,36561,17095,30541,13446,6020,5423,2870,64
0.0,88,0.74375,0.2359397182483346,8642,9714.0,11.105561066697788,11.811331910001643,0.4371161110198719,36628,17137,30445,13308,6183,5448,2979,68
0.0,89,0.7466609589041096,0.23601384309344087,8661,9774.0,11.144885863505662,11.851248892244067,0.44067351560705026,36697,17041,30467,13426,6230,5376,2946,58
0.0,90,0.7599315068493151,0.24067667329537715,8835,9929.0,11.11759546225367,11.82098317387001,0.435796766743649,36709,17101,30310,13209,6399,5409,2792,65
0.0,91,0.7452054794520548,0.23790289341356854,8658,9735.0,11.132130897127078,11.834603406003579,0.43605460208071034,36393,17021,30182,13161,6211,5345,2952,66
0.0,92,0.7534246575342466,0.24110606685926536,8763,9844.0,11.104904951889228,11.817472131255995,0.4362078660977143,36345,17044,30231,13187,6114,5359,2855,67
0.0,93,0.7498287671232877,0.24155363407828945,8744,9826.0,11.091243862520459,11.80343012283548,0.43356620203291063,36199,17108,30203,13095,5996,5405,2897,62
0.0,94,0.7543664383561643,0.24082159431034955,8770,9861.0,11.11556231358559,11.832912720002621,0.4395791681688571,36417,17099,30511,13412,5906,5422,2833,74
0.0,95,0.7605308219178082,0.2412660168656226,8812,9925.0,11.152892561983471,11.848181338956246,0.4418819188191882,36524,16940,30352,13412,6172,5261,2798,69
0.0,96,0.7465753424657534,0.2382865160811071,8661,9742.0,11.16542685086787,11.86241312296189,0.4420764847326987,36347,16938,30359,13421,5988,5268,2943,66
0.0,97,0.7435787671232876,0.23638002130041783,8656,9720.0,11.11920996943334,11.837663193986549,0.43914018198602134,36619,17012,30332,13320,6287,5321,2971,64
0.0,98,0.7540239726027397,0.2401161675662347,8764,9849.0,11.141186839012926,11.83930467091295,0.4353768577494692,36499,17020,30144,13124,6355,5337,2858,61
0.0,99,0.7564212328767124,0.2395711128693422,8781,9896.0,11.138352222678959,11.845799280810722,0.443314808761033,36653,17029,30590,13561,6063,5353,2828,67
0.0,100,0.7478595890410958,0.23855626559885906,8698,9782.0,11.123833558307412,11.825677735799033,0.43530854377941275,36461,17039,30174,13135,6287,5342,2929,70
0.05,1,0.8010273972602739,0.25499904259102224,9322,10438.0,9.802547475683186,10.801448586369865,0.396235912637378,36557,21590,35759,14169,798,9904,2322,42
0.05,2,0.80625,0.2576256308975203,9392,10512.0,9.805818925450827,10.820326576576576,0.39425675675675675,36456,21516,35520,14004,936,9828,2249,47
0.05,3,0.8014554794520548,0.25618131868131866,9325,10478.0,9.830762798476261,10.835141121017662,0.38877846555738543,36400,21526,35218,13692,1182,9843,2308,50
0.05,4,0.8017123287671233,0.2558686730506156,9352,10451.0,9.799077825904709,10.80456859931921,0.39598278335724535,36550,21471,35547,14076,1003,9776,2308,35
0.05,5,0.8047089041095891,0.256670311645708,9389,10504.0,9.72383094367913,10.720474442247953,0.3972889014402711,36580,21342,35410,14068,1170,9640,2269,44
0.05,6,0.8047089041095891,0.25719933016718366,9369,10491.0,9.792297303590555,10.793539840469009,0.394768736435638,36427,21473,35479,14006,948,9801,2269,34
0.05,7,0.8050513698630137,0.25880373934864737,9385,10491.0,9.870523031065158,10.875305484512646,0.3898550724637681,36263,21471,35190,13719,1073,9786,2258,42
0.05,8,0.8107876712328768,0.2597474066532757,9440,10573.0,9.834484045530882,10.841048947101,0.3949076949133405,36343,21436,35426,13990,917,9766,2186,44
0.05,9,0.8053938356164384,0.25647965879265094,9381,10518.0,9.826099092812282,10.845530726256984,0.39958100558659215,36576,21495,35800,14305,776,9811,2258,45
0.05,10,0.8126712328767123,0.26166524267563324,9494,10580.0,9.797292267609565,10.811216474020872,0.39698125911794413,36283,21494,35644,14150,639,9789,2166,45
0.05,11,0.8024828767123288,0.2543623247584048,9344,10465.0,9.848203831202285,10.854603566221824,0.40139620948749577,36735,21351,35668,14317,1067,9657,2308,42
0.05,12,0.8085616438356165,0.2616962722041531,9414,10516.0,9.713471333115274,10.729109560007913,0.39522988668154974,35973,21401,35387,13986,586,9702,2247,38
0.05,13,0.805222602739726,0.25950171251795384,9395,10488.0,9.778470703215898,10.776581350772354,0.39432292253918144,36204,21487,35476,13989,728,9789,2278,25
0.05,14,0.8090753424657534,0.26000055137430045,9431,10535.0,9.789804469273744,10.786879673691367,0.39157036029911624,36273,21480,35304,13824,969,9784,2219,46
0.05,15,0.8107876712328768,0.25864052144382976,9444,10577.0,9.786978711664904,10.808286812354476,0.38987853115269167,36514,21749,35647,13898,867,10063,2198,44
0.05,16,0.8075342465753425,0.25730066717707534,9410,10528.0,9.85692967729901,10.873361706925223,0.39558612136756954,36572,21444,35479,14035,1093,9756,2236,42
0.05,17,0.8065068493150684,0.2562001529553152,9380,10511.0,9.805025357307516,10.815090863411774,0.39452307176953355,36612,21690,35823,14133,789,10043,2234,33
0.05,18,0.8092465753424658,0.2582915673869581,9431,10548.0,9.71501682880723,10.723753484050789,0.389369070075171,36513,21689,35519,13830,994,10001,2218,39
0.05,19,0.8097602739726028,0.2579399846676158,9421,10560.0,9.891196051957726,10.898762082414787,0.3929399129500876,36524,21479,35382,13903,1142,9801,2213,44
0.05,20,0.8110445205479452,0.25817226085528117,9430,10558.0,9.818270890682593,10.830321963300687,0.3967972531802319,36526,21433,35532,14099,994,9770,2200,33
0.05,21,0.8063356164383562,0.2577308272739745,9393,10513.0,9.801202853279873,10.813326594221211,0.39771993373206416,36445,21449,35613,14164,832,9779,2249,28
