class1_low_balk,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.4,21,0.8396404109589041,0.2661288131909923,9797,10935.0,7.847591215019483,8.440469399396951,0.3865210659277972,36813,22584,36813,14229,0,10916,1866,5
0.4,22,0.8413527397260274,0.2704951913803081,9816,10961.0,7.732371152389861,8.284108131940808,0.38138278817272453,36289,22449,36289,13840,0,10771,1862,0
0.4,23,0.8357020547945205,0.2690518783542039,9776,10904.0,7.741876368837438,8.31581120132104,0.384257602862254,36335,22373,36335,13962,0,10694,1903,0
0.4,24,0.8379280821917808,0.2672557656006347,9769,10907.0,7.775905869768685,8.361037397751211,0.3861789729981123,36553,22437,36553,14116,0,10771,1897,0
0.4,25,0.8416952054794521,0.26910035548263606,9841,10958.0,7.733540648600622,8.322942302433688,0.38446814328684714,36570,22510,36570,14060,0,10809,1856,4
0.4,26,0.8396404109589041,0.2690270344449019,9802,10928.0,7.804843241314721,8.372883216687251,0.38457527103060246,36435,22423,36435,14012,0,10742,1873,6
0.4,27,0.8433219178082192,0.2708207021991953,9827,10970.0,7.732766718854842,8.308052692498483,0.38392217384115085,36286,22355,36286,13931,0,10687,1828,13
0.4,28,0.8362157534246575,0.26826986572749284,9750,10888.0,7.7481821831645625,8.315127668941228,0.3831994276909531,36344,22417,36344,13927,0,10754,1913,0
0.4,29,0.8373287671232876,0.26989905675988746,9786,10940.0,7.73329760628796,8.308125103425452,0.38242594737713054,36258,22392,36258,13866,0,10709,1897,0
0.4,30,0.8458047945205479,0.27146235494692844,9872,11022.0,7.849184721911994,8.42124511906726,0.38445251058681185,36366,22385,36366,13981,0,10709,1802,2
0.4,31,0.8367294520547945,0.2715548390683195,9770,10896.0,7.6865691849444895,8.263244204791818,0.38412363110789927,35978,22158,35978,13820,0,10491,1897,0
0.4,32,0.8375856164383562,0.2693642573821067,9779,10909.0,7.802684982828598,8.384695901278096,0.38240965182899955,36304,22421,36304,13883,0,10731,1906,5
0.4,33,0.8435787671232877,0.2718414533443435,9876,10991.0,7.713257132571326,8.295843655381228,0.38832920451417563,36330,22222,36330,14108,0,10521,1825,0
0.4,34,0.8428082191780822,0.26749408018290194,9828,10970.0,7.894017397479141,8.492338259709861,0.38673416619035955,36741,22532,36741,14209,0,10846,1855,3
0.4,35,0.8392123287671233,0.26872861639523743,9818,10938.0,7.790365744870651,8.372656356918023,0.38634186396605996,36535,22420,36535,14115,0,10740,1862,0
0.4,36,0.8367294520547945,0.26624492133176997,9764,10914.0,7.726605912424984,8.323753169907016,0.38660594988138414,36673,22495,36673,14178,0,10819,1912,0
0.4,37,0.8408390410958904,0.26962532228866093,9830,10926.0,7.754811087570621,8.32560754841187,0.37857260409238025,36458,22656,36458,13802,0,10968,1851,7
0.4,38,0.8345890410958904,0.2648716343143394,9729,10880.0,7.883598591235344,8.446543791347908,0.3893169257575345,36731,22431,36731,14300,0,10752,1948,2
0.4,39,0.839041095890411,0.26675387676123513,9788,10940.0,7.747993579454254,8.336467446106887,0.388766249693402,36693,22428,36693,14265,0,10765,1870,5
0.4,40,0.8329623287671233,0.26530056133849256,9736,10876.0,7.8935544263171975,8.487737751376097,0.3886860319363453,36698,22434,36698,14264,0,10751,1943,4
0.4,41,0.8416095890410958,0.26869957609736084,9825,10934.0,7.746688594541737,8.327006700396554,0.3847121564337481,36565,22498,36565,14067,0,10809,1863,1
0.4,42,0.8416095890410958,0.2680583528387132,9849,10972.0,7.859472187666608,8.445022045615373,0.3874040607479179,36742,22508,36742,14234,0,10805,1840,14
0.4,43,0.8386130136986302,0.2676356483252281,9796,10942.0,7.782784877766398,8.371482432653954,0.38645429211518495,36602,22457,36602,14145,0,10773,1875,13
0.4,44,0.8430650684931507,0.26918022014128473,9831,10960.0,7.749600709849157,8.336263074311374,0.3828377416351788,36522,22540,36522,13982,0,10861,1844,4
0.4,45,0.8377568493150684,0.2679788661063812,9789,10923.0,7.809640595737091,8.40430890525336,0.3860768156806921,36529,22426,36529,14103,0,10742,1895,0
0.4,46,0.841181506849315,0.2679073321144978,9818,10969.0,7.811320754716981,8.397904330504543,0.38245968292083937,36647,22631,36647,14016,0,10952,1850,11
0.4,47,0.844777397260274,0.27067174610135114,9876,10999.0,7.769853201273435,8.357387562693562,0.380162797708773,36487,22616,36487,13871,0,10928,1809,3
0.4,48,0.8382705479452055,0.26736709622698296,9772,10918.0,7.8259416090929355,8.419792607184876,0.3861665161837533,36549,22435,36549,14114,0,10759,1895,9
0.4,49,0.8456335616438356,0.2715852552296655,9880,11019.0,7.677825950922988,8.248440034085599,0.38500233651282334,36379,22373,36379,14006,0,10704,1789,0
0.4,50,0.8475171232876713,0.27072581530690676,9862,11018.0,7.770238360436623,8.347672120346985,0.3838530800483145,36428,22445,36428,13983,0,10766,1808,9
0.4,51,0.8395547945205479,0.269129360065916,9799,10945.0,7.721252796420582,8.311315572644878,0.38615764899752814,36410,22350,36410,14060,0,10686,1860,5
0.4,52,0.8403253424657534,0.27072021168104515,9822,10957.0,7.748230580903628,8.32716849039442,0.38080538022656485,36281,22465,36281,13816,0,10779,1864,0
0.4,53,0.8434931506849315,0.27037037037037037,9855,10994.0,7.788403075822604,8.367599451303155,0.3863374485596708,36450,22368,36450,14082,0,10688,1825,0
0.4,54,0.8372431506849315,0.2669599191278927,9771,10914.0,7.801381080961445,8.392284363815197,0.3827764268735827,36601,22591,36601,14010,0,10928,1886,6
0.4,55,0.8458047945205479,0.27005223288757624,9875,11024.0,7.758217839374556,8.34624114638882,0.3843629502010009,36567,22512,36567,14055,0,10839,1798,0
0.4,56,0.843236301369863,0.2702368861683731,9845,10978.0,7.780423868129915,8.344761329636848,0.3822019708490022,36431,22507,36431,13924,0,10825,1831,6
0.4,57,0.84375,0.2716318314674902,9851,10978.0,7.813294668748606,8.394612033309436,0.3819279766172172,36266,22415,36266,13851,0,10732,1825,7
0.4,58,0.8403253424657534,0.2702048007046906,9816,10951.0,7.790375094777218,8.353418850473464,0.3828176613080819,36328,22421,36328,13907,0,10739,1864,2
0.4,59,0.8458904109589042,0.27263698063234565,9882,11017.0,7.705918920119,8.27354742592286,0.37866247310048007,36246,22521,36246,13725,0,10846,1793,0
0.4,60,0.8429794520547945,0.2692055154300722,9840,10986.0,7.761278279034624,8.33478332239002,0.384465966294594,36552,22499,36552,14053,0,10825,1823,11
0.4,61,0.8440068493150685,0.26752526899250084,9846,11002.0,7.73915940998756,8.335316813389849,0.38843603956091727,36804,22508,36804,14296,0,10837,1823,2
0.4,62,0.8391267123287671,0.2696551913921682,9799,10940.0,7.7926392988104825,8.37667519744627,0.3846280855279452,36339,22362,36339,13977,0,10684,1875,4
0.4,63,0.84375,0.2713082259663033,9855,11010.0,7.746126021524583,8.337930844620637,0.3835205373857505,36324,22393,36324,13931,0,10712,1819,7
0.4,64,0.8414383561643836,0.26760524951570214,9808,10967.0,7.778481577303952,8.370085400125507,0.3883386537884369,36651,22418,36651,14233,0,10741,1869,0
0.4,65,0.8404965753424658,0.2664565731207042,9808,10941.0,7.801285745954334,8.387541090494173,0.38724225053655353,36809,22555,36809,14254,0,10875,1866,6
0.4,66,0.8416095890410958,0.2683619677146213,9825,10962.0,7.844703247480403,8.439676599928983,0.3902105924448936,36611,22325,36611,14286,0,10648,1850,2
0.4,67,0.844777397260274,0.269858214266163,9859,11003.0,7.700898985873079,8.281929161876608,0.3819182131712925,36534,22581,36534,13953,0,10888,1827,7
0.4,68,0.8408390410958904,0.2698216735253772,9835,10947.0,7.733187850717021,8.316488340192043,0.3839780521262003,36450,22454,36450,13996,0,10747,1862,10
0.4,69,0.8392123287671233,0.2685847376352925,9802,10935.0,7.823388065678815,8.40627483216879,0.3842170160295931,36495,22473,36495,14022,0,10798,1871,2
0.4,70,0.8431506849315068,0.2691215034965035,9852,10970.0,7.720770839823757,8.299032998251748,0.3862270541958042,36608,22469,36608,14139,0,10779,1834,4
0.4,71,0.8429794520547945,0.269789407210126,9826,10989.0,7.763031275060144,8.354740397023695,0.3837072018890201,36421,22446,36421,13975,0,10791,1825,4
0.4,72,0.8393835616438357,0.2706509431356845,9800,10950.0,7.7381972333779565,8.314590295230468,0.38109309840095,36209,22410,36209,13799,0,10722,1886,2
0.4,73,0.8435787671232877,0.26999397028997424,9851,10995.0,7.756093221846647,8.346352025434413,0.3837636353669901,36486,22484,36486,14002,0,10817,1814,2
0.4,74,0.8336472602739726,0.2637171980047712,9728,10865.0,7.757642888790429,8.361553892864888,0.38814790717848624,36888,22570,36888,14318,0,10888,1951,3
0.4,75,0.8439212328767123,0.26817575113726133,9845,11000.0,7.774422735346358,8.37078804717932,0.38655988668246577,36711,22520,36711,14191,0,10841,1826,8
0.4,76,0.8424657534246576,0.2698395281854341,9837,10972.0,7.809110725566084,8.40405979975312,0.3833767658757372,36455,22479,36455,13976,0,10792,1849,1
0.4,77,0.8423801369863013,0.26965613765471064,9826,10966.0,7.764781891903934,8.327808117676117,0.38409396525700484,36439,22443,36439,13996,0,10765,1842,10
0.4,78,0.8395547945205479,0.2689630603967993,9815,10947.0,7.732461408425642,8.29603748766853,0.3840019730351858,36492,22479,36492,14013,0,10782,1867,15
0.4,79,0.8374143835616439,0.27087311470873116,9788,10930.0,7.735530510529388,8.29788293897883,0.3836723398367234,36135,22271,36135,13864,0,10602,1879,2
0.4,80,0.8392979452054794,0.27018230962296935,9796,10949.0,7.8357557485488005,8.41812615494939,0.3870700830184516,36257,22223,36257,14034,0,10557,1867,3
0.4,81,0.8363869863013699,0.2683642949263233,9780,10896.0,7.796490285611962,8.392860082869138,0.3870427791345389,36443,22338,36443,14105,0,10650,1899,9
0.4,82,0.8418664383561644,0.27000713071142557,9845,10975.0,7.753695021210092,8.328725796719873,0.38579891393779825,36462,22395,36462,14067,0,10709,1837,4
0.4,83,0.8462328767123287,0.2692119165622787,9886,11011.0,7.815385982845207,8.42358803986711,0.3872610424268831,36722,22501,36722,14221,0,10798,1812,5
0.4,84,0.8402397260273973,0.26725263959943396,9821,10938.0,7.898924159914995,8.494584739305541,0.3853543049961903,36748,22587,36748,14161,0,10911,1855,0
0.4,85,0.8365582191780822,0.2665390924002187,9750,10894.0,7.804147157190635,8.394887916894477,0.386960087479497,36580,22425,36580,14155,0,10764,1911,0
0.4,86,0.8479452054794521,0.2704667176740627,9898,11046.0,7.823024131060438,8.406055306590885,0.3828560498415127,36596,22585,36596,14011,0,10910,1775,2
0.4,87,0.8417808219178082,0.2695313571173938,9829,10967.0,7.746833192586337,8.333397318123234,0.3830312337181561,36467,22499,36467,13968,0,10808,1858,4
0.4,88,0.8444349315068493,0.27010060582801065,9853,10994.0,7.751420454545454,8.338002686477152,0.3824392116011952,36479,22528,36479,13951,0,10864,1811,0
