h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95
5,2,5,9,0.7,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,5,9,0.7,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,5,12,0.3,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,5,12,0.3,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,5,12,0.5,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,5,12,0.5,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,5,12,0.7,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,5,12,0.7,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,9,5,0.3,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,9,5,0.3,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,9,5,0.5,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,9,5,0.5,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,9,5,0.7,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,9,5,0.7,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,9,9,0.3,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,9,9,0.3,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,9,9,0.5,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,9,9,0.5,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,9,9,0.7,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,9,9,0.7,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,12,12,0.3,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,12,12,0.3,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,12,12,0.5,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,12,12,0.5,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,2,12,12,0.7,1,0.1991454780794194,0.0058486043522635875,50,0.0008271175595925476,0.0016211504168013933
5,2,12,12,0.7,2,0.9682074586964841,0.0011954726958357312,50,0.00016906536998976168,0.0003313681251799329
5,5,5,9,0.3,1,0.5834003947293992,0.00367931350752,50,0.0005203335062557307,0.0010198536722612322
5,5,5,9,0.3,2,0.5838541522452637,0.0037674730902918147,50,0.000532801154016636,0.0010442902618726065
5,5,5,9,0.5,1,0.5834003947293992,0.00367931350752,50,0.0005203335062557307,0.0010198536722612322
5,5,5,9,0.5,2,0.5838541522452637,0.0037674730902918147,50,0.000532801154016636,0.0010442902618726065
5,5,5,9,0.7,1,0.5834003947293992,0.00367931350752,50,0.0005203335062557307,0.0010198536722612322
5,5,5,9,0.7,2,0.5838541522452637,0.0037674730902918147,50,0.000532801154016636,0.0010442902618726065
5,5,5,12,0.3,1,0.5834003947293992,0.00367931350752,50,0.0005203335062557307,0.0010198536722612322
5,5,5,12,0.3,2,0.5838541522452637,0.0037674730902918147,50,0.000532801154016636,0.0010442902618726065
