h1,h2,tau1,tau2,balk_high,mean,std,n,se,ci95,metric
7,5,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,5,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,5,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,5,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,5,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,5,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,5,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,5,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,5,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,7,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,7,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,7,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,7,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,7,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,7,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,7,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,7,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,7,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,7,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,7,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,7,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,7,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,7,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,7,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,10,5,9,0.3,0.8405085616438356,0.003651785204271433,50,0.0005164404162754064,0.0010122232158997963,average_utilization
7,10,5,9,0.5,0.8404880136986301,0.003342791149512723,50,0.0004727420579821641,0.0009265744336450416,average_utilization
7,10,5,9,0.7,0.8408082191780822,0.003111261356352193,50,0.00043999880062405825,0.0008623976492231542,average_utilization
7,10,5,12,0.3,0.8405085616438356,0.003651785204271433,50,0.0005164404162754064,0.0010122232158997963,average_utilization
7,10,5,12,0.5,0.8404880136986301,0.003342791149512723,50,0.0004727420579821641,0.0009265744336450416,average_utilization
7,10,5,12,0.7,0.8408082191780822,0.003111261356352193,50,0.00043999880062405825,0.0008623976492231542,average_utilization
7,10,9,5,0.3,0.8714794520547946,0.004112705288069693,50,0.0005816243596431706,0.0011399837449006143,average_utilization
7,10,9,5,0.5,0.9259400684931507,0.0025875544921589123,50,0.000365935465619056,0.0007172335126133498,average_utilization
7,10,9,5,0.7,0.9672465753424657,0.002001328325054003,50,0.0002830305660052801,0.000554739909370349,average_utilization
7,10,9,9,0.3,0.8403544520547945,0.0031384935737036133,50,0.00044385001773524527,0.0008699460347610808,average_utilization
7,10,9,9,0.5,0.8403544520547945,0.0031384935737036133,50,0.00044385001773524527,0.0008699460347610808,average_utilization
7,10,9,9,0.7,0.8403544520547945,0.0031384935737036133,50,0.00044385001773524527,0.0008699460347610808,average_utilization
7,10,12,12,0.3,0.8403544520547945,0.0031384935737036133,50,0.00044385001773524527,0.0008699460347610808,average_utilization
7,10,12,12,0.5,0.8403544520547945,0.0031384935737036133,50,0.00044385001773524527,0.0008699460347610808,average_utilization
7,10,12,12,0.7,0.8403544520547945,0.0031384935737036133,50,0.00044385001773524527,0.0008699460347610808,average_utilization
7,14,5,9,0.3,0.8412534246575342,0.0028150975717252846,50,0.0003981149165337464,0.0007803052364061429,average_utilization
7,14,5,9,0.5,0.8398236301369864,0.0038312664569422348,50,0.0005418228984472824,0.0010619728809566735,average_utilization
7,14,5,9,0.7,0.8406318493150685,0.0036788886640321916,50,0.0005202734243134961,0.0010197359116544524,average_utilization
7,14,5,12,0.3,0.8400650684931508,0.0029449840142726207,50,0.00041648363339563004,0.0008163079214554349,average_utilization
7,14,5,12,0.5,0.8408270547945206,0.0035813841517374286,50,0.0005064842039455133,0.0009927090397332061,average_utilization
7,14,5,12,0.7,0.8404383561643836,0.0030529532161096425,50,0.0004317527843512815,0.0008462354573285117,average_utilization
7,14,9,5,0.3,0.8714794520547946,0.004112705288069693,50,0.0005816243596431706,0.0011399837449006143,average_utilization
7,14,9,5,0.5,0.9259400684931507,0.0025875544921589123,50,0.000365935465619056,0.0007172335126133498,average_utilization
7,14,9,5,0.7,0.9672465753424657,0.002001328325054003,50,0.0002830305660052801,0.000554739909370349,average_utilization
7,14,9,9,0.3,0.8400205479452054,0.003691597142841739,50,0.0005220706746224555,0.0010232585222600128,average_utilization
7,14,9,9,0.5,0.8409006849315068,0.002704556999399966,50,0.0003824821188762514,0.0007496649529974528,average_utilization
7,14,9,9,0.7,0.8399760273972603,0.0034191421900781316,50,0.00048353972568905405,0.0009477378623505459,average_utilization
7,14,12,12,0.3,0.840501712328767,0.0036855237949640135,50,0.0005212117735286866,0.0010215750761162256,average_utilization
7,14,12,12,0.5,0.840501712328767,0.0036855237949640135,50,0.0005212117735286866,0.0010215750761162256,average_utilization
7,14,12,12,0.7,0.840501712328767,0.0036855237949640135,50,0.0005212117735286866,0.0010215750761162256,average_utilization
10,2,5,9,0.3,0.9998972602739726,0.00013729173385913172,50,1.9415983202530154e-05,3.80553270769591e-05,average_utilization
10,2,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
10,2,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
10,2,5,12,0.3,0.9998972602739726,0.00013729173385913172,50,1.9415983202530154e-05,3.80553270769591e-05,average_utilization
10,2,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
10,2,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
10,2,9,5,0.3,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,9,5,0.5,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,9,5,0.7,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,9,9,0.3,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,9,9,0.5,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,9,9,0.7,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,12,12,0.3,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,12,12,0.5,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,2,12,12,0.7,0.8674280821917809,0.009992596475846716,50,0.0014131665459464018,0.0027698064300549475,average_utilization
10,5,5,9,0.3,0.9977380136986301,0.0012922115782711032,50,0.00018274631394465363,0.0003581827753315211,average_utilization
10,5,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
10,5,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
10,5,5,12,0.3,0.9977380136986301,0.0012922115782711032,50,0.00018274631394465363,0.0003581827753315211,average_utilization
10,5,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
10,5,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
10,5,9,5,0.3,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,9,5,0.5,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,9,5,0.7,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,9,9,0.3,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,9,9,0.5,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,9,9,0.7,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,12,12,0.3,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,12,12,0.5,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,5,12,12,0.7,0.8414520547945206,0.0031656285710956237,50,0.00044768748586791925,0.0008774674723011217,average_utilization
10,7,5,9,0.3,0.8708082191780823,0.004046862223608684,50,0.0005723127441682742,0.0011217329785698173,average_utilization
10,7,5,9,0.5,0.9261369863013698,0.0028012833096561795,50,0.00039616128485651594,0.0007764761183187712,average_utilization
10,7,5,9,0.7,0.9669160958904109,0.0018302368933962277,50,0.0002588345836996546,0.0005073157840513229,average_utilization
10,7,5,12,0.3,0.8708082191780823,0.004046862223608684,50,0.0005723127441682742,0.0011217329785698173,average_utilization
10,7,5,12,0.5,0.9261369863013698,0.0028012833096561795,50,0.00039616128485651594,0.0007764761183187712,average_utilization
10,7,5,12,0.7,0.9669160958904109,0.0018302368933962277,50,0.0002588345836996546,0.0005073157840513229,average_utilization
10,7,9,5,0.3,0.8411369863013698,0.002599307287471027,50,0.0003675975618716747,0.0007204912212684825,average_utilization
10,7,9,5,0.5,0.8410188356164383,0.0032059594871788376,50,0.00045339113871870046,0.0008886466318886529,average_utilization
10,7,9,5,0.7,0.8404982876712329,0.0038091997409414368,50,0.000538702193542746,0.0010558562993437822,average_utilization
10,7,9,9,0.3,0.8411164383561643,0.003554195010161681,50,0.0005026390786689429,0.000985172594191128,average_utilization
10,7,9,9,0.5,0.8411164383561643,0.003554195010161681,50,0.0005026390786689429,0.000985172594191128,average_utilization
10,7,9,9,0.7,0.8411164383561643,0.003554195010161681,50,0.0005026390786689429,0.000985172594191128,average_utilization
10,7,12,12,0.3,0.8411164383561643,0.003554195010161681,50,0.0005026390786689429,0.000985172594191128,average_utilization
10,7,12,12,0.5,0.8411164383561643,0.003554195010161681,50,0.0005026390786689429,0.000985172594191128,average_utilization
10,7,12,12,0.7,0.8411164383561643,0.003554195010161681,50,0.0005026390786689429,0.000985172594191128,average_utilization
10,10,5,9,0.3,0.8405633561643836,0.003569010470696941,50,0.0005047343011911197,0.0009892792303345947,average_utilization
10,10,5,9,0.5,0.841361301369863,0.003133658553996427,50,0.0004431662426908209,0.0008686058356740089,average_utilization
10,10,5,9,0.7,0.8406695205479453,0.0036166517456645616,50,0.0005114717949099152,0.0010024847180234338,average_utilization
10,10,5,12,0.3,0.8405633561643836,0.003569010470696941,50,0.0005047343011911197,0.0009892792303345947,average_utilization
10,10,5,12,0.5,0.841361301369863,0.003133658553996427,50,0.0004431662426908209,0.0008686058356740089,average_utilization
10,10,5,12,0.7,0.8406695205479453,0.0036166517456645616,50,0.0005114717949099152,0.0010024847180234338,average_utilization
10,10,9,5,0.3,0.8409897260273972,0.0036399907669734414,50,0.0005147724309566685,0.0010089539646750702,average_utilization
10,10,9,5,0.5,0.8407071917808219,0.0034576621974336274,50,0.0004889872773715394,0.0009584150636482173,average_utilization
10,10,9,5,0.7,0.8411712328767124,0.003584625311501377,50,0.0005069425731551128,0.000993607443384021,average_utilization
10,10,9,9,0.3,0.841056506849315,0.003704543896283363,50,0.00052390162205304,0.0010268471792239584,average_utilization
10,10,9,9,0.5,0.841056506849315,0.003704543896283363,50,0.00052390162205304,0.0010268471792239584,average_utilization
10,10,9,9,0.7,0.841056506849315,0.003704543896283363,50,0.00052390162205304,0.0010268471792239584,average_utilization
10,10,12,12,0.3,0.841056506849315,0.003704543896283363,50,0.00052390162205304,0.0010268471792239584,average_utilization
10,10,12,12,0.5,0.841056506849315,0.003704543896283363,50,0.00052390162205304,0.0010268471792239584,average_utilization
10,10,12,12,0.7,0.841056506849315,0.003704543896283363,50,0.00052390162205304,0.0010268471792239584,average_utilization
10,14,5,9,0.3,0.8415085616438356,0.004413572434676716,50,0.0006241733995635852,0.001223379863144627,average_utilization
10,14,5,9,0.5,0.8408304794520548,0.002892618988999957,50,0.000409078100502169,0.0008017930769842512,average_utilization
10,14,5,9,0.7,0.8403407534246575,0.003082079662018167,50,0.00043587188583403763,0.0008543088962347137,average_utilization
10,14,5,12,0.3,0.840125,0.003736885676104966,50,0.0005284754404185396,0.0010358118632203376,average_utilization
10,14,5,12,0.5,0.8403681506849315,0.0038473679663997636,50,0.000544099995752234,0.0010664359916743786,average_utilization
