h1,h2,tau1,tau2,balk_high,weight_regime,w1,w2,obj_professor_mean,obj_professor_std,obj_pooled_mean,obj_pooled_std,c1_served_rate_mean,c1_served_rate_std,c2_served_rate_mean,c2_served_rate_std,obj_professor_se,obj_professor_ci95,obj_pooled_se,obj_pooled_ci95,c1_served_rate_se,c1_served_rate_ci95,c2_served_rate_se,c2_served_rate_ci95
2.0,5.0,12.0,12.0,0.7,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,12.0,12.0,0.7,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,7.0,5.0,9.0,0.3,equal,1.0,1.0,0.6394873382023032,0.004837669551914917,0.31975402383294244,0.0014988109885166873,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0006841497890597448,0.0013409335865570999,0.00021196388273941243,0.00041544921016924835,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,9.0,0.3,priority,2.0,1.0,0.6714433572384213,0.005005314028195358,0.22382691055852244,0.0011950044341829534,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0007078582982610183,0.0013874022645915958,0.00016899914779175193,0.00033123832967183375,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,9.0,0.5,equal,1.0,1.0,0.6394873382023032,0.004837669551914917,0.31975402383294244,0.0014988109885166873,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0006841497890597448,0.0013409335865570999,0.00021196388273941243,0.00041544921016924835,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,9.0,0.5,priority,2.0,1.0,0.6714433572384213,0.005005314028195358,0.22382691055852244,0.0011950044341829534,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0007078582982610183,0.0013874022645915958,0.00016899914779175193,0.00033123832967183375,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,9.0,0.7,equal,1.0,1.0,0.6394873382023032,0.004837669551914917,0.31975402383294244,0.0014988109885166873,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0006841497890597448,0.0013409335865570999,0.00021196388273941243,0.00041544921016924835,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,9.0,0.7,priority,2.0,1.0,0.6714433572384213,0.005005314028195358,0.22382691055852244,0.0011950044341829534,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0007078582982610183,0.0013874022645915958,0.00016899914779175193,0.00033123832967183375,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,12.0,0.3,equal,1.0,1.0,0.6394873382023032,0.004837669551914917,0.31975402383294244,0.0014988109885166873,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0006841497890597448,0.0013409335865570999,0.00021196388273941243,0.00041544921016924835,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,12.0,0.3,priority,2.0,1.0,0.6714433572384213,0.005005314028195358,0.22382691055852244,0.0011950044341829534,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0007078582982610183,0.0013874022645915958,0.00016899914779175193,0.00033123832967183375,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,12.0,0.5,equal,1.0,1.0,0.6394873382023032,0.004837669551914917,0.31975402383294244,0.0014988109885166873,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0006841497890597448,0.0013409335865570999,0.00021196388273941243,0.00041544921016924835,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,12.0,0.5,priority,2.0,1.0,0.6714433572384213,0.005005314028195358,0.22382691055852244,0.0011950044341829534,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0007078582982610183,0.0013874022645915958,0.00016899914779175193,0.00033123832967183375,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
2.0,7.0,5.0,12.0,0.7,equal,1.0,1.0,0.6394873382023032,0.004837669551914917,0.31975402383294244,0.0014988109885166873,0.03195601903611815,0.0012942216343719368,0.607531319166185,0.005010283838661495,0.0006841497890597448,0.0013409335865570999,0.00021196388273941243,0.00041544921016924835,0.0001830305788045466,0.00035873993445691133,0.0007085611355973819,0.0013887798257708685
