selection_objective,comparison,factor,contrast,fixed_other_level,effect_average_utilization,effect_priority_weighted_utilization,effect_class_1_percent_serviced,effect_class_2_percent_serviced,effect_class_1_slot_utilization,effect_class_2_slot_utilization,n_rows
average_utilization,reservation_only_vs_horizon_only,noshow,low_to_medium,low,-0.004821613394216045,0.018606742770167432,0.06457356778595338,-0.0482665610114834,0.04201022831050229,-0.04680697108066971,60
average_utilization,reservation_only_vs_horizon_only,noshow,low_to_medium,medium,-0.004692389649923789,0.021443485540334855,0.06698350570965247,-0.045059388802118926,0.04752736681887368,-0.052167762557077633,60
average_utilization,reservation_only_vs_horizon_only,noshow,low_to_medium,high,-0.004672846270928365,0.017391582952815832,0.06519115839453705,-0.042287147712463356,0.03936907153729072,-0.04395497716894978,60
average_utilization,reservation_only_vs_horizon_only,noshow,medium_to_high,low,-0.004597534246575223,-0.00451910197869102,-0.0018986785832139357,0.0005411414218176268,-0.004434581430745815,-0.00016904109589041004,60
average_utilization,reservation_only_vs_horizon_only,noshow,medium_to_high,medium,-0.004571567732115547,-0.003621826484018264,0.002150802984698949,-0.002289002727347446,-0.002663287671232876,-0.001917077625570776,60
average_utilization,reservation_only_vs_horizon_only,noshow,medium_to_high,high,-0.004595464231354508,-0.004190289193302892,-0.0015821896493069764,-0.001222923822997771,-0.0037756164383561646,-0.0008293455098934545,60
average_utilization,reservation_only_vs_horizon_only,noshow,low_to_high,low,-0.009419147640791268,0.014087640791476412,0.06267488920273945,-0.04772541958966577,0.03757564687975647,-0.046976012176560125,60
average_utilization,reservation_only_vs_horizon_only,noshow,low_to_high,medium,-0.009263957382039337,0.01782165905631659,0.06913430869435143,-0.04734839152946637,0.0448640791476408,-0.054084840182648405,60
average_utilization,reservation_only_vs_horizon_only,noshow,low_to_high,high,-0.009268310502282873,0.013201293759512938,0.06360896874523007,-0.04351007153546113,0.03559345509893455,-0.04478432267884323,60
average_utilization,reservation_only_vs_horizon_only,balking,low_to_medium,low,-3.8569254185723735e-05,-0.003963637747336373,-0.007098354245225159,0.0005647700081577435,-0.007870989345509897,0.007814703196347035,60
average_utilization,reservation_only_vs_horizon_only,balking,low_to_medium,medium,9.06544901065313e-05,-0.00112689497716895,-0.004688416321526055,0.003771942217522216,-0.0023538508371385093,0.0024539117199391183,60
average_utilization,reservation_only_vs_horizon_only,balking,low_to_medium,high,0.00011662100456620806,-0.00022961948249619352,-0.0006389347536131709,0.000941798068357143,-0.0005825570776255715,0.0007058751902587525,60
average_utilization,reservation_only_vs_horizon_only,balking,medium_to_high,low,3.1324200913240465e-05,0.00446815829528158,0.006052241646605205,-0.0027593547262493305,0.008911476407914766,-0.008886636225266363,60
average_utilization,reservation_only_vs_horizon_only,balking,medium_to_high,medium,5.086757990866572e-05,0.00041625570776255763,0.004259894331489767,1.288636340623439e-05,0.0007531811263318112,-0.000673850837138509,60
average_utilization,reservation_only_vs_horizon_only,balking,medium_to_high,high,2.6971080669705253e-05,-0.00015220700152207035,0.0005269016974838419,0.0010789652677559098,-0.0003591476407914767,0.0004138812785388124,60
average_utilization,reservation_only_vs_horizon_only,balking,low_to_high,low,-7.2450532724832655e-06,0.0005045205479452068,-0.0010461125986199543,-0.0021945847180915865,0.0010404870624048713,-0.001071933028919328,60
average_utilization,reservation_only_vs_horizon_only,balking,low_to_high,medium,0.000141522070015197,-0.0007106392694063923,-0.0004285219900362881,0.0037848285809284504,-0.001600669710806698,0.0017800608828006095,60
average_utilization,reservation_only_vs_horizon_only,balking,low_to_high,high,0.00014359208523591333,-0.00038182648401826393,-0.00011203305612932886,0.002020763336113053,-0.0009417047184170482,0.001119756468797565,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_low_to_medium__x__BK_low_to_medium,,0.00012922374429225503,0.002836742770167424,0.002409937923699103,0.003207172209364472,0.005517138508371387,-0.005360791476407918,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_low_to_medium__x__BK_medium_to_high,,1.9543378995425256e-05,-0.0040519025875190235,-0.0017923473151154367,0.002772241089655564,-0.008158295281582954,0.008212785388127853,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_low_to_medium__x__BK_low_to_high,,0.00014876712328768026,-0.001215159817351599,0.0006175906085836663,0.005979413299020036,-0.0026411567732115694,0.002851993911719937,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_medium_to_high__x__BK_low_to_medium,,2.5966514459676762e-05,0.0008972754946727564,0.004049481567912885,-0.0028301441491650732,0.001771293759512938,-0.0017480365296803659,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_medium_to_high__x__BK_medium_to_high,,-2.3896499238960464e-05,-0.000568462709284628,-0.0037329926340059255,0.0010660789043496753,-0.001112328767123288,0.0010877321156773216,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_medium_to_high__x__BK_low_to_high,,2.0700152207162924e-06,0.0003288127853881284,0.0003164889339069592,-0.0017640652448153978,0.0006589649923896499,-0.0006603044140030444,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_low_to_high__x__BK_low_to_medium,,0.00015519025875193178,0.00373401826484018,0.006459419491611987,0.000377028060199399,0.007288432267884325,-0.007108828006088283,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_low_to_high__x__BK_medium_to_high,,-4.353120243535206e-06,-0.0046203652968036515,-0.005525339949121364,0.0038383199940052403,-0.009270624048706242,0.009300517503805176,60
average_utilization,reservation_only_vs_horizon_only,interaction,NS_low_to_high__x__BK_low_to_high,,0.00015083713850839658,-0.0008863470319634707,0.0009340795424906249,0.00421534805420464,-0.0019821917808219187,0.002191689497716892,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,low_to_medium,low,0.010637168949771509,0.010640578386605782,0.009136937931310336,0.00012946212057638685,0.010718812785388129,-0.00015646879756468882,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,low_to_medium,medium,0.010507762557077444,0.01051695585996956,0.008950637107053587,0.0001097202690335252,0.010584505327245051,-0.00013509893455099028,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,low_to_medium,high,0.010361796042617792,0.010360106544901064,0.008758774341324847,0.00018647789671901477,0.010427519025875187,-0.0001348249619482502,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,medium_to_high,low,0.010735646879756243,0.010722800608828012,0.009060874764922813,0.0,0.010722800608828008,0.0,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,medium_to_high,medium,0.01061543378995408,0.010614459665144597,0.00891955319197632,0.0,0.010614459665144597,0.0,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,medium_to_high,high,0.010371019786909953,0.010359969558599698,0.008694504044050358,0.0,0.0103599695585997,0.0,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,low_to_high,low,0.021372815829527752,0.02136337899543379,0.018197812696233148,0.00012946212057638685,0.021441613394216137,-0.00015646879756468882,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,low_to_high,medium,0.021123196347031525,0.021131415525114158,0.017870190299029906,0.0001097202690335252,0.02119896499238965,-0.00013509893455099028,60
priority_weighted_utilization,horizon_only_vs_baseline,noshow,low_to_high,high,0.020732815829527743,0.02072007610350076,0.017453278385375203,0.00018647789671901477,0.02078748858447489,-0.0001348249619482502,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,low_to_medium,low,7.162861491629831e-05,0.0009191628614916271,0.001972702010104453,-0.0015081260501875059,0.001811780821917812,-0.0017852359208523601,60
priority_weighted_utilization,horizon_only_vs_baseline,balking,low_to_medium,medium,-5.777777777776475e-05,0.0007955403348554058,0.0017864011858477046,-0.0015278679017303675,0.0016774733637747344,-0.0017638660578386616,60
