selection_objective,comparison,noshow_level,balk_level,rho,delta_average_utilization,delta_priority_weighted_utilization,delta_class_1_percent_serviced,delta_class_2_percent_serviced,delta_class_1_slot_utilization,delta_class_2_slot_utilization,n_rows
average_utilization,both_flexible_vs_horizon_only,low,low,2.5,0.00014520547945211736,0.039703105022831045,0.1398890115836697,-0.058480406341855494,0.07922703196347033,-0.07904785388127854,100
average_utilization,both_flexible_vs_reservation_only,low,low,2.5,0.0002456621004565418,0.005593698630136987,0.0779685879482109,0.01421779765481105,0.010883287671232877,-0.010579178082191776,100
average_utilization,reservation_only_vs_horizon_only,low,low,2.5,-0.00010045662100442443,0.03410940639269406,0.06192042363545882,-0.07269820399666654,0.06834374429223745,-0.06846867579908676,100
priority_weighted_utilization,horizon_only_vs_baseline,low,low,2.5,-3.890410958922841e-05,0.0009214611872146106,0.0016018773684664462,-0.003465848715051068,0.001838356164383559,-0.0018337899543378966,100
priority_weighted_utilization,reservation_only_vs_baseline,low,low,2.5,-0.0006507762557078012,0.10721762557077624,0.25256584113336983,-0.22529471567166667,0.2149835616438356,-0.21553187214611874,100
priority_weighted_utilization,both_flexible_vs_baseline,low,low,2.5,-0.0006295890410959182,0.10728401826484019,0.2530333370973607,-0.2270007624782938,0.21526922374429225,-0.21597041095890412,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,low,2.5,-0.0005906849315066898,0.10636255707762558,0.25143145972889425,-0.22353491376324272,0.21343086757990867,-0.21413662100456624,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,low,2.5,2.1187214611883e-05,6.6392694063927e-05,0.00046749596399084603,-0.001706046806627131,0.00028566210045662815,-0.0004385388127853932,100
priority_weighted_utilization,reservation_only_vs_horizon_only,low,low,2.5,-0.0006118721461185728,0.10629616438356164,0.2509639637649034,-0.22182886695661558,0.21314520547945207,-0.21369808219178082,100
average_utilization,horizon_only_vs_baseline,low,low,3.0,0.00011999999999997568,0.0006926940639269419,0.0008174378858130859,-0.0014549956094114126,0.0013084931506849296,-0.0012315981735159709,100
