selection_objective,policy,noshow_level,balk_level,rho,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,class_1_slot_utilization,class_2_slot_utilization,n_rows
average_utilization,baseline,high,medium,2.0,0.9100827397260268,0.6725974429223744,0.4353988535902424,0.47455708226993887,0.4349735159817351,0.47524785388127855,10
average_utilization,horizon_only,high,medium,2.0,0.9498728767123275,0.7125229223744293,0.47560992200073837,0.47528110118416816,0.47513936073059354,0.47476712328767123,10
average_utilization,reservation_only,high,medium,2.0,0.9392436529680355,0.7807136073059361,0.6842655727631918,0.24620979179535576,0.62212,0.3171872146118721,10
average_utilization,both_flexible,high,medium,2.0,0.9499210958904097,0.7714289497716895,0.659322988216114,0.34863066115126745,0.5929510502283105,0.35695579908675795,10
priority_weighted_utilization,baseline,high,medium,2.0,0.9100827397260268,0.6725974429223744,0.4353988535902424,0.47455708226993887,0.4349735159817351,0.47524785388127855,10
priority_weighted_utilization,horizon_only,high,medium,2.0,0.9496600913241995,0.7126553424657535,0.4757117112856545,0.47452090020555493,0.47558648401826487,0.47413771689497713,10
priority_weighted_utilization,reservation_only,high,medium,2.0,0.939250410958903,0.7860149771689497,0.695383186288237,0.23193342251008503,0.6327819178082191,0.3064661187214611,10
priority_weighted_utilization,both_flexible,high,medium,2.0,0.9496301369862999,0.7967041095890411,0.7014809901166975,0.2312364239334236,0.6437307762557077,0.30594666666666664,10
average_utilization,baseline,high,medium,2.5,0.9100065753424651,0.6691422831050228,0.3408772537224305,0.3881871548320518,0.42818210045662103,0.4819203652968036,10
average_utilization,horizon_only,high,medium,2.5,0.9500860273972588,0.7125895890410958,0.3792562543593616,0.3795985037871901,0.4750283105022831,0.4751225570776255,10
average_utilization,reservation_only,high,medium,2.5,0.9274423744292228,0.7651771689497717,0.5806310042426659,0.2678180292351678,0.6029068493150684,0.32454063926940635,10
average_utilization,both_flexible,high,medium,2.5,0.9499873972602726,0.7883692237442922,0.5825762707967237,0.249568001839031,0.6266675799086758,0.32340328767123283,10
priority_weighted_utilization,baseline,high,medium,2.5,0.9100065753424651,0.6691422831050228,0.3408772537224305,0.3881871548320518,0.42818210045662103,0.4819203652968036,10
priority_weighted_utilization,horizon_only,high,medium,2.5,0.9500635616438341,0.7124902283105022,0.379416238060486,0.3802550443133123,0.47485388127853884,0.47527269406392686,10
priority_weighted_utilization,reservation_only,high,medium,2.5,0.9234175342465745,0.7925878538812785,0.6171521876821634,0.15858170592147863,0.6615656621004566,0.26204438356164383,10
priority_weighted_utilization,both_flexible,high,medium,2.5,0.9497042922374417,0.8193641095890412,0.631177444997572,0.1554494119308141,0.6889886757990868,0.2607508675799086,10
average_utilization,baseline,high,medium,3.0,0.9104347031963466,0.6693925114155251,0.28341983338556376,0.3236557929280144,0.42817059360730597,0.48244383561643833,10
average_utilization,horizon_only,high,medium,3.0,0.9499499543378983,0.7128802739726028,0.31730738540917347,0.3160706941341483,0.47588474885844745,0.4739910502283105,10
average_utilization,reservation_only,high,medium,3.0,0.927363470319634,0.7784443835616439,0.5197399139055238,0.210159889679084,0.6295870319634703,0.297714703196347,10
average_utilization,both_flexible,high,medium,3.0,0.9500639269406379,0.8043187214611873,0.5332097891387285,0.19121757831748507,0.6585369863013699,0.2915634703196347,10
priority_weighted_utilization,baseline,high,medium,3.0,0.9104347031963466,0.6693925114155251,0.28341983338556376,0.3236557929280144,0.42817059360730597,0.48244383561643833,10
priority_weighted_utilization,horizon_only,high,medium,3.0,0.9499442922374415,0.712460091324201,0.3169233362721682,0.316782050855699,0.47500420091324197,0.47491178082191776,10
priority_weighted_utilization,reservation_only,high,medium,3.0,0.9167693150684926,0.7987002739726028,0.5546962016945454,0.12055457706524364,0.6806540639269406,0.2360924200913242,10
priority_weighted_utilization,both_flexible,high,medium,3.0,0.9496272146118707,0.833141095890411,0.5715827807580522,0.11730560623585765,0.7166299543378996,0.23302228310502282,10
average_utilization,baseline,low,high,1.2,0.9489302283105008,0.7116561643835617,0.7902554977926461,0.7890977423861216,0.47438356164383555,0.474545205479452,10
average_utilization,horizon_only,low,high,1.2,0.9489033789954323,0.7115640182648402,0.7899122663427257,0.7901676292600889,0.47432785388127846,0.4744723287671232,10
average_utilization,reservation_only,low,high,1.2,0.9487576255707749,0.7162437442922374,0.8137063978568913,0.7498567815862012,0.48375872146118715,0.46497004566210043,10
average_utilization,both_flexible,low,high,1.2,0.9487378995433777,0.7166541552511415,0.8100196374020305,0.750129097987504,0.4847148858447488,0.4638785388127854,10
