class1_high_balk,seed,average_utilization,overall_percent_serviced,total_served,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked
0.1,71,0.8404965753424658,0.2660351239108602,9801,9.4423977521074,10.052973310441704,0.20012486343062275,36841,25624,32035,6411
0.1,72,0.8458904109589042,0.2711705759277613,9850,9.403759339975094,10.019946394065947,0.19915227825219722,36324,25696,32086,6390
0.1,73,0.8363869863013699,0.26824046115838596,9772,9.417276210379658,10.030481931454494,0.19712270453344935,36430,25839,32183,6344
0.1,74,0.8433219178082192,0.2705999227330427,9806,9.429254264951618,10.048545195111359,0.20178050747564985,36238,25733,32238,6505
0.1,75,0.8376712328767123,0.2682692571554019,9776,9.443198249247724,10.075267147117296,0.20511307157057654,36441,25589,32192,6603
0.1,76,0.8418664383561644,0.2682780445220428,9834,9.444279462331979,10.05058621228701,0.1998749413787713,36656,25592,31985,6393
0.1,77,0.8454623287671232,0.2713710566953452,9841,9.463449949127337,10.079335850940982,0.2024593489591461,36264,25554,32041,6487
0.1,78,0.8407534246575342,0.2677395557255663,9799,9.437573019705585,10.06323083585968,0.20565489079997526,36599,25678,32326,6648
0.1,79,0.8392123287671233,0.26783325598536756,9811,9.441485005654565,10.059054260187404,0.20172462098807709,36631,25643,32123,6480
0.1,80,0.8363869863013699,0.26694613403474166,9743,9.466934499192563,10.073454339194555,0.19994327850255247,36498,25389,31734,6345
0.1,81,0.843236301369863,0.26907916347311944,9830,9.461111978759956,10.07818686286124,0.20154627926551735,36532,25612,32077,6465
0.1,82,0.8417808219178082,0.26841817186644773,9808,9.39785447761194,10.013216545618903,0.1980299865964278,36540,25728,32081,6353
0.1,83,0.8404109589041096,0.26791430682098005,9792,9.447592954990215,10.06338975626545,0.20058821688933387,36549,25550,31961,6411
0.1,84,0.8446917808219178,0.2686542714391023,9840,9.413698844111215,10.040491256506966,0.20177051837536236,36627,25608,32081,6473
0.1,85,0.8363869863013699,0.26617193681281204,9756,9.423981373690337,10.038988474323526,0.19941594954798222,36653,25770,32189,6419
0.1,86,0.8415239726027397,0.27028738163400134,9819,9.427829617772225,10.040751273477296,0.19956873652301635,36328,25613,31999,6386
0.1,87,0.838013698630137,0.264904432696218,9771,9.449963050834274,10.071931293213034,0.20283384491365145,36885,25711,32253,6542
0.1,88,0.8374143835616439,0.266113228089276,9777,9.430235719001203,10.04243101468169,0.20070149300058976,36740,25751,32217,6466
0.1,89,0.8418664383561644,0.2705089985646461,9800,9.427171630764445,10.048970592801913,0.2013787535322796,36228,25718,32203,6485
0.1,90,0.8386986301369863,0.26653055668980535,9791,9.441492899338837,10.065832969500406,0.20286284538140087,36735,25561,32066,6505
0.1,91,0.8392123287671233,0.268477366255144,9786,9.453879998442549,10.071504072623267,0.20154821861592986,36450,25683,32166,6483
0.1,92,0.8368150684931507,0.2660775650466372,9756,9.452641450453267,10.05973320003749,0.20047486644381268,36666,25592,32009,6417
0.1,93,0.8470890410958904,0.2708378970427163,9891,9.384561756845734,9.994930961562384,0.19707053116059212,36520,25819,32156,6337
0.1,94,0.8420376712328768,0.2672040521772283,9812,9.39461394769614,10.021811506269641,0.20047294564236598,36721,25696,32139,6443
0.1,95,0.8435787671232877,0.26881867008369914,9860,9.444613702054527,10.062739717484174,0.20165892294739468,36679,25602,32069,6467
0.1,96,0.8429794520547945,0.2676950750865335,9822,9.420881166614954,10.047313156269302,0.20370599135268685,36691,25784,32380,6596
0.1,97,0.8416952054794521,0.269186587167004,9842,9.459997657256647,10.086478085172521,0.2038856077090457,36562,25611,32170,6559
0.1,98,0.8389554794520548,0.26529394210683377,9779,9.438320926063062,10.055334122189699,0.20106495609391542,36861,25657,32114,6457
0.1,99,0.8416095890410958,0.2674909447425039,9822,9.42501948558067,10.056038767395627,0.2029075546719682,36719,25660,32192,6532
0.1,100,0.8399828767123287,0.26858993714144547,9785,9.426831179005092,10.052393010097221,0.2019131576479415,36431,25530,31989,6459
0.2,1,0.8436643835616439,0.2674807582474367,9835,9.399149168683163,10.125728386252824,0.23825662980140325,36769,25622,33636,8014
0.2,2,0.8415239726027397,0.26981116516863196,9816,9.376590033842922,10.107061368417934,0.23824339941328118,36381,25707,33747,8040
0.2,3,0.8398116438356165,0.2703322194913148,9789,9.410969637610187,10.155267912680312,0.24395011996090163,36211,25525,33761,8236
0.2,4,0.8440924657534247,0.2685498852584417,9830,9.368419003115266,10.103332541285493,0.2372579303789949,36604,25680,33668,7988
0.2,5,0.8346746575342465,0.2688647930958177,9720,9.407646805343362,10.137998808814771,0.23981536628945802,36152,25527,33580,8053
0.2,6,0.8416095890410958,0.2696926297234769,9792,9.386408904510837,10.137330296666567,0.24265728060575587,36308,25605,33809,8204
0.2,7,0.8395547945205479,0.26916524701873934,9796,9.407807145389372,10.148755639210062,0.24152251202533537,36394,25387,33471,8084
0.2,8,0.8387842465753425,0.2690677966101695,9779,9.443546470168766,10.190258342303553,0.24524578399712954,36344,25242,33444,8202
0.2,9,0.8460616438356164,0.2683635770944257,9879,9.370081792456487,10.120335491465568,0.24081812831077104,36812,25797,33980,8183
0.2,10,0.8431506849315068,0.2686591629330128,9834,9.404715358148264,10.131963062257968,0.2381292820971105,36604,25576,33570,7994
