h1,h2,tau1,tau2,balk_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
2,2,9,9,0.5,16,1,18260,5732,0,5732,12528,0,0,5732,1.0,1.0,0.3139101861993428,0.49075342465753424,0.0,5732.0,5732.0
2,2,9,9,0.5,16,2,18593,5948,0,5948,12645,0,0,5948,1.0,1.0,0.3199053407196257,0.5092465753424658,0.0,5948.0,5948.0
2,2,9,9,0.5,17,1,18403,5821,0,5821,12582,0,0,5821,1.0,1.0,0.31630712383850457,0.4983732876712329,0.0,5821.0,5821.0
2,2,9,9,0.5,17,2,18424,5859,0,5859,12565,0,0,5859,1.0,1.0,0.3180091185410334,0.5016267123287671,0.0,5859.0,5859.0
2,2,9,9,0.5,18,1,18360,5849,0,5849,12511,0,0,5849,1.0,1.0,0.31857298474945533,0.5007705479452055,0.0,5849.0,5849.0
2,2,9,9,0.5,18,2,18392,5831,0,5831,12561,0,0,5831,1.0,1.0,0.31704001739886906,0.4992294520547945,0.0,5831.0,5831.0
2,2,9,9,0.5,19,1,18199,5901,0,5901,12298,0,0,5901,1.0,1.0,0.3242485850870927,0.5052226027397261,0.0,5901.0,5901.0
2,2,9,9,0.5,19,2,18039,5779,0,5779,12260,0,0,5779,1.0,1.0,0.3203614391041632,0.494777397260274,0.0,5779.0,5779.0
2,2,9,9,0.5,20,1,18084,5912,0,5912,12172,0,0,5912,1.0,1.0,0.32691882326918825,0.5061643835616438,0.0,5912.0,5912.0
2,2,9,9,0.5,20,2,18490,5768,0,5768,12722,0,0,5768,1.0,1.0,0.31195240670632773,0.49383561643835616,0.0,5768.0,5768.0
2,2,9,9,0.5,21,1,18350,5862,0,5862,12488,0,0,5862,1.0,1.0,0.3194550408719346,0.5018835616438356,0.0,5862.0,5862.0
2,2,9,9,0.5,21,2,18210,5818,0,5818,12392,0,0,5818,1.0,1.0,0.31949478308621637,0.49811643835616437,0.0,5818.0,5818.0
