background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,gap_magnitude_focal,n_paired_seeds,mean_class2_low_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,pre_minus_post_absolute_served_gap,pre_minus_post_absolute_served_gap_ci_low,pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0294,X047,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,28,21,0.1,0.1,12,12,0.0,0.0,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.3,20,1.0,0.0,False,0.1364621355344274,0.12948065598281877,0.14344361508603604,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0294,X047,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,28,21,0.1,0.1,12,12,0.0,0.0,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.5,20,1.0,0.0,False,0.24003456968231615,0.23205731764222717,0.24801182172240513,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0295,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.05,20,0.7322381693367197,0.2677618306632803,True,0.0076791117151455215,0.005499748193551611,0.009858475236739432,,supported
H7B0295,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.1,20,0.7493908703496783,0.25060912965032156,True,0.013796276598007275,0.01165495608100472,0.015937597115009833,,supported
H7B0295,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.2,20,0.7845817833950288,0.2154182166049711,True,0.029775012971074193,0.02717301612066457,0.03237700982148382,,supported
H7B0295,X048,asymmetric_stress,4.0,0.3,32,128.0,38.4,89.6,14,14,0.0,0.5,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0.3,20,0.8221662034242717,0.17783379657572812,True,0.04592192876909708,0.04373398755968046,0.0481098699785137,,supported
H7B0296,X049,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,21,0.3,0.3,6,6,0.0,0.0,0.7,0.7,6,6,0.0,0.0,0.7,0.7,0.05,20,0.5303671944681808,0.4696328055318192,True,0.009132441672025704,0.005839551235575235,0.012425332108476173,,supported
H7B0296,X049,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,21,0.3,0.3,6,6,0.0,0.0,0.7,0.7,6,6,0.0,0.0,0.7,0.7,0.1,20,0.5344358201765635,0.4655641798234365,True,0.020651791187870555,0.017329278204943326,0.023974304170797784,,supported
H7B0296,X049,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,21,0.3,0.3,6,6,0.0,0.0,0.7,0.7,6,6,0.0,0.0,0.7,0.7,0.2,20,0.5538704914822307,0.4461295085177692,True,0.04993334435988847,0.04672451397217642,0.053142174747600524,,supported
H7B0296,X049,asymmetric_stress,4.0,0.3,16,64.0,19.2,44.8,14,21,0.3,0.3,6,6,0.0,0.0,0.7,0.7,6,6,0.0,0.0,0.7,0.7,0.3,20,0.5842709218538739,0.41572907814612614,True,0.08549418222740013,0.08224546543212483,0.08874289902267543,,supported
