background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,failure_component,classification,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high
H7B0040,S008,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,6,6,0.3,0.3,0.5,0.5,0.05;0.10;0.20,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,4,4,0.5,0.5,0.5,0.5,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0042,S010;X053,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.7,0.7,0.05;0.10;0.20;0.30,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0043,S011,sobol_symmetric,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,4,4,0.3,0.3,0.7,0.7,12,12,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0044,S012,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,4,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.5,0.5,0.05;0.10;0.20;0.30,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0045,S013,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,4,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.3,0.3,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0046,S014,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,6,6,0.1,0.1,0.1,0.1,6,6,0.3,0.3,0.7,0.7,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0047,S015;X078,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,4,4,0.5,0.5,0.5,0.5,4,4,0.7,0.7,0.7,0.7,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0.05;0.10,2,,supported,2.0,0.0,0.0,20.0,0.010957418986389312,0.009076584731541219,0.012838253241237406
H7B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,,supported,5.0,0.0,0.0,20.0,0.09194012975510082,0.08983015809630904,0.09405010141389261
H7B0050,S018,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,9,9,0.1,0.1,0.5,0.5,9,9,0.5,0.5,0.5,0.5,0.05;0.10;0.20;0.30,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0051,S019,sobol_symmetric,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.5,0.5,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.3,0.3,0.7,0.7,6,6,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30,4,,supported,4.0,0.0,0.0,20.0,0.06657108583656009,0.0660633285216541,0.06707884315146607
H7B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.0,0.0,0.3,0.3,12,12,0.3,0.3,0.7,0.7,0.05;0.10;0.20;0.30,4,,supported,4.0,0.0,0.0,20.0,0.03070323469008297,0.02983781383059093,0.031568655549575005
H7B0054,S022,sobol_symmetric,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.7,0.7,0.7,0.7,6,6,0.0,0.0,0.3,0.3,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0055,S023,sobol_symmetric,0.8,0.3,64,51.2,15.36,35.84,21,21,0.0,0.0,12,12,0.1,0.1,0.1,0.1,4,4,0.0,0.0,0.7,0.7,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0056,S024,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.3,0.3,4,4,0.3,0.3,0.3,0.3,4,4,0.7,0.7,0.7,0.7,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0057,S025,sobol_symmetric,2.0,0.3,64,128.0,38.4,89.6,14,14,0.0,0.0,4,4,0.0,0.0,0.5,0.5,12,12,0.3,0.3,0.7,0.7,0.05;0.10;0.20;0.30;0.50,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0058,S026,sobol_symmetric,0.8,0.5,16,12.8,6.4,6.4,28,28,0.3,0.3,12,12,0.7,0.7,0.7,0.7,6,6,0.0,0.0,0.1,0.1,,0,fewer_than_two_valid_gap_magnitudes,inactive,,,,,,,
H7B0059,S027,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.5,0.5,4,4,0.1,0.1,0.3,0.3,4,4,0.3,0.3,0.3,0.3,0.05;0.10;0.20,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,1.0,20.0,-0.006513774887768445,-0.008950452715881737,-0.004077097059655152
H7B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,1.0,4.0,0.0,20.0,-0.013720876931892894,-0.016605357152171582,-0.010836396711614208
H7B0062,S030,sobol_symmetric,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,4,4,0.1,0.1,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0.05;0.10;0.20;0.30;0.50,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
H7B0063,S031;X031;X039,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,28,28,0.3,0.3,9,9,0.0,0.0,0.1,0.1,12,12,0.3,0.3,0.3,0.3,0.05;0.10,0,fewer_than_two_exposure_active_gaps,inactive,,,,,,,
