background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,classification
H2B0197,S165,sobol_symmetric,3.1,0.1,16,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0198,S166;X090,sobol_symmetric,1.25,0.9,32,14,14,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0199,S167,sobol_symmetric,0.8,0.5,16,21,21,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0200,S168,sobol_symmetric,2.0,0.5,64,7,7,0.0,0.0,3,0,0,0,3,,supported
H2B0201,S169,sobol_symmetric,2.0,0.1,16,14,14,0.3,0.3,1,0,2,0,1,loss_matching_failed,inconclusive
H2B0202,S170,sobol_symmetric,0.8,0.9,64,28,28,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0203,S171,sobol_symmetric,1.25,0.3,32,7,7,0.1,0.1,1,0,2,0,3,utilization,inconclusive
H2B0204,S172,sobol_symmetric,4.0,0.7,64,21,21,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0205,S173,sobol_symmetric,4.0,0.5,64,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0206,S174,sobol_symmetric,2.0,0.7,16,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0207,S175,sobol_symmetric,0.8,0.1,32,28,28,0.0,0.0,0,0,3,0,0,loss_matching_failed,inconclusive
H2B0208,S176,sobol_symmetric,3.1,0.9,32,14,14,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0209,S177,sobol_symmetric,3.1,0.1,64,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0210,S178,sobol_symmetric,0.8,0.9,16,7,7,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0211,S179,sobol_symmetric,2.0,0.5,64,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0212,S180,sobol_symmetric,4.0,0.5,16,14,14,0.0,0.0,2,0,1,0,2,loss_matching_failed,supported
H2B0213,S181,sobol_symmetric,4.0,0.3,16,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0214,S182,sobol_symmetric,1.25,0.7,64,28,28,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0215,S183,sobol_symmetric,0.8,0.1,32,7,7,0.5,0.5,0,0,3,0,1,loss_matching_failed;utilization,inconclusive
H2B0216,S184,sobol_symmetric,2.0,0.9,32,21,21,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0217,S185,sobol_symmetric,3.1,0.5,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0218,S186,sobol_symmetric,0.8,0.5,32,14,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0219,S187,sobol_symmetric,1.25,0.1,16,21,21,0.0,0.0,2,0,1,0,3,utilization,supported
H2B0220,S188,sobol_symmetric,3.1,0.9,64,7,7,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0221,S189,sobol_symmetric,4.0,0.3,64,7,7,0.3,0.3,3,0,0,0,3,,supported
