background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0135,S103,sobol_symmetric,0.8,low,0.3,64,14,14,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0137,S105,sobol_symmetric,2.0,boundary,0.1,64,21,21,0.5,20,-0.13864631356159152,-0.14329432288147717,-0.13399830424170586,supported,0.015256966745637637,0.014169711787784096,0.016344221703491178,-0.06747483537150523,-0.07206569728157389,-0.06288397346143657,inconclusive,-0.00046874999999999554,-0.001675673406650791,0.0007381734066508001,1.0,0.65,inconclusive
H1B0138,S106,sobol_symmetric,0.8,low,0.9,16,7,7,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0139,S107,sobol_symmetric,1.25,low,0.5,32,28,28,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0143,S111,sobol_symmetric,0.8,low,0.3,32,7,7,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0144,S112,sobol_symmetric,3.1,high,0.9,32,21,21,0.5,20,0.07531361866509642,0.07435477583043494,0.0762724614997579,reversed,0.31942889455835327,0.3156909425388426,0.32316684657786393,-16.62745320113631,-16.645199408387963,-16.609706993884654,supported,0.29698630136986304,0.29543950174934447,0.2985331009903816,0.0,1.0,reversed
H1B0146,S114,sobol_symmetric,0.8,low,0.7,64,28,28,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0151,S119,sobol_symmetric,0.8,low,0.1,32,28,28,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0152,S120,sobol_symmetric,2.0,boundary,0.9,32,14,14,0.0,20,0.014138705717769984,-0.002126007405880443,0.03040341884142041,inconclusive,0.02292512549602039,0.004196901676210837,0.04165334931582994,-1.3435255705997249,-1.906506484769861,-0.7805446564295889,supported,0.03272260273972601,-7.019163710531712e-05,0.06551539711655735,0.15,0.45,inconclusive
H1B0154,S122,sobol_symmetric,0.8,low,0.7,32,21,21,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0158,S126,sobol_symmetric,2.0,boundary,0.9,64,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0162,S130,sobol_symmetric,1.25,low,0.7,64,7,7,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0164,S132,sobol_symmetric,4.0,high,0.7,64,14,14,0.1,20,0.025001304710959675,0.024203141641697408,0.025799467780221942,reversed,0.4328348155613311,0.4317346236194889,0.43393500750317326,-6.744406728822665,-6.792578211429729,-6.696235246215601,supported,0.5826541095890412,0.5786331548477731,0.5866750643303092,0.0,1.0,reversed
H1B0166,S134,sobol_symmetric,1.25,low,0.5,32,28,28,0.5,20,0.00013131716607845957,-0.00014353282128048712,0.00040616715343740626,inconclusive,-2.3084091072012038e-05,-7.13996489598853e-05,2.5231466815861224e-05,0.000346820113768085,-0.0003790827269011432,0.0010727229544373132,inconclusive,0.00016267123287670991,-0.00017780357049449965,0.0005031460362479195,0.95,0.95,inconclusive
H1B0167,S135,sobol_symmetric,0.8,low,0.1,64,7,7,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0168,S136,sobol_symmetric,3.1,high,0.9,16,21,21,0.0,20,-0.0016361411292926953,-0.002541449071821235,-0.0007308331867641556,inconclusive,0.0026479653606198807,-0.0015084796068935112,0.006804410328133273,-0.059137014429543514,-0.08821618410325914,-0.030057844755827883,inconclusive,-0.005513698630136993,-0.008193357702317583,-0.002834039557956403,0.15,0.3,inconclusive
H1B0170,S138,sobol_symmetric,0.8,low,0.7,16,14,14,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0173,S141,sobol_symmetric,4.0,high,0.1,16,7,7,0.5,20,-0.4683826982854583,-0.4739145800062415,-0.46285081656467514,supported,0.0551363142971279,0.053808969251640824,0.05646365934261497,-0.2284823982009156,-0.23320033373952684,-0.22376446266230435,inconclusive,0.014006849315068482,0.013139579762506232,0.014874118867630732,1.0,1.0,inconclusive
