class1_high_balk,mean,std,n,se,ci95,metric
0.9,7.352017276480817,0.01806479865572114,100,0.0018064798655721141,0.0035407005365213438,mean_accepted_booking_delay
0.0,9.94670981630602,0.023106780331625516,100,0.0023106780331625517,0.004528928944998602,mean_offered_booking_delay
0.1,10.052563252539164,0.01940958518307594,100,0.001940958518307594,0.0038042786958828838,mean_offered_booking_delay
0.2,10.137803512372647,0.02152186029211891,100,0.002152186029211891,0.004218284617255307,mean_offered_booking_delay
0.3,10.153149502652733,0.0326301788131396,100,0.00326301788131396,0.0063955150473753615,mean_offered_booking_delay
0.4,9.905851049972268,0.07015001139486234,100,0.007015001139486233,0.013749402233393018,mean_offered_booking_delay
0.5,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.6,8.748298151649776,0.05491654874643199,100,0.0054916548746431985,0.01076364355430067,mean_offered_booking_delay
0.7,8.542030732856283,0.023915974866837605,100,0.0023915974866837606,0.004687531073900171,mean_offered_booking_delay
0.8,8.470592091477194,0.02028295286974163,100,0.002028295286974163,0.00397545876246936,mean_offered_booking_delay
0.9,8.428279570742214,0.019753022080979985,100,0.0019753022080979984,0.003871592327872077,mean_offered_booking_delay
0.0,0.1640753578688388,0.002214334266373073,100,0.0002214334266373073,0.0004340095162091223,overall_balking_rate
0.1,0.20158494937452398,0.0023439164628316573,100,0.00023439164628316574,0.0004594076267150048,overall_balking_rate
0.2,0.2411772890376703,0.0025999226989262816,100,0.00025999226989262817,0.0005095848489895512,overall_balking_rate
0.3,0.2809404857222456,0.0025445925868226335,100,0.00025445925868226334,0.0004987401470172362,overall_balking_rate
0.4,0.32001817434199176,0.0026851859237008208,100,0.00026851859237008206,0.0005262964410453608,overall_balking_rate
0.5,0.3557390597167697,0.0026226615795566966,100,0.00026226615795566963,0.0005140416695931124,overall_balking_rate
0.6,0.3844710325698923,0.0030965096675630572,100,0.0003096509667563057,0.0006069158948423593,overall_balking_rate
0.7,0.3962483125298412,0.003814487827102356,100,0.0003814487827102356,0.0007476396141120618,overall_balking_rate
0.8,0.4022092340402412,0.003850848132523664,100,0.0003850848132523664,0.0007547662339746381,overall_balking_rate
0.9,0.40640404291586485,0.0038866353093897207,100,0.00038866353093897207,0.0007617805206403853,overall_balking_rate
0.0,9798.15,44.9107701195073,100,4.49107701195073,8.80251094342343,total_served
0.1,9803.24,41.806219632968386,100,4.180621963296838,8.194019048061802,total_served
0.2,9798.45,39.506392527097134,100,3.9506392527097134,7.743252935311038,total_served
0.3,9796.86,41.301312132163154,100,4.130131213216315,8.095057177903978,total_served
0.4,9809.74,37.658384715676625,100,3.7658384715676627,7.381043404272619,total_served
0.5,9814.18,40.01852601286583,100,4.001852601286583,7.843631098521702,total_served
0.6,9813.04,36.05969237447012,100,3.605969237447012,7.0676997053961435,total_served
0.7,9818.7,40.32556899972434,100,4.032556899972434,7.90381152394597,total_served
0.8,9822.7,40.45910767601557,100,4.045910767601557,7.929985104499051,total_served
0.9,9821.48,39.119986366732384,100,3.911998636673238,7.667517327879547,total_served
